"","hypo.p","kidney.p","liver.p"
"1415670_at",0.662357244,0.258902425,0.845531157
"1415671_at",0.373318076,0.228393784,0.419245018
"1415672_at",0.373855481,0.264870602,0.842264743
"1415673_at",0.263107927,0.352613332,0.35833193
"1415674_a_at",0.677230695,0.989082714,0.830114198
"1415675_at",0.515935681,0.59060777,0.506518555
"1415676_a_at",0.203955884,0.195045884,0.929815424
"1415677_at",0.173690116,0.036908734,0.918397977
"1415678_at",0.164819736,0.432508762,0.852485524
"1415679_at",0.246903122,0.412823844,0.576319221
"1415680_at",0.934924142,0.414767344,0.679430659
"1415681_at",0.58588829,0.073355596,0.737373493
"1415682_at",0.721219951,0.489185674,0.777330887
"1415683_at",0.253143344,0.306865181,0.55080268
"1415684_at",0.736233827,0.342175828,0.205623231
"1415685_at",0.710772254,0.742360152,0.934187259
"1415687_a_at",0.388347432,0.132297942,0.502993289
"1415688_at",0.236541183,0.493112733,0.306096264
"1415689_s_at",0.565235934,0.900737166,0.209395412
"1415690_at",0.617529925,0.441575087,0.116362362
"1415691_at",0.028501072,0.037702631,0.142677434
"1415692_s_at",0.355583441,0.322619439,0.253245086
"1415693_at",0.343876877,0.291093278,0.078836705
"1415694_at",0.992195539,0.015119936,0.788063322
"1415695_at",0.987443805,0.426827677,0.808498461
"1415696_at",0.392592126,0.14391554,0.340815602
"1415697_at",0.588952932,0.085378974,0.636598056
"1415698_at",0.506049889,0.115312511,0.652228057
"1415699_a_at",0.503968965,0.92633642,0.365519011
"1415700_a_at",0.502289944,0.609480786,0.245322601
"1415701_x_at",0.485468292,0.794200992,0.311263786
"1415702_a_at",0.736727376,0.045045076,0.459835878
"1415703_at",0.070622874,0.013643288,0.314677003
"1415704_a_at",0.807447191,0.314232251,0.651246818
"1415705_at",0.957631492,0.85638785,0.306083419
"1415706_at",0.92661995,0.70655611,0.720965737
"1415707_at",0.906279334,0.448805703,0.580139242
"1415708_at",0.080576314,0.005498011,0.473509981
"1415709_s_at",0.94524072,0.883179886,0.302315656
"1415710_at",0.268600553,0.406880867,0.315051408
"1415711_at",0.673403639,0.250377542,0.97627677
"1415712_at",0.510554198,0.628370199,0.119370662
"1415713_a_at",0.647360076,0.176313929,0.602996118
"1415714_a_at",0.35553959,0.590312819,0.112349553
"1415715_at",0.211178756,0.117215618,0.382426664
"1415716_a_at",0.622896913,0.355387681,0.204152025
"1415717_at",0.651805853,0.070237129,0.225456126
"1415721_a_at",0.185103962,0.537169273,0.089145486
