"","Pval1","Pval2"
"100005_at",0.936421204,0.918585764
"100007_at",0.876117486,0.958668261
"100011_at",0.410755946,0.06171335
"100016_at",0.166471395,0.768813849
"100024_at",0.008681877,0.116611762
"100027_s_at",0.944897913,0.646157665
"100029_at",0.239563076,0.804066855
"100032_at",0.035517757,0.396175688
"100040_at",0.953569769,0.828623702
"100041_at",0.246996608,0.943162067
"100042_at",0.849492439,0.00987608
"100051_at",0.144600562,0.95320384
"100056_at",0.723846824,0.671011723
"100057_at",0.512914796,0.648160462
"100059_at",0.675911467,0.271234378
"100064_f_at",0.006123493,0.005005709
"100066_at",0.235694634,0.72854264
"100068_at",0.47102284,0.600184728
"100069_at",0.0696033,0.373278569
"100073_at",0.587245447,0.003644477
"100074_at",0.558310432,0.444120479
"100079_at",0.845814387,0.799742783
"100081_at",0.626177269,0.933585576
"100088_at",0.726980341,0.121373596
"100091_at",0.083562235,0.344992315
"100093_at",0.874396214,0.408514591
"100094_at",0.546832467,0.556842122
"100095_at",0.175498109,0.943877407
"100099_at",0.897467442,0.219049908
"100112_at",0.057496758,0.327416244
"100115_at",0.80926237,0.525332381
"100123_f_at",0.664852277,0.000362254
"100124_r_at",0.533936498,0.001366678
"100125_at",0.91686666,0.464852221
"100134_at",0.048363403,0.503489087
"100136_at",0.665032118,0.011027349
"100141_at",0.673014679,0.974560202
"100151_at",0.002255893,0.001454567
"100154_at",0.611126171,0.011453726
"100213_f_at",1,1
"100225_f_at",0.877211582,0.602867466
"100280_at",0.616846411,0.865838603
"100289_at",0.679027634,0.513810556
"100293_at",0.520591587,0.118257972
"100297_at",0.207070045,0.023601645
"100307_at",0.128737106,0.062925342
"100329_at",0.976753597,0.574472316
"100331_g_at",0.623083219,0.029300538
"100332_s_at",0.685703077,0.183041679
"100333_at",0.352550455,0.104540711
"100343_f_at",0.400170388,0.036184099
"100344_at",0.232348445,0.788460699
"100345_f_at",0.496115201,0.917465371
"100366_at",0.771520094,0.319041219
"100367_g_at",0.827440151,0.937091561
"100379_f_at",0.564542928,0.502741306
"100380_at",0.338207411,0.555987699
"100381_at",0.012630289,1
"100400_at",0.185905969,0.041070669
"100401_at",0.375676023,0.315879482
"100404_at",0.908063414,0.986846624
"100407_at",0.483118637,0.585110958
"100429_at",0.116017654,0.251986633
"100436_at",0.026984697,0.001199453
"100440_f_at",0.526860109,0.375310211
"100442_at",0.535948887,0.335829929
"100457_at",0.277236826,0.106909712
"100461_at",0.17163836,0.782914892
"100464_at",0.719009261,0.162423489
"100470_at",0.938735379,0.466841863
"100482_at",0.118015742,0.022649964
"100484_at",0.026326913,0.471286043
"100486_at",0.26145088,0.934923055
"100488_at",0.04331757,0.74546884
"100491_at",0.087074647,0.705714494
"100508_at",0.393517261,0.750005421
"100509_at",0.488458834,0.069357132
"100514_at",0.345404061,0.282219985
"100515_at",0.916866462,0.372773144
"100522_s_at",0.344068385,0.015176216
"100527_at",0.214551485,0.032066687
"100528_at",0.393049783,0.732596852
"100530_at",0.864067457,0.97362186
"100533_s_at",0.596035095,0.09830603
"100534_at",0.084671409,0.515095836
"100535_at",0.901804456,0.934410064
"100538_at",0.285770149,0.879154035
"100540_at",0.255118706,0.31681023
"100543_s_at",0.421429843,0.300901929
"100549_at",0.914138728,0.622574602
"100550_f_at",0.997357141,0.640253497
"100553_at",0.436314093,0.92318958
"100554_at",0.221054057,0.280713167
"100555_at",0.078356825,0.161112527
"100560_at",0.318986816,0.694282677
"100561_at",0.72592571,1.32e-05
"100564_at",0.928415166,0.846818179
"100567_at",0.149180243,0.00114358
"100568_at",0.10230119,0.00472328
"100569_at",0.000123315,0.008307388
"100571_at",0.420092514,0.769312273
"100572_at",0.058907952,0.33074961
"100573_f_at",0.011279767,0.006210146
"100574_f_at",0.486660319,0.949918704
"100575_at",0.664684685,0.24838258
"100578_at",0.44141092,0.416438591
"100579_s_at",0.069172927,0.630500641
"100581_at",0.000686728,3.99e-06
"100584_at",0.006814004,0.311786763
"100587_f_at",0.552193959,0.196625951
"100588_at",0.155482776,0.122502604
"100592_at",0.617643964,0.345644661
"100593_at",0.650597912,0.931002187
"100595_at",0.65053135,0.244741379
"100599_at",0.15979932,0.662313244
"100600_at",0.489536184,0.000687181
"100606_at",0.385139279,0.187573838
"100608_at",0.688863153,0.813560535
"100610_at",0.002373869,0.666585978
"100611_at",0.489393099,0.0002465
"100616_at",0.979112557,0.636572549
"100618_f_at",0.68710204,0.300315369
"100622_at",0.484056367,0.508126628
"100628_at",0.828100216,0.029256718
"100629_at",0.204253053,0.862635766
"100630_f_at",0.630866752,0.813194926
"100633_at",0.207294426,0.088285143
"100635_at",0.883736557,0.480182703
"100636_at",0.269587524,0.199190359
"100686_at",0.966660642,0.335697261
"100694_at",0.354625334,0.001072357
"100696_at",0.760602482,0.995790311
"100702_at",0.86082401,0.519981326
"100708_at",0.015974874,0.12322877
"100710_at",0.676571325,0.16825237
"100711_at",0.452760191,0.24796019
"100713_at",0.560966227,0.227827265
"100717_at",0.753564834,0.89549039
"100718_at",0.579163267,0.155078831
"100720_at",0.1470496,0.00267997
"100727_at",0.198283497,0.230370325
"100729_at",0.882976403,0.222897768
"100732_at",0.324471408,0.050718167
"100733_at",0.579064,0.896491746
"100734_at",0.515862298,0.033791994
"100753_at",0.758367537,0.767019957
"100758_at",0.532028767,0.001802469
"100775_at",0.875486323,0.290510839
"100780_at",0.611099417,0.292090761
"100877_at",0.562638651,0.053478671
"100878_at",0.810856312,0.645063036
"100880_at",0.0586747,0.297069842
"100885_at",0.533035705,0.778526399
"100886_f_at",0.793293491,0.155995972
"100887_at",0.762747925,0.311594574
"100892_at",0.558708615,0.017258636
"100897_f_at",0.369914799,0.475587548
"100905_at",0.676075255,0.819680903
"100915_at",0.930373659,0.105497941
"100946_at",0.056037018,0.001131613
"100948_at",0.649434859,0.43446749
"100957_at",0.417653644,0.392251074
"100959_at",0.540496967,0.045465108
"100960_g_at",0.599165501,0.266015046
"100964_at",0.177692941,0.097208731
"100977_at",0.000138028,0.013116836
"100980_at",0.851001959,0.515105488
