"","movie","y","critic"
"1",1,1,"lyons"
"2",1,1,"siskel"
"3",1,1,"medved"
"4",1,1,"ebert"
"5",2,1,"lyons"
"6",2,1,"siskel"
"7",2,1,"medved"
"8",2,1,"ebert"
"9",3,1,"lyons"
"10",3,1,"siskel"
"11",3,1,"medved"
"12",3,1,"ebert"
"13",4,1,"lyons"
"14",4,1,"siskel"
"15",4,1,"medved"
"16",4,1,"ebert"
"17",5,1,"lyons"
"18",5,1,"siskel"
"19",5,1,"medved"
"20",5,1,"ebert"
"21",6,1,"lyons"
"22",6,1,"siskel"
"23",6,1,"medved"
"24",6,1,"ebert"
"25",7,1,"lyons"
"26",7,1,"siskel"
"27",7,1,"medved"
"28",7,1,"ebert"
"29",8,1,"lyons"
"30",8,1,"siskel"
"31",8,1,"medved"
"32",8,1,"ebert"
"33",9,1,"lyons"
"34",9,1,"siskel"
"35",9,1,"medved"
"36",9,1,"ebert"
"37",10,1,"lyons"
"38",10,1,"siskel"
"39",10,1,"medved"
"40",10,1,"ebert"
"41",11,1,"lyons"
"42",11,1,"siskel"
"43",11,1,"medved"
"44",11,1,"ebert"
"45",12,1,"lyons"
"46",12,1,"siskel"
"47",12,1,"medved"
"48",12,1,"ebert"
"49",13,1,"lyons"
"50",13,1,"siskel"
"51",13,1,"medved"
"52",13,1,"ebert"
"53",14,1,"lyons"
"54",14,1,"siskel"
"55",14,1,"medved"
"56",14,1,"ebert"
"57",15,1,"lyons"
"58",15,1,"siskel"
"59",15,1,"medved"
"60",15,1,"ebert"
"61",16,1,"lyons"
"62",16,1,"siskel"
"63",16,1,"medved"
"64",16,2,"ebert"
"65",17,1,"lyons"
"66",17,1,"siskel"
"67",17,1,"medved"
"68",17,2,"ebert"
"69",18,1,"lyons"
"70",18,1,"siskel"
"71",18,2,"medved"
"72",18,1,"ebert"
"73",19,1,"lyons"
"74",19,1,"siskel"
"75",19,2,"medved"
"76",19,1,"ebert"
"77",20,1,"lyons"
"78",20,1,"siskel"
"79",20,3,"medved"
"80",20,1,"ebert"
"81",21,1,"lyons"
"82",21,1,"siskel"
"83",21,3,"medved"
"84",21,1,"ebert"
"85",22,1,"lyons"
"86",22,1,"siskel"
"87",22,3,"medved"
"88",22,1,"ebert"
"89",23,1,"lyons"
"90",23,1,"siskel"
"91",23,3,"medved"
"92",23,1,"ebert"
"93",24,1,"lyons"
"94",24,1,"siskel"
"95",24,3,"medved"
"96",24,1,"ebert"
"97",25,1,"lyons"
"98",25,1,"siskel"
"99",25,3,"medved"
"100",25,1,"ebert"
"101",26,1,"lyons"
"102",26,1,"siskel"
"103",26,3,"medved"
"104",26,1,"ebert"
"105",27,1,"lyons"
"106",27,1,"siskel"
"107",27,3,"medved"
"108",27,1,"ebert"
"109",28,1,"lyons"
"110",28,1,"siskel"
"111",28,3,"medved"
"112",28,3,"ebert"
"113",29,1,"lyons"
"114",29,1,"siskel"
"115",29,3,"medved"
"116",29,3,"ebert"
"117",30,1,"lyons"
"118",30,2,"siskel"
"119",30,1,"medved"
"120",30,2,"ebert"
"121",31,1,"lyons"
"122",31,2,"siskel"
"123",31,1,"medved"
"124",31,2,"ebert"
"125",32,1,"lyons"
"126",32,2,"siskel"
"127",32,1,"medved"
"128",32,2,"ebert"
"129",33,1,"lyons"
"130",33,2,"siskel"
"131",33,2,"medved"
"132",33,1,"ebert"
"133",34,1,"lyons"
"134",34,2,"siskel"
"135",34,2,"medved"
"136",34,1,"ebert"
"137",35,1,"lyons"
"138",35,2,"siskel"
"139",35,2,"medved"
"140",35,2,"ebert"
"141",36,1,"lyons"
"142",36,2,"siskel"
"143",36,2,"medved"
"144",36,2,"ebert"
"145",37,1,"lyons"
"146",37,2,"siskel"
"147",37,2,"medved"
"148",37,2,"ebert"
"149",38,1,"lyons"
"150",38,2,"siskel"
"151",38,3,"medved"
"152",38,1,"ebert"
"153",39,1,"lyons"
"154",39,2,"siskel"
"155",39,3,"medved"
"156",39,1,"ebert"
"157",40,1,"lyons"
"158",40,2,"siskel"
"159",40,3,"medved"
"160",40,1,"ebert"
"161",41,1,"lyons"
"162",41,2,"siskel"
"163",41,3,"medved"
"164",41,2,"ebert"
"165",42,1,"lyons"
"166",42,2,"siskel"
"167",42,3,"medved"
"168",42,2,"ebert"
"169",43,1,"lyons"
"170",43,2,"siskel"
"171",43,3,"medved"
"172",43,3,"ebert"
"173",44,1,"lyons"
"174",44,3,"siskel"
"175",44,1,"medved"
"176",44,1,"ebert"
"177",45,1,"lyons"
"178",45,3,"siskel"
"179",45,1,"medved"
"180",45,3,"ebert"
"181",46,1,"lyons"
"182",46,3,"siskel"
"183",46,2,"medved"
"184",46,1,"ebert"
"185",47,1,"lyons"
"186",47,3,"siskel"
"187",47,2,"medved"
"188",47,2,"ebert"
"189",48,1,"lyons"
"190",48,3,"siskel"
"191",48,2,"medved"
"192",48,2,"ebert"
"193",49,1,"lyons"
"194",49,3,"siskel"
"195",49,2,"medved"
"196",49,3,"ebert"
"197",50,1,"lyons"
"198",50,3,"siskel"
"199",50,3,"medved"
"200",50,1,"ebert"
"201",51,1,"lyons"
"202",51,3,"siskel"
"203",51,3,"medved"
"204",51,2,"ebert"
"205",52,1,"lyons"
"206",52,3,"siskel"
"207",52,3,"medved"
"208",52,3,"ebert"
"209",53,1,"lyons"
"210",53,3,"siskel"
"211",53,3,"medved"
"212",53,3,"ebert"
"213",54,2,"lyons"
"214",54,1,"siskel"
"215",54,1,"medved"
"216",54,1,"ebert"
"217",55,2,"lyons"
"218",55,1,"siskel"
"219",55,1,"medved"
"220",55,1,"ebert"
"221",56,2,"lyons"
"222",56,1,"siskel"
"223",56,2,"medved"
"224",56,1,"ebert"
"225",57,2,"lyons"
"226",57,1,"siskel"
"227",57,2,"medved"
"228",57,1,"ebert"
"229",58,2,"lyons"
"230",58,1,"siskel"
"231",58,2,"medved"
"232",58,2,"ebert"
"233",59,2,"lyons"
"234",59,1,"siskel"
"235",59,3,"medved"
"236",59,2,"ebert"
"237",60,2,"lyons"
"238",60,2,"siskel"
"239",60,1,"medved"
"240",60,1,"ebert"
"241",61,2,"lyons"
"242",61,2,"siskel"
"243",61,1,"medved"
"244",61,2,"ebert"
"245",62,2,"lyons"
"246",62,2,"siskel"
"247",62,2,"medved"
"248",62,2,"ebert"
"249",63,2,"lyons"
"250",63,2,"siskel"
"251",63,3,"medved"
"252",63,2,"ebert"
"253",64,2,"lyons"
"254",64,3,"siskel"
"255",64,1,"medved"
"256",64,1,"ebert"
"257",65,2,"lyons"
"258",65,3,"siskel"
"259",65,3,"medved"
"260",65,2,"ebert"
"261",66,2,"lyons"
"262",66,3,"siskel"
"263",66,3,"medved"
"264",66,3,"ebert"
"265",67,3,"lyons"
"266",67,1,"siskel"
"267",67,1,"medved"
"268",67,1,"ebert"
"269",68,3,"lyons"
"270",68,1,"siskel"
"271",68,1,"medved"
"272",68,1,"ebert"
"273",69,3,"lyons"
"274",69,1,"siskel"
"275",69,1,"medved"
"276",69,1,"ebert"
"277",70,3,"lyons"
"278",70,1,"siskel"
"279",70,1,"medved"
"280",70,2,"ebert"
"281",71,3,"lyons"
"282",71,1,"siskel"
"283",71,1,"medved"
"284",71,3,"ebert"
"285",72,3,"lyons"
"286",72,1,"siskel"
"287",72,3,"medved"
"288",72,1,"ebert"
"289",73,3,"lyons"
"290",73,1,"siskel"
"291",73,3,"medved"
"292",73,1,"ebert"
"293",74,3,"lyons"
"294",74,1,"siskel"
"295",74,3,"medved"
"296",74,1,"ebert"
"297",75,3,"lyons"
"298",75,1,"siskel"
"299",75,3,"medved"
"300",75,1,"ebert"
"301",76,3,"lyons"
"302",76,1,"siskel"
"303",76,3,"medved"
"304",76,2,"ebert"
"305",77,3,"lyons"
"306",77,2,"siskel"
"307",77,1,"medved"
"308",77,3,"ebert"
"309",78,3,"lyons"
"310",78,2,"siskel"
"311",78,3,"medved"
"312",78,1,"ebert"
"313",79,3,"lyons"
"314",79,2,"siskel"
"315",79,3,"medved"
"316",79,2,"ebert"
"317",80,3,"lyons"
"318",80,2,"siskel"
"319",80,3,"medved"
"320",80,2,"ebert"
"321",81,3,"lyons"
"322",81,2,"siskel"
"323",81,3,"medved"
"324",81,2,"ebert"
"325",82,3,"lyons"
"326",82,3,"siskel"
"327",82,1,"medved"
"328",82,3,"ebert"
"329",83,3,"lyons"
"330",83,3,"siskel"
"331",83,2,"medved"
"332",83,1,"ebert"
"333",84,3,"lyons"
"334",84,3,"siskel"
"335",84,2,"medved"
"336",84,1,"ebert"
"337",85,3,"lyons"
"338",85,3,"siskel"
"339",85,2,"medved"
"340",85,2,"ebert"
"341",86,3,"lyons"
"342",86,3,"siskel"
"343",86,3,"medved"
"344",86,1,"ebert"
"345",87,3,"lyons"
"346",87,3,"siskel"
"347",87,3,"medved"
"348",87,1,"ebert"
"349",88,3,"lyons"
"350",88,3,"siskel"
"351",88,3,"medved"
"352",88,2,"ebert"
"353",89,3,"lyons"
"354",89,3,"siskel"
"355",89,3,"medved"
"356",89,2,"ebert"
"357",90,3,"lyons"
"358",90,3,"siskel"
"359",90,3,"medved"
"360",90,3,"ebert"
"361",91,3,"lyons"
"362",91,3,"siskel"
"363",91,3,"medved"
"364",91,3,"ebert"
"365",92,3,"lyons"
"366",92,3,"siskel"
"367",92,3,"medved"
"368",92,3,"ebert"
"369",93,3,"lyons"
"370",93,3,"siskel"
"371",93,3,"medved"
"372",93,3,"ebert"
