"","salinity","lagged.salinity","trend","discharge"
"1",7.6,8.2,4,23.005
"2",7.7,7.6,5,23.873
"3",4.3,4.6,0,26.417
"4",5.9,4.3,1,24.868
"5",5,5.9,2,29.895
"6",6.5,5,3,24.2
"7",8.3,6.5,4,23.215
"8",8.2,8.3,5,21.862
"9",13.2,10.1,0,22.274
"10",12.6,13.2,1,23.83
"11",10.4,12.6,2,25.144
"12",10.8,10.4,3,22.43
"13",13.1,10.8,4,21.785
"14",12.3,13.1,5,22.38
"15",10.4,13.3,0,23.927
"16",10.5,10.4,1,33.443
"17",7.7,10.5,2,24.859
"18",9.5,7.7,3,22.686
"19",12,10,0,21.789
"20",12.6,12,1,22.041
"21",13.6,12.1,4,21.033
"22",14.1,13.6,5,21.005
"23",13.5,15,0,25.865
"24",11.5,13.5,1,26.29
"25",12,11.5,2,22.932
"26",13,12,3,21.313
"27",14.1,13,4,20.769
"28",15.1,14.1,5,21.393
