"","CASEID","WEIGHT","PROVINCP","URBRUR","URBSIZEP","HHINCTOT","M101"
"1",2395,111,10,1,1,16000,744
"2",1970,98,10,1,1,30000,1032
"3",4623,183,10,1,1,120000,2978
"4",6603,253,10,1,1,45000,694
"5",1441,78,10,1,1,71000,6040
"6",2682,122,10,1,1,1e+05,8485
"7",1552,83,10,1,1,54000,1425
"8",3635,153,10,1,1,18000,1892
"9",5693,222,10,1,1,31000,4240
"10",2394,111,10,1,1,13000,85
"11",5776,225,10,1,1,70000,1770
"12",4009,163,10,1,1,41000,2560
"13",4648,184,10,1,1,61000,3777
"14",5397,211,10,1,1,130000,5849
"15",8297,335,10,1,1,25000,3210
"16",4190,170,10,1,2,36000,590
"17",5631,219,10,1,1,16000,1294
"18",6345,242,10,1,1,42000,2328
"19",3357,144,10,1,1,39000,3119
"20",1969,98,10,1,1,120000,10078
"21",6416,245,10,1,1,6800,167
"22",3295,142,10,1,2,7900,535
"23",3442,147,10,1,1,54000,1415
"24",3356,144,10,1,1,46000,1245
"25",6326,241,10,1,1,62000,1734
"26",1631,87,10,1,1,62000,2481
"27",4445,178,10,1,1,14000,468
"28",1750,91,10,1,1,27000,699
"29",7770,301,10,1,1,65000,6898
"30",4316,174,10,1,1,26000,1251
"31",4680,185,10,1,2,27000,680
"32",2393,111,10,1,1,11000,456
"33",5113,198,10,1,1,75000,3565
"34",803,47,10,1,1,74000,1180
"35",2436,113,10,1,1,26000,1577
"36",6544,251,10,1,1,90000,2124
"37",3000,132,10,1,1,44000,4354
"38",5904,229,10,1,1,26000,3015
"39",7134,272,10,1,1,65000,3801
"40",1117,60,10,1,1,28000,1176
"41",2144,104,10,1,2,77000,1515
"42",8491,348,10,1,1,120000,4797
"43",4189,170,10,1,1,38000,2790
"44",4872,190,10,1,1,78000,1576
"45",7446,286,10,1,1,92000,5470
"46",2392,111,10,1,1,37000,2090
"47",3138,137,10,1,2,52000,2059
"48",1850,95,10,1,1,49000,2067
"49",1968,98,10,1,1,28000,4769
"50",4188,170,10,1,1,74000,1485
"51",4746,187,10,1,1,19000,1607
"52",7010,267,10,1,1,67000,5155
"53",6439,246,10,1,1,110000,3801
"54",1036,55,10,1,1,54000,1490
"55",1849,95,10,1,1,40000,494
"56",3742,156,10,1,1,62000,930
"57",5002,194,10,1,1,22000,2370
"58",6298,240,10,1,1,28000,635
"59",5563,216,10,1,1,49000,4500
"60",1649,88,10,1,1,12000,1036
"61",403,35,10,1,1,51000,2211
"62",3,1,10,1,1,29000,398
"63",8980,393,10,1,1,43000,2845
"64",2,1,10,1,1,16000,778
"65",1967,98,10,1,1,23000,1156
"66",3820,158,10,1,1,26000,2071
"67",3168,138,10,1,1,8500,480
"68",5261,205,10,1,1,16000,345
"69",3294,142,10,1,1,74000,2306
"70",6972,266,10,1,1,66000,7018
"71",3741,156,10,1,1,21000,2608
"72",830,49,10,1,1,34000,6965
"73",1269,69,10,1,1,21000,2181
"74",3668,154,10,1,1,48000,2930
"75",4622,183,10,1,1,120000,4824
"76",3114,136,10,1,1,90000,10825
"77",2223,106,10,1,1,22000,2830
"78",6254,238,10,1,1,290000,2233
"79",2052,101,10,1,1,270000,7091
"80",3420,146,10,1,1,48000,532
"81",5171,201,10,1,1,160000,7730
"82",1893,96,10,1,1,1e+05,3420
"83",2456,114,10,1,1,70000,1557
"84",4812,188,10,1,1,150000,17305
"85",5775,225,10,1,1,1e+05,5388
"86",1183,64,10,1,1,56000,1182
"87",1281,70,10,1,1,1e+05,5381
"88",1848,95,10,1,1,61000,3686
"89",6543,251,10,1,1,70000,4095
"90",4071,165,10,1,1,1e+05,9705
"91",7054,269,10,1,1,55000,360
"92",5753,224,10,1,1,86000,3060
"93",2391,111,10,1,1,17000,445
"94",2390,111,10,1,1,35000,2040
"95",2389,111,10,1,1,45000,1115
"96",2388,111,10,1,1,35000,0
"97",1606,86,10,1,1,44000,50
"98",3697,155,10,1,1,41000,550
"99",3389,145,10,1,2,84000,2224
"100",2387,111,10,1,1,49000,2084
"101",2386,111,10,1,1,98000,968
"102",1966,98,10,1,2,27000,516
"103",2555,118,10,1,2,36000,715
"104",3027,133,10,1,1,61000,2287
"105",2621,120,10,1,1,46000,1321
"106",760,45,10,1,1,58000,3335
"107",2385,111,10,1,1,36000,2325
"108",8296,335,10,1,1,20000,572
"109",3477,148,10,1,1,85000,3535
"110",2384,111,10,1,1,18000,123
"111",2383,111,10,1,1,31000,120
"112",3740,156,10,1,1,74000,5540
"113",3609,152,10,1,1,58000,3943
"114",3563,151,10,1,1,31000,690
"115",4593,182,10,1,1,95000,3272
"116",1892,96,10,1,1,31000,2083
"117",5774,225,10,1,1,37000,6686
"118",5819,227,10,1,1,19000,2069
"119",1847,95,10,1,1,53000,3066
"120",6480,248,10,1,1,48000,1525
"121",3776,157,10,1,1,88000,2660
"122",1116,60,10,1,1,24000,787
"123",4152,168,10,1,1,18000,2609
"124",1268,69,10,1,1,20000,493
"125",2620,120,10,1,1,60000,3594
"126",2554,118,10,1,1,170000,11778
"127",1965,98,10,1,1,23000,810
"128",888,51,10,1,1,58000,1804
"129",1991,99,10,1,1,80000,1200
"130",7426,285,10,1,1,41000,4918
"131",4070,165,10,1,1,99000,2770
"132",4679,185,10,1,1,210000,1865
"133",6271,239,10,1,1,66000,10900
"134",5818,227,10,1,1,90000,5535
"135",4811,188,10,1,1,59000,1785
"136",4568,181,10,1,1,50000,4198
"137",1,1,10,1,1,14000,1563
"138",3052,134,10,1,1,47000,2054
"139",3231,140,10,1,1,56000,5695
"140",4647,184,10,1,1,66000,750
"141",2619,120,10,1,1,76000,3560
"142",2934,130,10,1,1,83000,1100
"143",3322,143,10,1,1,310000,5834
"144",3739,156,10,1,1,72000,4442
"145",2301,109,10,1,1,240000,7050
"146",2504,116,10,1,1,3700,199
"147",7175,274,10,1,1,83000,5767
"148",6025,232,10,1,1,80000,5012
"149",2600,119,10,1,1,140000,6054
"150",4187,170,10,1,1,68000,10796
"151",5665,221,10,1,1,110000,3655
"152",3696,155,10,1,1,18000,1127
"153",2032,100,10,1,1,77000,8054
"154",2933,130,10,1,1,89000,5021
"155",2222,106,10,1,1,23000,2841
"156",1964,98,10,1,1,23000,540
"157",7294,279,10,1,1,14000,389
"158",5515,215,10,1,1,9600,534
"159",1605,86,10,1,1,14000,540
"160",2382,111,10,1,1,15000,594
"161",1821,94,10,1,1,93000,6240
"162",2278,108,10,1,1,34000,1835
"163",3819,158,10,1,1,41000,3003
"164",8252,332,10,1,1,120000,8243
"165",4723,186,10,1,1,18000,509
"166",3419,146,10,1,1,14000,4510
"167",4100,166,10,1,1,32000,2201
"168",5630,219,10,1,1,20000,1045
"169",5903,229,10,1,1,58000,5090
"170",1990,99,10,1,2,43000,5457
"171",4937,192,10,1,1,44000,940
"172",4315,174,10,1,1,26000,2154
"173",1630,87,10,1,1,67000,1726
"174",4519,180,10,1,1,26000,1135
"175",3085,135,10,1,1,44000,3332
"176",1082,57,10,1,1,30000,1552
"177",5589,217,10,1,1,10000,0
"178",1891,96,10,1,1,22000,878
"179",1963,98,10,1,1,32000,2564
"180",3293,142,10,1,1,8400,75
"181",5629,219,10,1,1,11000,100
"182",3418,146,10,1,1,3000,870
"183",2221,106,10,1,1,33000,1440
"184",7133,272,10,1,1,33000,2960
"185",6758,259,10,1,1,12000,203
"186",438,36,10,1,1,16000,150
"187",7948,310,10,1,1,28000,400
"188",1962,98,10,1,1,49000,2729
"189",4444,178,10,1,1,23000,1829
"190",2110,103,10,1,1,27000,830
"191",1058,56,10,1,1,29000,514
"192",2381,111,10,1,2,14000,408
"193",1749,91,10,1,1,25000,1225
"194",4186,170,10,1,1,50000,2051
"195",1164,63,10,1,2,47000,1786
"196",2793,125,10,1,1,59000,3009
"197",2478,115,10,1,1,49000,4720
"198",1961,98,10,1,1,36000,3630
"199",3388,145,10,1,1,79000,3299
"200",3026,133,10,1,1,22000,540
"201",3859,159,10,1,1,97000,17460
"202",1081,57,10,1,2,14000,444
"203",1080,57,10,1,2,13000,225
"204",5170,201,10,1,1,220000,9500
"205",3695,155,10,1,1,32000,817
"206",5692,222,10,1,1,190000,14584
"207",2650,121,10,1,1,69000,1180
"208",3387,145,10,1,1,18000,2565
"209",4871,190,10,1,1,21000,1740
"210",3634,153,10,1,1,38000,2924
"211",3958,161,10,1,1,57000,4308
"212",2220,106,10,1,1,25000,507
"213",4151,168,10,1,1,17000,767
"214",2338,110,10,1,1,71000,3538
"215",7367,282,10,1,1,15000,920
"216",4226,171,10,1,1,47000,3285
"217",9251,419,10,1,1,13000,280
"218",1890,96,10,1,2,9600,435
"219",2380,111,10,1,1,12000,965
"220",1336,73,10,1,1,70000,1650
"221",2031,100,10,1,1,19000,710
"222",1820,94,10,1,1,35000,5041
"223",4936,192,10,1,1,51000,3156
"224",228,29,10,1,1,41000,1345
"225",5199,202,10,1,1,4600,1872
"226",6518,250,10,1,1,48000,1960
"227",5478,213,10,1,1,37000,1776
"228",5477,213,10,1,1,41000,535
"229",1327,72,10,1,1,16000,1490
"230",5967,231,10,1,1,75000,4252
"231",2825,126,10,1,1,23000,1553
"232",732,44,10,1,1,29000,2840
"233",1960,98,10,1,1,29000,1051
"234",2435,113,10,1,1,38000,2376
"235",1079,57,10,1,1,12000,90
"236",1796,92,10,1,2,49000,9050
"237",5112,198,10,1,1,75000,2299
"238",3528,150,10,1,1,71000,1320
"239",5644,220,10,1,1,120000,5681
"240",1959,98,10,1,1,20000,360
"241",1958,98,10,1,1,20000,645
"242",2599,119,10,1,2,51000,2734
"243",2883,128,10,1,1,43000,865
"244",2379,111,10,1,1,23000,466
"245",1957,98,10,1,1,23000,540
"246",1956,98,10,1,1,27000,445
"247",1955,98,10,1,1,80000,390
"248",1954,98,10,1,1,21000,375
"249",1748,91,10,1,1,38000,1846
"250",3633,153,10,1,1,99000,7656
"251",1953,98,10,1,2,45000,720
"252",5691,222,10,1,1,68000,23908
"253",2051,101,10,1,1,68000,3405
"254",1395,76,10,1,1,60000,3921
"255",3201,139,10,1,1,26000,1413
"256",3527,150,10,1,2,72000,2860
"257",5562,216,10,1,1,45000,1120
"258",3200,139,10,1,1,17000,865
"259",3608,152,10,1,1,57000,1876
"260",2337,110,10,1,1,47000,1270
"261",2219,106,10,1,1,67000,780
"262",3738,156,10,1,1,20000,1330
"263",2553,118,10,1,1,38000,1448
"264",2378,111,10,1,1,14000,540
"265",4381,176,10,1,1,40000,880
"266",3051,134,10,1,1,15000,1000
"267",2552,118,10,1,1,25000,1511
"268",6344,242,10,1,1,37000,870
"269",2598,119,10,1,1,35000,750
