"","x1","x2","x3","x4","y"
"1","B","F","J","J","A"
"2","E","I","C","E","B"
"3","A","E","E","E","B"
"4","F","E","D","F","B"
"5","H","A","G","A","A"
"6","H","D","C","F","A"
"7","G","A","F","G","B"
"8","D","G","J","B","B"
"9","D","C","E","F","B"
"10","J","H","A","C","A"
"11","A","I","J","B","B"
"12","E","J","G","A","B"
"13","C","B","F","F","A"
"14","D","B","J","F","B"
"15","H","C","E","D","A"
"16","F","H","J","E","B"
"17","G","J","H","D","B"
"18","I","D","I","J","B"
"19","D","F","E","A","B"
"20","E","J","H","A","B"
"21","H","I","E","E","A"
"22","C","I","B","C","A"
"23","F","F","J","C","B"
"24","A","B","G","A","B"
"25","A","E","H","E","B"
"26","A","C","C","J","B"
"27","D","I","B","E","B"
"28","F","D","C","E","A"
"29","B","B","B","D","A"
"30","I","G","I","I","A"
"31","B","A","A","B","A"
"32","E","H","E","B","B"
"33","I","F","E","B","B"
"34","G","H","A","I","B"
"35","C","A","D","A","A"
"36","G","E","G","B","B"
"37","I","G","F","E","A"
"38","C","D","A","J","B"
"39","J","C","C","F","A"
"40","D","F","C","I","B"
"41","B","J","I","G","A"
"42","B","C","F","B","A"
"43","G","G","A","I","A"
"44","A","I","D","G","B"
"45","B","B","I","E","A"
"46","J","H","H","J","A"
"47","J","C","C","A","A"
"48","F","C","C","G","A"
"49","C","A","F","C","A"
"50","J","J","D","A","A"
"51","G","C","I","E","A"
"52","C","D","A","G","B"
"53","B","D","F","E","A"
"54","B","E","H","F","A"
"55","E","E","J","H","B"
"56","G","D","B","G","B"
"57","C","J","F","E","A"
"58","J","I","H","J","A"
"59","C","B","F","I","A"
"60","A","I","B","F","B"
"61","D","J","J","F","B"
"62","B","B","C","B","A"
"63","E","E","F","G","B"
"64","E","F","I","D","B"
"65","B","B","C","D","A"
"66","E","A","H","G","B"
"67","D","C","F","G","A"
"68","H","F","G","D","A"
"69","J","I","H","E","A"
"70","H","A","D","G","A"
"71","F","E","A","E","B"
"72","A","A","D","J","B"
"73","B","A","J","G","A"
"74","B","D","C","J","A"
"75","B","D","C","F","A"
"76","I","G","I","H","A"
"77","C","D","J","B","B"
"78","D","A","H","C","B"
"79","H","G","B","D","A"
"80","E","I","A","H","B"
"81","G","A","A","G","B"
"82","I","F","D","B","B"
"83","D","E","I","B","B"
"84","E","I","J","G","B"
"85","G","F","E","F","B"
"86","F","B","E","C","B"
"87","G","D","D","F","B"
"88","G","I","F","C","A"
"89","F","D","E","I","B"
"90","F","H","J","C","B"
"91","E","D","G","C","B"
"92","H","C","J","E","A"
"93","F","A","B","H","B"
"94","B","J","H","G","A"
"95","C","I","B","F","A"
"96","J","J","G","B","A"
"97","A","D","H","G","B"
"98","A","D","A","C","B"
"99","I","J","H","A","B"
"100","E","D","H","E","B"
"101","G","A","C","D","B"
"102","C","F","C","I","A"
"103","E","A","A","J","B"
"104","B","D","A","I","A"
"105","H","H","C","H","A"
"106","I","G","I","E","A"
"107","D","J","F","E","B"
"108","H","H","H","D","A"
"109","H","C","G","F","A"
"110","E","I","A","E","B"
"111","I","A","B","E","B"
"112","H","F","G","E","A"
"113","C","G","C","E","A"
"114","B","I","B","J","A"
"115","B","H","F","E","A"
"116","F","I","F","F","A"
"117","C","A","E","E","A"
"118","B","E","G","B","A"
"119","E","I","J","C","B"
"120","I","J","C","B","B"
"121","E","G","I","B","A"
"122","F","C","G","G","A"
"123","A","B","B","G","B"
"124","A","J","J","F","B"
"125","H","G","C","J","A"
"126","D","F","H","D","B"
"127","J","A","G","G","A"
"128","G","A","D","D","B"
"129","B","D","I","C","A"
"130","A","I","I","I","A"
"131","B","J","J","I","A"
"132","A","F","D","I","B"
"133","D","C","I","B","A"
"134","I","G","J","C","B"
"135","A","G","G","F","B"
"136","F","J","B","G","B"
"137","A","I","D","D","B"
"138","H","H","B","D","A"
"139","A","J","F","I","B"
"140","D","C","E","H","B"
"141","J","C","A","H","A"
"142","H","E","J","F","A"
"143","E","J","B","G","B"
"144","A","B","C","B","B"
"145","I","E","H","C","B"
"146","J","G","A","D","A"
"147","I","E","H","B","B"
"148","B","D","A","H","A"
"149","F","D","D","E","A"
"150","F","I","B","A","A"
"151","C","B","A","J","B"
"152","H","B","C","G","A"
"153","H","A","F","C","A"
"154","J","J","D","A","A"
"155","I","H","A","I","B"
"156","C","I","D","D","A"
"157","C","D","D","F","A"
"158","J","E","J","E","A"
"159","I","C","G","I","A"
"160","I","J","C","E","B"
"161","D","H","D","C","B"
"162","F","J","A","J","B"
"163","B","C","C","B","A"
"164","I","A","G","C","B"
"165","F","C","E","J","A"
"166","B","F","A","I","A"
"167","C","E","G","A","A"
"168","F","I","J","B","A"
"169","H","E","H","A","A"
"170","D","D","F","A","B"
"171","D","D","C","I","B"
"172","H","E","G","I","A"
"173","H","D","J","E","A"
"174","B","G","F","C","A"
"175","G","F","C","D","A"
"176","J","J","I","H","A"
"177","B","H","I","F","A"
"178","B","F","E","I","A"
"179","B","B","E","A","A"
"180","E","J","H","A","B"
"181","C","C","J","F","A"
"182","B","B","I","E","A"
"183","D","H","B","G","B"
"184","E","I","G","H","B"
"185","B","D","G","E","A"
"186","C","G","G","G","A"
"187","J","G","C","J","A"
"188","F","I","G","B","A"
"189","G","A","J","H","B"
"190","A","I","D","E","B"
"191","J","C","C","C","A"
"192","B","C","D","I","A"
"193","G","F","D","B","A"
"194","D","J","F","E","B"
"195","J","J","D","D","A"
"196","F","E","J","D","B"
"197","A","D","G","F","B"
"198","D","J","F","F","B"
"199","C","G","C","D","A"
"200","H","D","D","E","A"
"201","C","D","I","F","A"
"202","I","J","G","J","B"
"203","D","C","G","G","B"
"204","E","H","F","I","B"
"205","E","E","D","D","B"
"206","B","F","D","C","A"
"207","G","D","D","F","B"
"208","D","E","I","F","B"
"209","I","D","B","I","B"
"210","G","E","F","E","B"
"211","B","H","A","J","A"
"212","B","F","F","C","A"
"213","G","A","B","E","B"
"214","H","J","F","C","A"
"215","D","I","F","J","B"
"216","D","E","J","F","B"
"217","D","G","G","I","B"
"218","I","C","C","I","A"
"219","I","F","A","F","B"
"220","I","I","C","I","B"
"221","B","J","B","B","A"
"222","F","H","B","H","B"
"223","I","H","A","C","B"
"224","F","B","F","B","B"
"225","B","A","E","H","A"
"226","I","H","G","E","B"
"227","E","E","J","D","B"
"228","C","A","C","F","A"
"229","H","G","C","B","A"
"230","A","G","E","F","B"
"231","I","I","A","C","B"
"232","F","I","B","D","A"
"233","A","H","H","C","B"
"234","I","B","A","J","B"
"235","D","J","J","I","B"
"236","J","D","A","J","A"
"237","E","E","E","D","B"
"238","C","F","I","C","A"
"239","E","B","C","F","B"
"240","D","H","J","G","B"
"241","B","A","J","H","A"
"242","B","D","E","J","A"
"243","G","J","J","J","B"
"244","D","G","G","G","B"
"245","C","J","F","D","A"
"246","E","A","F","D","B"
"247","I","J","B","A","B"
"248","E","F","A","I","B"
"249","I","C","E","I","B"
"250","F","C","J","E","A"
"251","D","B","E","H","B"
"252","F","J","G","I","B"
"253","B","F","D","J","A"
"254","J","A","C","B","A"
"255","C","J","I","G","A"
"256","J","E","J","H","A"
"257","H","I","A","F","A"
"258","J","J","B","H","A"
"259","A","A","D","C","B"
"260","F","A","G","C","B"
"261","I","G","H","I","A"
"262","C","J","B","I","B"
"263","B","C","H","F","A"
"264","H","F","A","D","A"
"265","I","E","C","D","B"
"266","H","E","E","C","A"
"267","J","B","D","G","A"
"268","G","D","F","F","B"
"269","H","C","E","F","A"
"270","F","C","J","E","A"
"271","A","A","C","C","B"
"272","A","J","J","D","B"
"273","H","J","B","I","A"
"274","G","E","B","G","B"
"275","B","H","B","A","A"
"276","D","D","C","G","B"
"277","C","G","B","E","A"
"278","B","I","H","B","A"
"279","H","D","A","H","A"
"280","J","H","B","D","A"
"281","E","J","J","J","B"
"282","E","C","D","C","B"
"283","E","E","D","D","B"
"284","C","J","C","B","B"
"285","F","G","F","D","A"
"286","H","B","F","J","A"
"287","G","B","H","H","B"
"288","H","H","D","B","A"
"289","A","G","E","B","B"
"290","C","G","C","F","A"
"291","E","C","G","H","B"
"292","H","C","A","A","A"
"293","B","J","J","I","A"
"294","C","C","I","H","A"
"295","A","G","I","D","A"
"296","J","E","G","J","A"
"297","F","C","J","F","A"
"298","B","D","E","J","A"
"299","D","B","F","F","B"
"300","J","B","J","G","A"
"301","F","E","G","C","B"
"302","B","H","H","G","A"
"303","I","B","I","I","B"
"304","G","E","B","J","B"
"305","D","J","E","J","B"
"306","H","I","B","C","A"
"307","J","I","D","E","A"
"308","D","H","C","G","B"
"309","I","E","F","I","B"
"310","D","C","C","E","B"
"311","J","E","D","J","A"
"312","I","C","B","E","B"
"313","G","F","E","C","B"
"314","B","C","A","F","A"
"315","D","F","A","H","B"
"316","H","I","G","G","A"
"317","B","D","H","H","A"
"318","D","E","G","H","B"
"319","E","G","A","H","B"
"320","J","A","D","A","A"
"321","H","B","F","J","A"
"322","B","C","G","B","A"
"323","B","J","E","G","A"
"324","I","J","C","C","B"
"325","A","J","E","H","B"
"326","J","H","H","E","A"
"327","F","D","F","B","A"
"328","D","A","I","B","B"
"329","H","D","D","B","A"
"330","G","I","F","H","A"
"331","B","J","H","A","A"
"332","B","F","J","J","A"
"333","E","H","D","D","B"
"334","I","A","G","I","B"
"335","F","F","H","D","B"
"336","J","A","C","D","A"
"337","D","E","E","E","B"
"338","F","C","E","A","A"
"339","E","H","J","H","B"
"340","H","H","B","G","A"
"341","E","D","G","I","B"
"342","G","E","J","J","B"
"343","C","A","G","I","A"
"344","D","C","A","I","B"
"345","A","H","H","J","B"
"346","A","H","A","B","B"
"347","D","E","D","B","B"
"348","F","E","J","F","B"
