"","IG","year","sales","stock"
"1","S02000260",2003,122,2002
"2","S02000261",2003,54,908
"3","S02000262",2003,83,1693
"4","S02000263",2003,65,1198
"5","S02000264",2003,124,2305
"6","S02000265",2003,37,1109
"7","S02000266",2003,42,1102
"8","S02000267",2003,50,1360
"9","S02000268",2003,71,2199
"10","S02000269",2003,64,1453
"11","S02000270",2003,72,2171
"12","S02000271",2003,65,1626
"13","S02000272",2003,46,1425
"14","S02000273",2003,50,1129
"15","S02000274",2003,32,1283
"16","S02000275",2003,60,1407
"17","S02000276",2003,90,1575
"18","S02000277",2003,51,1973
"19","S02000278",2003,46,1095
"20","S02000279",2003,77,1892
"21","S02000280",2003,57,1546
"22","S02000281",2003,166,1921
"23","S02000282",2003,69,1394
"24","S02000283",2003,23,1347
"25","S02000284",2003,49,1406
"26","S02000285",2003,65,1053
"27","S02000286",2003,69,1582
"28","S02000287",2003,83,1760
"29","S02000310",2003,75,1959
"30","S02000311",2003,157,2404
"31","S02000312",2003,68,1324
"32","S02000313",2003,121,2100
"33","S02000314",2003,67,2305
"34","S02000316",2003,66,1322
"35","S02000317",2003,110,2190
"36","S02000318",2003,124,2162
"37","S02000319",2003,36,1078
"38","S02000320",2003,66,1438
"39","S02000321",2003,80,2203
"40","S02000322",2003,42,1734
"41","S02000323",2003,56,1207
"42","S02000324",2003,78,1659
"43","S02000325",2003,100,1873
"44","S02000326",2003,75,1975
"45","S02000327",2003,101,1640
"46","S02000328",2003,78,2784
"47","S02000329",2003,34,1281
"48","S02000584",2003,58,1544
"49","S02000585",2003,41,2862
"50","S02000586",2003,61,1345
"51","S02000587",2003,77,2230
"52","S02000588",2003,86,1770
"53","S02000589",2003,75,2569
"54","S02000590",2003,59,1209
"55","S02000591",2003,51,1174
"56","S02000592",2003,37,2253
"57","S02000593",2003,121,2161
"58","S02000594",2003,56,1472
"59","S02000595",2003,152,1779
"60","S02000596",2003,109,2111
"61","S02000597",2003,59,2174
"62","S02000598",2003,80,1451
"63","S02000599",2003,218,2853
"64","S02000600",2003,124,1757
"65","S02000601",2003,15,1947
"66","S02000602",2003,93,3019
"67","S02000603",2003,172,2216
"68","S02000604",2003,195,2125
"69","S02000605",2003,174,1922
"70","S02000606",2003,37,1401
"71","S02000607",2003,257,2790
"72","S02000608",2003,241,2314
"73","S02000609",2003,286,2234
"74","S02000610",2003,48,3195
"75","S02000611",2003,71,1685
"76","S02000612",2003,143,2288
"77","S02000613",2003,37,1216
"78","S02000614",2003,263,2972
"79","S02000615",2003,76,2149
"80","S02000616",2003,179,2820
"81","S02000617",2003,59,1863
"82","S02000618",2003,100,1810
"83","S02000619",2003,26,2805
"84","S02000620",2003,101,2565
"85","S02000621",2003,62,2480
"86","S02000622",2003,158,1564
"87","S02000623",2003,57,1537
"88","S02000624",2003,101,1722
"89","S02000625",2003,55,1756
"90","S02000626",2003,54,1772
"91","S02000627",2003,90,2421
"92","S02000628",2003,191,3252
"93","S02000629",2003,53,1885
"94","S02000630",2003,84,2030
"95","S02000631",2003,94,2029
"96","S02000632",2003,128,2685
"97","S02000633",2003,61,2968
"98","S02000634",2003,107,2648
"99","S02000635",2003,226,3242
"100","S02000636",2003,67,1684
"101","S02000637",2003,47,1953
"102","S02000638",2003,69,2371
"103","S02000639",2003,120,1697
"104","S02000640",2003,81,2467
"105","S02000641",2003,27,2389
"106","S02000642",2003,130,1802
"107","S02000643",2003,39,1718
"108","S02000644",2003,122,2167
"109","S02000645",2003,106,1563
"110","S02000646",2003,44,2088
"111","S02000647",2003,67,2119
"112","S02000648",2003,211,2862
"113","S02000649",2003,25,1542
"114","S02000650",2003,178,2047
"115","S02000651",2003,153,1942
"116","S02000652",2003,4,1757
"117","S02000653",2003,47,1432
"118","S02000654",2003,63,2847
"119","S02000655",2003,275,2453
"120","S02000656",2003,42,3226
"121","S02000657",2003,59,1810
"122","S02000658",2003,210,4339
"123","S02000659",2003,293,3128
"124","S02000660",2003,123,3147
"125","S02000661",2003,196,3495
"126","S02000662",2003,9,1658
"127","S02000663",2003,54,2531
"128","S02000664",2003,287,3376
"129","S02000665",2003,198,2793
"130","S02000666",2003,22,3213
"131","S02000667",2003,59,2419
"132","S02000668",2003,100,1858
"133","S02000669",2003,64,1912
"134","S02000670",2003,19,2278
"135","S02000671",2003,148,2228
"136","S02000672",2003,182,2656
"137","S02000673",2003,58,1885
"138","S02000674",2003,41,1408
"139","S02000675",2003,185,3320
"140","S02000676",2003,40,2085
"141","S02000677",2003,181,2120
"142","S02000678",2003,41,1637
"143","S02000679",2003,140,2243
"144","S02000680",2003,80,2504
"145","S02000681",2003,172,2251
"146","S02000682",2003,37,1133
"147","S02000683",2003,121,1867
"148","S02000684",2003,60,2022
"149","S02000685",2003,24,2746
"150","S02000686",2003,52,1870
