"","IG","observed","expected","incomedep","SMR"
"1","S02000618",105,105.1294433,15,0.998768724574802
"2","S02000613",85,69.41011117,22,1.224605443893
"3","S02000623",37,87.85767447,8,0.421135663141574
"4","S02000626",90,89.41669071,26,1.00652349449939
"5","S02000636",41,97.55096565,8,0.420293122951777
"6","S02000645",47,84.86335508,8,0.553831508967486
"7","S02000611",83,88.69325208,18,0.935809636624162
"8","S02000632",128,103.1370333,35,1.24106730535558
"9","S02000640",125,125.9481046,34,0.992472259880281
"10","S02000646",85,91.2947738,44,0.931050009348947
"11","S02000652",91,65.59669526,51.5,1.38726500838664
"12","S02000653",83,62.16932035,34.5,1.3350636541099
"13","S02000662",76,57.00895043,44,1.33312399942038
"14","S02000620",123,116.8045139,37.5,1.05304149551364
"15","S02000630",106,69.54993903,31,1.52408472930907
"16","S02000643",107,74.66200673,46,1.43312515543473
"17","S02000654",174,140.627722,41.5,1.23730938342299
"18","S02000663",153,117.6640757,38,1.30031191839805
"19","S02000674",97,74.22580837,22,1.30682308660723
"20","S02000629",55,59.48863379,37,0.924546362825456
"21","S02000633",172,105.3163455,53,1.6331747857696
"22","S02000648",141,99.98750336,38,1.41017622464616
"23","S02000657",97,97.64208151,29.5,0.993424131275466
"24","S02000667",114,127.5835446,29,0.893532158535122
"25","S02000695",37,113.6256883,9,0.325630590701557
"26","S02000923",63,125.7642098,10.5,0.500937429656557
"27","S02000619",110,81.05837468,48,1.35704670164255
"28","S02000635",168,122.1077495,35,1.37583405384111
"29","S02000647",68,70.3844261,36,0.966122816763295
"30","S02000650",56,72.4372567,15,0.773082838185395
"31","S02000659",116,132.6875095,20,0.874234511124048
"32","S02000666",139,129.3541976,33.5,1.07456891681109
"33","S02000678",89,75.03754421,39,1.18607293105068
"34","S02000260",107,106.4566068,22,1.00510436333013
"35","S02000261",23,50.97354049,7,0.451214488515118
"36","S02000697",93,86.93644242,29,1.06974701760519
"37","S02000262",53,104.4923634,6,0.507214099437242
"38","S02000267",27,78.68850397,3.5,0.343125089915215
"39","S02000270",79,136.9556776,8,0.576828952142689
"40","S02000274",37,71.90508591,5.5,0.514567217766919
"41","S02000925",52,91.36114808,16,0.569169730162174
"42","S02000658",139,180.1595854,17,0.771538187609528
"43","S02000670",72,61.39559465,25,1.17272257741704
"44","S02000680",65,85.06878547,26,0.764087551513506
"45","S02000687",70,74.68039888,29.5,0.937327612731144
"46","S02000264",60,140.1654628,7,0.428065507732194
"47","S02000691",144,115.1570183,38,1.25046655536756
"48","S02000275",43,69.60728522,12.5,0.617751430243181
"49","S02000278",31,61.91481683,8,0.500687906177885
"50","S02000281",84,98.54936522,17,0.852364698772841
"51","S02000277",87,82.24304631,26,1.05784019322521
"52","S02000283",37,58.80445096,17.5,0.629204072072166
"53","S02000927",35,69.59429987,6.5,0.502914751141673
"54","S02000926",52,72.55551167,27,0.716692623387573
"55","S02000655",53,70.74429283,15,0.749177041423823
"56","S02000669",89,75.24226171,27.5,1.18284588976107
"57","S02000676",74,82.36911476,34,0.8983949896222
"58","S02000694",69,92.55372038,39,0.745512981182227
"59","S02000268",77,149.9873281,6,0.513376703054956
"60","S02000708",85,78.1001706,36,1.08834589408695
"61","S02000713",85,74.5575401,22,1.14005907230837
"62","S02000279",74,116.9056586,5,0.632989034801092
"63","S02000287",81,106.6323898,7,0.75961910027454
"64","S02000280",71,82.72945886,18,0.858219079132993
"65","S02000286",58,91.86182378,9,0.631383066581655
"66","S02000651",58,66.24486715,15.5,0.87553953227303
"67","S02000665",76,88.98627122,16,0.854064328778378
"68","S02000675",78,102.7731478,22,0.75895310856675
"69","S02000685",121,87.8257959,44,1.37772733807927
"70","S02000692",145,132.6230478,35,1.09332429321535
"71","S02000701",105,88.29383718,38,1.18921097274255
"72","S02000266",42,69.06125309,3.5,0.608155776514307
"73","S02000704",104,71.2339661,34,1.45997767208416
"74","S02000710",80,89.52005117,25.5,0.89365453833442
"75","S02000269",38,94.52943863,3,0.401991173868457
"76","S02000273",25,74.70953435,3,0.334629310937473
"77","S02000276",42,108.9552769,3,0.385479264474248
"78","S02000282",43,87.81100992,4,0.489688024761075
"79","S02000284",54,75.45745849,15.5,0.715635022443227
"80","S02000661",63,97.5467092,10,0.645844442284886
"81","S02000664",67,102.2691135,17,0.655134260061812
"82","S02000672",37,83.47375548,9,0.443253089396045
"83","S02000683",33,60.5430263,8,0.545066905583476
"84","S02000688",90,120.0659289,21,0.749588170637141
"85","S02000693",69,94.86851579,46,0.727322435956916
"86","S02000700",55,47.65304501,40,1.15417598158645
"87","S02000263",40,90.35747009,5,0.442686143825831
"88","S02000702",61,86.25652691,9,0.707192860473589
"89","S02000265",25,63.93549233,6,0.391019120818898
"90","S02000271",33,99.62981499,3,0.331226149554852
"91","S02000272",43,101.9237242,3.5,0.421884113218069
"92","S02000285",23,63.04681134,3.5,0.364808298963213
"93","S02000668",52,55.78524076,16,0.932146196584776
"94","S02000671",58,74.4028976,20.5,0.779539532342085
"95","S02000677",45,78.61215867,6,0.572430534427913
"96","S02000681",25,78.47937834,7,0.318555020806756
"97","S02000690",54,123.5241458,6.5,0.437161493004229
"98","S02000705",148,139.8972358,22,1.0579194017213
"99","S02000709",129,127.6956202,29,1.01021475754577
"100","S02000689",71,136.7435967,4,0.519219924833233
"101","S02000712",88,74.70588321,47,1.17795274239152
"102","S02000715",88,59.72261542,45,1.47347867103842
"103","S02000716",93,58.76786947,45.5,1.58249738911285
"104","S02001189",60,87.39243444,15,0.686558286017235
"105","S02001191",112,106.1843596,32.5,1.05476927507881
"106","S02001193",89,106.0372327,7.5,0.839327826026905
"107","S02000673",65,61.50139743,39.5,1.05688655406541
"108","S02000679",41,84.51764107,7,0.485105825019922
"109","S02000682",26,62.23790559,9,0.417751846780935
"110","S02000698",81,85.09835924,25,0.951839738432071
"111","S02000706",103,93.08000755,28,1.10657489949892
"112","S02000711",55,67.11866384,16,0.81944420304777
"113","S02000686",84,95.53690317,8,0.879241394820271
"114","S02000699",87,93.4632044,27,0.930847605306372
