"","pupil","school","popular","sex","texp","const","teachpop"
"1",1,1,NA,1,24,1,7
"2",2,1,NA,0,24,1,7
"3",3,1,7,1,24,1,6
"4",4,1,NA,1,24,1,6
"5",5,1,NA,1,24,1,7
"6",6,1,7,0,24,1,7
"7",7,1,NA,0,24,1,7
"8",8,1,NA,0,24,1,7
"9",9,1,NA,0,24,1,7
"10",10,1,NA,0,24,1,6
"11",11,1,NA,1,24,1,6
"12",12,1,NA,1,24,1,7
"13",13,1,7,0,24,1,7
"14",14,1,NA,1,24,1,6
"15",15,1,9,1,24,1,7
"16",16,1,7,1,24,1,6
"17",17,1,9,0,24,1,7
"18",18,1,NA,0,24,1,7
"19",19,1,8,1,24,1,7
"20",20,1,NA,0,24,1,7
"21",1,2,NA,1,14,1,3
"22",2,2,4,0,14,1,3
"23",3,2,NA,0,14,1,4
"24",4,2,NA,1,14,1,4
"25",5,2,4,1,14,1,2
"26",6,2,4,0,14,1,4
"27",7,2,NA,1,14,1,2
"28",8,2,NA,0,14,1,4
"29",9,2,NA,1,14,1,4
"30",10,2,5,1,14,1,3
"31",11,2,NA,1,14,1,3
"32",12,2,NA,0,14,1,2
"33",13,2,NA,0,14,1,2
"34",14,2,NA,0,14,1,3
"35",15,2,4,0,14,1,2
"36",16,2,4,1,14,1,2
"37",17,2,4,1,14,1,4
"38",18,2,4,1,14,1,4
"39",19,2,NA,0,14,1,2
"40",20,2,4,0,14,1,4
"41",1,3,NA,0,13,1,6
"42",2,3,8,1,13,1,7
"43",3,3,NA,1,13,1,6
"44",4,3,7,1,13,1,6
"45",5,3,6,0,13,1,6
"46",6,3,7,1,13,1,6
"47",7,3,NA,0,13,1,5
"48",8,3,8,1,13,1,6
"49",9,3,7,1,13,1,6
"50",10,3,NA,1,13,1,5
"51",11,3,8,1,13,1,7
"52",12,3,7,1,13,1,6
"53",13,3,NA,1,13,1,6
"54",14,3,7,1,13,1,5
"55",15,3,5,0,13,1,6
"56",16,3,NA,0,13,1,5
"57",17,3,7,1,13,1,6
"58",18,3,6,0,13,1,6
"59",1,4,7,1,20,1,6
"60",2,4,NA,1,20,1,6
"61",3,4,7,1,20,1,6
"62",4,4,6,1,20,1,6
"63",5,4,6,1,20,1,6
"64",6,4,6,0,20,1,5
"65",7,4,NA,0,20,1,6
"66",8,4,NA,0,20,1,6
"67",9,4,NA,0,20,1,6
"68",10,4,6,1,20,1,6
"69",11,4,NA,0,20,1,6
"70",12,4,NA,0,20,1,6
"71",13,4,6,0,20,1,6
"72",14,4,NA,0,20,1,6
"73",15,4,NA,0,20,1,6
"74",16,4,NA,1,20,1,6
"75",17,4,7,1,20,1,6
"76",18,4,7,0,20,1,5
"77",19,4,6,0,20,1,6
"78",20,4,7,0,20,1,6
"79",21,4,NA,0,20,1,6
"80",22,4,7,1,20,1,6
"81",23,4,NA,0,20,1,5
"82",1,5,5,0,5,1,4
"83",2,5,4,1,5,1,4
"84",3,5,NA,0,5,1,3
"85",4,5,NA,1,5,1,3
"86",5,5,3,0,5,1,3
"87",6,5,4,0,5,1,4
"88",7,5,NA,0,5,1,4
"89",8,5,5,1,5,1,5
"90",9,5,NA,1,5,1,4
"91",10,5,5,0,5,1,5
"92",11,5,5,1,5,1,5
"93",12,5,NA,1,5,1,5
"94",13,5,4,0,5,1,3
"95",14,5,7,1,5,1,4
"96",15,5,5,0,5,1,4
"97",16,5,NA,1,5,1,4
"98",17,5,5,1,5,1,3
"99",18,5,4,0,5,1,3
"100",19,5,5,1,5,1,5
"101",20,5,NA,0,5,1,4
"102",21,5,NA,0,5,1,4
"103",1,6,NA,0,8,1,3
"104",2,6,4,1,8,1,3
"105",3,6,NA,1,8,1,2
"106",4,6,5,1,8,1,4
"107",5,6,5,1,8,1,4
"108",6,6,4,1,8,1,4
