"","RochePt","Rosslare","Shannon","Dublin","Clones","MalinHead"
"1",4.92,7.29,3.67,3.71,2.71,7.83
"2",22.5,19.41,16.13,16.08,16.58,19.67
"3",7.54,9.29,11,1.71,9.71,15.37
"4",6.29,6.75,8.25,8.46,10.29,15.46
"5",10.34,11.29,9.38,8.71,8.42,11.12
"6",10.63,11.38,5.71,6.54,5.17,6.38
"7",4.71,5.09,5.21,2.88,4.46,10.17
"8",9.54,9.13,7.54,5.25,7.62,8.46
"9",4.79,4.63,3.42,3.33,1.83,3.88
"10",9,8,8.04,10.54,10.37,16.79
"11",17.5,14.92,12.62,14.92,13.5,19.67
"12",11.08,10.37,9.46,7.41,8.38,13.29
"13",5.88,4.08,6.21,3.04,5.37,8.33
"14",7.79,4.21,9.46,9,10.58,17.96
"15",9.75,10.25,7.29,11.21,8.92,23.13
"16",15,32.71,9.59,21.87,14.04,13.25
"17",10.83,14.46,7.96,13.04,7.87,8.71
"18",16.62,20.54,12.96,19.83,15.5,19.41
"19",9.29,9.04,9.5,6.92,7.54,6.5
"20",13.13,8.83,9.96,4.33,2.46,2.62
"21",9.29,11.54,2.21,10.41,5.17,7.92
"22",27.79,19.83,20.46,19.75,20.08,26.5
"23",21.96,18.75,16.5,22.42,17.58,22.25
"24",21.84,20.25,18.79,18.75,17.75,23.16
"25",18.91,26.92,15.63,26.87,14.29,27.25
"26",13,19.21,11.12,13.88,9.33,15.75
"27",9.21,14.12,5.91,7.67,6.34,12.42
"28",14.83,16.42,14.33,13.54,11,16.5
"29",18.21,11.42,17.88,16.42,11.38,17.79
"30",29.04,15.63,26.04,17.83,14.62,13.83
"31",19.29,17.67,19.29,22.5,14.33,17.41
"32",6.87,6.54,4.5,8.29,6,13.04
"33",1,6.46,5.25,2.79,7.12,11.54
"34",13.33,12.96,15.79,13.67,12.92,23.71
"35",8.04,6.13,4.12,5.46,5.17,5.71
"36",3.08,6.38,4.42,5.88,4.92,6.54
"37",9.83,9.17,10.29,14.25,11.25,20.3
"38",8.21,8.71,10.58,11.25,7.08,10.92
"39",14.17,13.59,10.79,10.5,11.08,13.7
"40",10,10.96,9.29,7.41,9.62,11.92
"41",10.46,9.67,10.34,8.04,7.41,11.42
"42",12.67,9.71,10.75,7.54,8.67,15.67
"43",9.59,8.25,10.08,6.25,8.96,12.38
"44",5.13,10.79,2.13,2.5,2.71,7.75
"45",8.96,10.46,9.59,8.5,12.5,16.75
"46",18.25,11.75,20.79,20.75,14.58,29.17
"47",5.13,5.88,6.75,8.38,4.92,8.79
"48",7.17,3.58,3.54,7.41,7.21,13.13
"49",12.83,5.79,9.38,4.71,3.63,8.58
"50",17.33,13.88,14.04,10.13,10.79,17.5
"51",13.17,11.25,9.92,4.17,8.58,16.17
"52",23.29,21.59,21.12,23.67,16.71,23.42
"53",17.16,15.09,10.63,14,13.7,23
"54",12.67,17.75,7.75,7.79,2.96,7.87
"55",18.75,18.29,16.17,16.75,11.92,19.58
"56",7.67,7.17,0.92,8.38,4.79,8.29
"57",11.87,13.13,11.71,10.37,5.66,11.75
"58",18.91,16.54,18,12.83,16.42,23.54
"59",12.38,13.88,14.21,13.54,12.38,23.09
"60",14.25,9.25,12.33,12.42,12.08,16.25
