"","Locality","Replicate","Color","Time","Type","Number","id"
"1","Havreholm","A","White","july1","Bumblebees",1,1
"4","Havreholm","A","Yellow","july1","Bumblebees",2,1
"7","Havreholm","A","Blue","july1","Bumblebees",0,1
"10","Havreholm","A","White","july1","Solitary",1,1
"13","Havreholm","A","Yellow","july1","Solitary",4,1
"16","Havreholm","A","Blue","july1","Solitary",3,1
"2","Havreholm","B","White","july1","Bumblebees",2,2
"5","Havreholm","B","Yellow","july1","Bumblebees",2,2
"8","Havreholm","B","Blue","july1","Bumblebees",0,2
"11","Havreholm","B","White","july1","Solitary",8,2
"14","Havreholm","B","Yellow","july1","Solitary",7,2
"17","Havreholm","B","Blue","july1","Solitary",7,2
"3","Havreholm","C","White","july1","Bumblebees",1,3
"6","Havreholm","C","Yellow","july1","Bumblebees",0,3
"9","Havreholm","C","Blue","july1","Bumblebees",0,3
"12","Havreholm","C","White","july1","Solitary",1,3
"15","Havreholm","C","Yellow","july1","Solitary",2,3
"18","Havreholm","C","Blue","july1","Solitary",4,3
"55","Kragevig","A","White","july1","Bumblebees",2,4
"58","Kragevig","A","Yellow","july1","Bumblebees",0,4
"61","Kragevig","A","Blue","july1","Bumblebees",0,4
"64","Kragevig","A","White","july1","Solitary",0,4
"67","Kragevig","A","Yellow","july1","Solitary",1,4
"70","Kragevig","A","Blue","july1","Solitary",3,4
"56","Kragevig","B","White","july1","Bumblebees",2,5
"59","Kragevig","B","Yellow","july1","Bumblebees",0,5
"62","Kragevig","B","Blue","july1","Bumblebees",1,5
"65","Kragevig","B","White","july1","Solitary",5,5
"68","Kragevig","B","Yellow","july1","Solitary",4,5
"71","Kragevig","B","Blue","july1","Solitary",1,5
"57","Kragevig","C","White","july1","Bumblebees",0,6
"60","Kragevig","C","Yellow","july1","Bumblebees",3,6
"63","Kragevig","C","Blue","july1","Bumblebees",0,6
"66","Kragevig","C","White","july1","Solitary",2,6
"69","Kragevig","C","Yellow","july1","Solitary",0,6
"72","Kragevig","C","Blue","july1","Solitary",4,6
"19","Saltrup","A","White","july1","Bumblebees",0,7
"22","Saltrup","A","Yellow","july1","Bumblebees",1,7
"25","Saltrup","A","Blue","july1","Bumblebees",0,7
"28","Saltrup","A","White","july1","Solitary",1,7
"31","Saltrup","A","Yellow","july1","Solitary",0,7
"34","Saltrup","A","Blue","july1","Solitary",0,7
"20","Saltrup","B","White","july1","Bumblebees",0,8
"23","Saltrup","B","Yellow","july1","Bumblebees",1,8
"26","Saltrup","B","Blue","july1","Bumblebees",1,8
"29","Saltrup","B","White","july1","Solitary",0,8
"32","Saltrup","B","Yellow","july1","Solitary",0,8
"35","Saltrup","B","Blue","july1","Solitary",2,8
"21","Saltrup","C","White","july1","Bumblebees",0,9
"24","Saltrup","C","Yellow","july1","Bumblebees",1,9
"27","Saltrup","C","Blue","july1","Bumblebees",0,9
"30","Saltrup","C","White","july1","Solitary",0,9
"33","Saltrup","C","Yellow","july1","Solitary",0,9
"36","Saltrup","C","Blue","july1","Solitary",0,9
"37","Svaerdborg","A","White","july1","Bumblebees",0,10
"40","Svaerdborg","A","Yellow","july1","Bumblebees",2,10
"43","Svaerdborg","A","Blue","july1","Bumblebees",0,10
"46","Svaerdborg","A","White","july1","Solitary",0,10
"49","Svaerdborg","A","Yellow","july1","Solitary",0,10
"52","Svaerdborg","A","Blue","july1","Solitary",0,10
"38","Svaerdborg","B","White","july1","Bumblebees",0,11
"41","Svaerdborg","B","Yellow","july1","Bumblebees",1,11
"44","Svaerdborg","B","Blue","july1","Bumblebees",0,11
"47","Svaerdborg","B","White","july1","Solitary",0,11
"50","Svaerdborg","B","Yellow","july1","Solitary",1,11
"53","Svaerdborg","B","Blue","july1","Solitary",2,11
"39","Svaerdborg","C","White","july1","Bumblebees",0,12
"42","Svaerdborg","C","Yellow","july1","Bumblebees",0,12
"45","Svaerdborg","C","Blue","july1","Bumblebees",0,12
"48","Svaerdborg","C","White","july1","Solitary",0,12
"51","Svaerdborg","C","Yellow","july1","Solitary",1,12
"54","Svaerdborg","C","Blue","july1","Solitary",0,12
