"","rat","locality","sex","weight","PCA0","PCA4"
"1",1,"Loc1","F",284,78.6,73.2
"2",2,"Loc1","F",274,65.2,67.8
"3",3,"Loc1","F",276,78.2,91.9
"4",4,"Loc1","F",298,62.9,76.3
"5",5,"Loc1","F",284,55.3,53.1
"6",6,"Loc1","F",266,77.7,80.1
"7",7,"Loc1","F",272,77.2,45.3
"8",8,"Loc1","F",224,159.2,81.6
"9",9,"Loc1","F",450,62.6,17.3
"10",10,"Loc1","F",353,60.5,147.7
"11",11,"Loc1","F",82,161.7,118.9
"12",12,"Loc1","F",180,55.4,63.3
"13",13,"Loc1","F",353,83.6,65.8
"14",14,"Loc1","F",292,144.6,83.8
"15",15,"Loc1","F",286,115.9,55.8
"16",16,"Loc1","F",257,51.6,61
"17",17,"Loc1","F",248,95.5,63
"18",18,"Loc1","F",290,61.9,61.5
"19",19,"Loc1","F",326,54.2,78.6
"20",20,"Loc1","F",324,171.9,31.5
"21",21,"Loc1","F",376,118.4,82.6
"22",22,"Loc1","F",225,83.2,91.2
"23",23,"Loc1","F",348,65.1,58.2
"24",24,"Loc1","F",204,68.6,138.2
"25",25,"Loc1","F",271,64,55.4
"26",26,"Loc1","F",207,63.4,73.1
"27",27,"Loc1","F",310,72.8,132.4
"28",28,"Loc1","F",353,110.7,39.4
"29",29,"Loc1","F",263,75.9,1.5
"30",30,"Loc1","F",258,64.8,70.9
"31",31,"Loc1","F",352,66.3,60.6
"32",32,"Loc1","F",404,85.7,72.6
"33",33,"Loc1","F",331,52.5,66.9
"34",34,"Loc1","F",373,60.1,64.8
"35",35,"Loc1","F",95,75.3,105.8
"36",36,"Loc1","F",93,63.4,115.7
"37",37,"Loc1","F",92,99.3,117.3
"38",38,"Loc1","F",357,56.8,1.1
"39",39,"Loc1","F",74,157.2,177.8
"40",40,"Loc1","F",158,68.6,77.9
"41",41,"Loc1","F",296,60.7,83.8
"42",42,"Loc1","F",250,65.6,78.9
"43",43,"Loc1","F",74,68.9,103.6
"44",44,"Loc1","F",219,86.3,58.5
"45",45,"Loc1","F",365,53,2.3
"46",46,"Loc1","M",358,84.4,39.4
"47",47,"Loc1","M",335,71,98.9
"48",48,"Loc1","M",388,89.6,85.6
"49",49,"Loc1","M",303,85.8,34.3
"50",50,"Loc1","M",358,75.4,65
"51",51,"Loc1","M",176,116.6,121.9
"52",52,"Loc1","M",244,83.6,38.7
"53",53,"Loc1","M",375,98.5,22.7
"54",54,"Loc1","M",405,105.4,87.9
"55",55,"Loc1","M",301,59.5,62.9
"56",56,"Loc1","M",310,70.5,89.5
"57",57,"Loc1","M",372,88.2,87.8
"58",58,"Loc1","M",295,98,52.4
"59",59,"Loc1","M",306,129.6,73.9
"60",60,"Loc1","M",92,162.1,71
"61",61,"Loc1","M",257,131,60.6
"62",62,"Loc1","M",375,94.5,84.6
"63",63,"Loc1","M",425,94.1,106.2
"64",64,"Loc1","M",347,143.8,87.8
"65",65,"Loc1","M",319,110.8,73
"66",66,"Loc1","M",364,85.2,71.4
"67",67,"Loc1","M",120,273.1,296.2
"68",68,"Loc1","M",98,145.7,154.7
"69",69,"Loc1","M",358,85.6,48.6
"70",70,"Loc1","M",125,138.4,1.8
"71",71,"Loc1","M",82,213.4,268.6
"72",72,"Loc1","M",61,301.5,412.5
"73",73,"Loc1","M",69,171.1,200
"74",74,"Loc1","M",347,96.1,145.9
"75",75,"Loc1","M",83,173.4,190.6
"76",76,"Loc1","M",71,281.2,283
"77",77,"Loc1","M",70,193.7,169.7
"78",78,"Loc2","F",47,48,78
"79",79,"Loc2","F",103,65,80
"80",80,"Loc2","F",381,118,63
"81",81,"Loc2","F",106,62,82
"82",82,"Loc2","F",91,64,82
"83",83,"Loc2","F",67,61,83
"84",84,"Loc2","F",95,46,99
"85",85,"Loc2","F",396,61.9,105.4
"86",86,"Loc2","F",249,76.5,71.5
"87",87,"Loc2","F",263,74.1,64.3
"88",88,"Loc2","F",220,76.8,104
"89",89,"Loc2","F",302,72.8,69.1
"90",90,"Loc2","F",201,55.4,53.3
"91",91,"Loc2","F",201,90,59.7
"92",92,"Loc2","F",295,76.3,58.1
"93",93,"Loc2","F",357,77.2,70.2
"94",94,"Loc2","F",223,57.8,57.5
"95",95,"Loc2","F",204,67,37.7
"96",96,"Loc2","F",335,56.6,55.3
"97",97,"Loc2","F",308,81.1,46.4
"98",98,"Loc2","F",264,85.8,83.2
"99",99,"Loc2","F",218,42.5,74.9
"100",100,"Loc2","F",204,90.2,55.3
"101",101,"Loc2","F",368,73.1,90.3
"102",102,"Loc2","F",306,74.5,60.8
"103",103,"Loc2","F",224,63.3,71.2
"104",104,"Loc2","F",290,102.7,63.2
"105",105,"Loc2","F",320,68.6,94
"106",106,"Loc2","F",300,93.8,25.2
"107",107,"Loc2","F",297,83.6,68.5
"108",108,"Loc2","F",353,71,70.6
"109",109,"Loc2","F",324,71.9,74
"110",110,"Loc2","F",402,53.3,64.4
