"","SAND","ME","TM","AJ","BM","LO"
"1",120,175,120,105,100,100
"2",48,50,50,45,50,70
"3",88,150,75,75,60,80
"4",32,45,22,28,30,30
"5",24,25,22,25,20,20
"6",100,125,80,91,80,70
"7",52,70,50,48,45,50
"8",80,145,75,68,55,60
"9",72,85,90,55,60,60
"10",96,110,110,84,65,65
"11",48,65,40,43,25,30
"12",24,24,20,18,18,20
"13",96,120,110,103,90,60
"14",100,200,120,95,100,58
"15",52,45,60,53,50,35
"16",80,95,75,69,75,55
"17",88,105,90,75,64,70
"18",72,75,90,58,80,60
"19",120,155,110,120,110,80
"20",32,54,30,30,25,25
"21",72,80,50,54,75,40
"22",48,60,40,42,50,30
"23",24,30,20,26,15,20
"24",32,35,27,32,25,21
"25",96,158,80,67,90,55
"26",52,75,50,44,50,40
"27",120,154,110,82,120,60
"28",80,97,70,60,85,38
"29",100,127,100,71,90,58
"30",88,137,88,56,80,50
