"","f1item1","f1item2","f1item3","f1item4","f1item5","f1item6","f1item7","f1item8","f1item9","f2item1","f2item2","f2item3","f2item4","f2item5","f2item6","f2item7","f2item8","f2item9"
"1",-0.57827,-0.842748,-1.975078,0.645633,-1.20909,-1.513714,1.060756,0.503781,-1.616953,-1.441481,0.204852,0.609085,0.648045,-0.421808,-1.190254,-1.914466,-1.730002,-1.2644
"2",-1.446948,0.453321,0.5876,-0.859016,0.641959,1.315123,-1.20298,-2.033742,-0.261086,1.565364,-0.200347,-1.635511,-1.828397,-0.134861,-0.241151,-0.433495,-1.903297,0.111261
"3",0.46989,2.120395,0.916405,2.426691,0.67048,0.39574,1.374676,-0.148805,0.06506,-2.23331,-0.746977,0.260067,-1.653131,-0.612603,-1.146792,-0.923125,-1.767,0.667741
"4",-0.868255,0.087536,0.782655,1.299487,-0.413209,-1.125852,-0.775612,0.896308,0.686521,-0.085602,-0.777624,-1.037676,0.682199,0.027396,0.577563,1.081816,0.535932,-0.694762
"5",0.624927,2.214487,-0.38987,-1.253308,0.425128,0.68909,1.766188,-0.278854,-1.313569,0.841403,-0.09921,-1.045102,0.737969,-0.21087,1.203996,1.14813,-0.421505,-0.2514
"6",-1.308883,0.004748,1.473277,-0.812573,-1.596142,-1.385481,1.30133,-0.117419,0.229701,1.064471,-0.932012,-0.162369,-0.426181,-1.231433,1.000821,0.743242,-0.599968,-0.849702
"7",0.295225,0.022067,0.243198,0.748342,-0.377816,0.30854,1.604777,0.865144,-1.821475,-0.448507,-1.089701,0.269107,0.658827,0.460856,-1.072573,-0.001765,-0.390886,0.621846
"8",0.00062,0.57973,0.225668,0.701701,-0.147735,0.941216,0.11259,-0.534351,0.666629,-0.379498,-0.927922,-1.174206,0.905127,0.714313,-1.095085,-0.038644,2.435316,0.738073
"9",0.882477,-0.478817,-1.351495,0.071995,-0.503512,1.196207,-2.352143,-1.164099,-0.206371,0.008617,0.097837,0.845178,-0.844057,-0.101388,-0.658646,-1.040069,0.274,0.544872
"10",1.528854,-1.302172,1.012465,0.451522,-0.137518,0.664161,0.310313,-0.198997,2.101152,0.217082,-1.195179,0.204997,0.343726,1.93808,0.129514,-0.135901,-0.35378,0.477164
