"","u1","u2","u3","u4","u5","u6","u7","u8","g"
"1","3","3","2","2","3","2","2","3","male"
"2","3","2","2","2","2","3","3","2","male"
"3","3","2","3","1","4","3","3","3","male"
"4","1","3","2","1","3","2","2","3","male"
"5","3","4","3","4","4","4","5","3","male"
"6","3","4","3","3","4","3","2","1","male"
"7","2","4","3","3","3","3","2","4","male"
"8","3","3","3","3","2","3","3","2","male"
"9","4","4","4","3","2","4","2","4","male"
"10","3","1","4","3","4","2","4","5","male"
"11","2","2","3","2","1","1","1","2","male"
"12","4","4","4","3","5","5","3","4","male"
"13","4","4","3","3","3","2","3","4","male"
"14","3","3","3","3","5","5","5","4","male"
"15","3","4","3","4","3","2","4","2","male"
"16","2","3","2","2","2","2","2","3","male"
"17","4","3","4","3","2","3","3","2","male"
"18","2","2","3","3","2","1","2","2","male"
"19","2","2","3","2","2","3","3","4","male"
"20","4","3","3","4","2","2","3","3","male"
"21","4","4","5","5","5","4","4","5","male"
"22","4","4","3","3","2","3","3","2","male"
"23","3","4","3","2","4","5","3","5","male"
"24","1","3","3","2","3","2","2","3","male"
"25","3","3","4","3","2","2","3","4","male"
"26","4","3","4","3","3","5","3","3","male"
"27","3","3","3","4","3","2","3","4","male"
"28","3","2","3","3","2","2","1","1","male"
"29","2","2","2","3","2","2","3","2","male"
"30","4","4","4","4","3","3","3","4","male"
"31","3","4","4","3","5","4","3","3","male"
"32","4","4","4","3","5","3","4","5","male"
"33","3","2","2","3","3","2","4","1","male"
"34","3","2","2","4","3","3","5","3","male"
"35","4","4","5","3","4","4","4","5","male"
"36","3","3","4","4","4","3","3","4","male"
"37","3","2","2","2","3","3","4","4","male"
"38","3","3","4","2","3","2","3","2","male"
"39","4","3","3","2","2","3","4","3","male"
"40","3","3","3","3","3","3","3","2","male"
"41","1","1","2","2","3","4","2","4","male"
"42","3","3","3","2","4","4","3","2","male"
"43","1","1","2","3","2","3","2","3","male"
"44","2","2","3","2","3","2","4","2","male"
"45","4","3","2","3","3","3","3","3","male"
"46","3","2","4","4","2","2","2","1","male"
"47","5","5","5","5","5","5","5","4","male"
"48","4","3","3","3","2","3","4","3","male"
"49","3","3","2","3","4","4","2","4","male"
"50","4","4","3","3","2","3","2","3","male"
"51","4","3","2","4","4","4","2","4","male"
"52","3","3","3","4","3","1","2","3","male"
"53","2","3","3","3","2","2","2","3","male"
"54","4","3","3","4","3","2","2","1","male"
"55","5","3","4","4","4","5","5","5","male"
"56","3","4","3","3","3","4","5","5","male"
"57","3","4","3","3","3","4","2","4","male"
"58","5","5","5","5","5","4","4","4","male"
"59","3","3","4","3","2","2","2","2","male"
"60","5","4","5","2","5","4","4","3","male"
"61","2","3","3","2","1","2","3","3","male"
"62","2","3","3","4","1","1","2","3","male"
"63","2","2","3","3","2","3","3","4","male"
"64","1","3","3","1","2","3","2","3","male"
"65","2","2","2","2","2","2","2","3","male"
"66","2","2","3","2","1","1","1","1","male"
"67","4","3","5","4","4","3","5","5","male"
"68","5","2","3","2","3","2","3","3","male"
"69","2","3","3","3","3","3","3","4","male"
"70","4","4","2","4","2","3","2","3","male"
"71","2","4","2","2","1","1","1","1","male"
"72","2","3","4","4","1","3","2","1","male"
"73","3","2","3","3","2","3","3","3","male"
"74","2","3","3","2","3","3","3","4","male"
"75","3","3","3","3","5","3","5","5","male"
"76","3","2","2","2","4","5","4","4","male"
"77","4","4","5","4","3","3","4","5","male"
"78","3","4","3","2","4","4","4","3","male"
"79","3","2","3","2","2","1","4","2","male"
"80","2","2","3","1","4","1","2","1","male"
"81","2","2","1","2","3","3","2","2","male"
"82","3","3","3","3","2","2","4","2","male"
"83","3","1","3","3","3","3","3","4","male"
"84","1","3","2","2","3","3","5","4","male"
"85","3","3","2","4","2","2","3","4","male"
"86","3","4","4","4","4","4","5","3","male"
"87","2","1","4","2","2","2","2","4","male"
"88","2","2","4","2","3","2","3","4","male"
"89","3","4","3","3","2","3","3","3","male"
"90","3","3","3","4","1","1","2","2","male"
"91","2","2","3","3","4","3","4","4","male"
"92","2","2","1","2","1","1","1","2","male"
"93","2","3","3","2","2","3","3","4","male"
"94","3","2","3","4","4","4","3","3","male"
"95","3","3","4","3","2","2","3","1","male"
"96","4","3","2","4","4","3","2","3","male"
"97","2","3","3","3","1","2","3","2","male"
"98","4","5","4","4","5","5","5","4","male"
"99","2","2","2","2","1","2","2","2","male"
"100","4","3","4","4","3","3","4","4","male"
"101","3","4","3","4","5","5","5","5","female"
"102","4","3","1","4","4","2","2","3","female"
"103","3","3","4","3","3","2","3","3","female"
"104","2","3","2","1","3","2","2","2","female"
"105","2","3","2","2","2","4","3","4","female"
"106","5","3","3","3","3","3","3","4","female"
"107","3","2","4","2","4","3","3","4","female"
"108","3","3","3","3","3","3","3","2","female"
"109","1","2","1","1","1","3","4","2","female"
"110","2","1","2","1","2","2","1","2","female"
"111","1","1","2","3","2","3","3","4","female"
"112","2","3","4","4","2","3","2","2","female"
"113","4","2","3","3","4","4","4","4","female"
"114","2","1","3","2","3","3","4","4","female"
"115","5","4","4","4","4","2","5","3","female"
"116","4","5","4","5","4","3","4","3","female"
"117","4","2","3","1","4","4","4","3","female"
"118","2","2","3","2","3","3","3","2","female"
"119","1","4","1","2","4","4","5","3","female"
"120","2","3","2","1","3","2","3","2","female"
"121","3","3","4","4","2","2","3","3","female"
"122","1","1","1","1","1","3","2","1","female"
"123","2","2","2","2","1","1","1","2","female"
"124","2","3","2","3","3","2","1","2","female"
"125","3","3","2","2","1","2","4","3","female"
"126","1","2","1","1","4","4","4","3","female"
"127","5","3","3","2","3","4","4","4","female"
"128","3","4","3","3","3","4","4","4","female"
"129","3","3","2","4","3","3","3","2","female"
"130","2","3","3","3","5","3","3","2","female"
"131","2","3","3","1","3","3","1","3","female"
"132","2","2","2","4","3","2","4","2","female"
"133","2","2","2","3","3","3","2","3","female"
"134","2","3","3","2","2","3","3","3","female"
"135","2","2","2","3","3","3","5","3","female"
"136","3","2","2","2","2","2","2","3","female"
"137","3","4","4","3","4","2","4","3","female"
"138","1","2","1","3","3","2","3","2","female"
"139","4","3","4","4","4","5","3","4","female"
"140","4","4","3","2","3","4","3","2","female"
"141","2","2","2","1","3","3","2","3","female"
"142","3","3","2","4","3","5","4","4","female"
"143","3","5","4","4","3","3","4","4","female"
"144","4","1","3","2","5","4","3","3","female"
"145","3","2","3","2","4","4","5","4","female"
"146","2","3","4","3","3","3","3","4","female"
"147","3","4","4","3","4","5","4","4","female"
"148","2","3","1","3","4","4","3","3","female"
"149","3","4","3","4","3","3","3","4","female"
"150","2","3","3","2","4","3","4","4","female"
"151","5","2","2","2","3","3","3","3","female"
"152","4","3","5","2","5","3","4","4","female"
"153","1","1","1","2","2","2","2","3","female"
"154","3","2","3","3","2","1","2","2","female"
"155","2","2","3","2","3","3","2","4","female"
"156","4","4","3","4","4","3","5","3","female"
"157","2","2","1","1","4","3","3","4","female"
"158","2","4","2","3","3","2","4","2","female"
"159","4","4","4","3","4","3","3","3","female"
"160","2","5","2","5","5","5","4","4","female"
"161","3","3","4","2","3","4","3","3","female"
"162","5","5","5","4","5","5","5","4","female"
"163","1","1","2","2","4","5","2","3","female"
