"","size","footsize","sex"
"1",163,38,"F"
"2",163,38,"F"
"3",168,40,"F"
"4",159,38,"F"
"5",165,38.5,"F"
"6",176,42,"F"
"7",167,40,"F"
"8",162,40,"F"
"9",164,40,"F"
"10",160,37.5,"F"
"11",163,37.5,"F"
"12",164,39,"F"
"13",157,38,"F"
"14",166,39,"F"
"15",158,37.5,"F"
"16",165,38,"F"
"17",170,38,"F"
"18",167,38,"F"
"19",159,38,"F"
"20",173,39,"F"
"21",162,37,"F"
"22",169,39.5,"F"
"23",168,38,"F"
"24",163,37,"F"
"25",163,38,"F"
"26",163,37,"F"
"27",170,40,"F"
"28",156.5,37.5,"F"
"29",171,38,"F"
"30",165,38,"F"
"31",170,38,"F"
"32",165,37,"F"
"33",166,38.5,"F"
"34",162,37,"F"
"35",161,37.5,"F"
"36",167,39,"F"
"37",163,38,"F"
"38",164,38,"F"
"39",165,38,"F"
"40",172,41,"F"
"41",166,38,"F"
"42",167,39,"F"
"43",158,37,"F"
"44",168,38,"F"
"45",165,38,"F"
"46",157,36,"F"
"47",169,39,"F"
"48",165,38,"F"
"49",159,36.67,"F"
"50",168,38.5,"F"
"51",165,39,"F"
"52",168,38,"F"
"53",163,37,"F"
"54",169.5,39.5,"F"
"55",172,38.5,"F"
"56",165,40,"F"
"57",168,38,"F"
"58",160,38.5,"F"
"59",165,38,"F"
"60",165,36.5,"F"
"61",185,44,"M"
"62",181,43,"M"
"63",180,43,"M"
"64",170,40,"M"
"65",182,44,"M"
"66",185,44.5,"M"
"67",186,42.5,"M"
"68",177,42.5,"M"
"69",172,42.5,"M"
"70",168,39,"M"
"71",182,45,"M"
"72",183,43,"M"
"73",179,41,"M"
"74",173,42,"M"
"75",187,43,"M"
"76",172,38,"M"
"77",168,39.5,"M"
"78",180,42,"M"
"79",182,42.5,"M"
"80",180,44,"M"
"81",175,43,"M"
"82",183,45,"M"
"83",180,42,"M"
"84",182,45,"M"
