"","15-24 (79)","25-34 (79)","35-44 (79)","45-54 (79)","55-64 (79)","65-74 (79)","75-84 (79)","85-94 (79)","95 and more (79)","15-24 (06)","25-34 (06)","35-44 (06)","45-54 (06)","55-64 (06)","65-74 (06)","75-84 (06)","85-94 (06)","95 and more (06)"
"Accidental poisoning",82,72,54,64,43,74,73,40,1,54,109,141,135,89,97,196,159,27
"Addiction to prescription medication",7,4,2,6,6,2,6,0,0,18,77,72,15,4,2,1,0,0
"Alcohol abuse and alcohol-related psychosis",15,135,360,862,757,806,391,43,2,14,79,403,977,786,397,245,52,3
"Asthma",17,28,29,102,167,397,556,184,15,12,11,30,81,99,138,290,280,52
"Blood and hematopoietic disorders",30,38,47,110,192,482,838,417,23,20,22,43,94,159,259,642,670,213
"Cerebrovascular disease",92,269,551,1924,3597,13683,28719,16169,1153,35,75,311,902,1575,3719,12172,11385,2464
"Chronic liver disease",11,263,1227,3751,4026,4662,1816,168,3,1,35,453,1737,2369,1767,1096,199,12
"Complications in pregnancy and childbirth",24,51,16,0,0,0,0,0,0,6,29,23,1,0,0,0,0,0
"Congenital defects of the circulatory system",56,45,35,33,42,36,22,5,1,31,31,30,49,37,30,43,14,0
"Congenital defects of the nervous system",19,10,3,12,6,4,4,3,0,4,8,8,8,3,9,8,0,0
"Diabetes",17,43,61,232,585,2064,3044,1018,47,8,30,101,338,823,1881,4222,3042,527
"Events of undetermined intention",297,382,296,329,239,279,221,66,1,39,47,76,91,82,47,41,21,4
"Falls",144,140,151,361,441,1382,4471,4851,562,50,81,144,326,397,551,1532,1660,467
"Gastroduodenal ulcer",3,16,49,162,233,594,806,335,18,3,1,13,38,48,99,264,244,55
"Homicides",92,116,115,65,50,33,35,10,0,52,83,65,63,42,27,21,6,0
"Infections of the skin and sub-cutaneous cellular tissue",6,7,8,36,43,241,690,562,56,1,1,7,13,35,104,500,807,322
"Influenza",8,6,10,17,30,136,378,404,62,3,1,3,2,5,7,31,49,14
"Ischemic cardiomyopathy",23,143,738,2970,5462,14882,18566,6434,314,4,60,474,1688,2974,5486,13739,11882,2499
"Kidney and urethra disease",21,32,69,182,384,1340,3001,1906,172,3,10,35,106,266,655,2432,2454,545
"Malignant melanoma",12,51,65,94,115,167,117,34,3,9,43,127,176,303,319,368,187,15
"Malignant neplasm of the lymphatic and hematopoietic tissues ",233,325,333,703,972,2269,2186,548,20,111,148,285,598,1351,2716,4736,2225,241
"Malignant ovarian tumour",16,30,96,392,487,715,476,108,0,4,12,63,302,603,863,1054,402,38
"Malignant tumour in other parts of the uterus",6,17,94,346,534,842,815,266,20,0,10,52,140,313,552,796,410,50
"Malignant tumour of the bladder",1,2,30,188,486,1193,1334,383,16,0,5,26,183,525,1037,1849,960,104
"Malignant tumour of the breast",0,113,480,1354,1651,2253,1963,741,50,3,91,588,1447,2198,2369,3010,1641,284
"Malignant tumour of the cervix",1,17,82,156,170,198,161,39,0,0,13,75,156,130,124,148,53,4
"Malignant tumour of the kidney",6,14,43,209,393,717,558,153,8,5,8,53,226,470,755,1095,451,41
"Malignant tumour of the larynx, trachea, bronchus and lungs",13,70,605,3229,4774,7434,4069,631,15,0,38,681,4059,7285,8026,7678,1869,128
"Malignant tumour of the lip, pharynx and mouth",12,27,285,1461,1421,1437,799,154,10,6,17,103,930,1261,879,660,224,36
