"","density","fat","protein","casein","dry","yield"
"1",1.032,37.700001,35.700001,28.5,127.099998,15.35
"2",1.032,37.5,35.299999,28,128.699997,14.72
"3",1.031,37,32.799999,25.299999,124.099998,14.61
"4",1.031,39.5,33.700001,26.799999,127.5,14.56
"5",1.031,36,32.799999,25.9,121.599998,13.74
"6",1.032,36,33.799999,26.9,124.5,14.31
"7",1.031,36,33.799999,26.9,125.300003,14.13
"8",1.031,36.700001,34.099998,27,124.900002,14.16
"9",1.029,37.200001,31.5,24.799999,122.5,14.13
"10",1.03,35,31.6,24.9,121,14.58
"11",1.028,34.700001,29.9,23.5,114.699997,13.83
"12",1.026,31.5,30.1,23.6,111.099998,13.18
"13",1.027,30.5,30.1,23.799999,115,13.45
"14",1.027,31.6,29.799999,23.299999,112.699997,12.82
"15",1.026,34.900002,29.700001,23.200001,113.5,13.36
"16",1.028,35.700001,32.5,25.700001,120.099998,14.61
"17",1.028,37.900002,31.799999,25,122.599998,14.74
"18",1.029,34.599998,32.900002,26.1,120.800003,13.74
"19",1.028,36.599998,32.200001,25.299999,121.099998,14.63
"20",1.03,37.200001,32.099998,25.6,123.400002,14.74
"21",1.03,34,33.099998,26.4,119.699997,13.8
"22",1.03,35.299999,33.299999,26,121.5,14.07
"23",1.03,35.799999,33.900002,26.6,121.699997,14.57
"24",1.03,35.900002,33.799999,26.5,121.400002,14.88
"25",1.029,34.799999,32.900002,26.200001,118.400002,13.99
"26",1.029,35.900002,33.400002,26.299999,121.099998,14.12
"27",1.029,35.5,32.700001,25.4,119.900002,13.81
"28",1.03,35.799999,35.700001,28,122.800003,14.69
"29",1.03,37,34.900002,27.700001,125.5,15.31
"30",1.03,35.799999,33.900002,26.799999,122.599998,14.37
"31",1.031,34.200001,34.5,27.200001,123.900002,14.63
"32",1.03,34.799999,33.700001,26.1,124.199997,14.59
"33",1.03,36.5,33.900002,26.6,124.099998,14.89
"34",1.03,36.599998,33.200001,25.9,123.400002,14.6
"35",1.03,34.799999,34.200001,26.799999,121.400002,14.66
"36",1.03,37.299999,34.900002,27.4,125.099998,14.75
"37",1.03,34.599998,34.599998,27,122.599998,14.33
"38",1.031,35.700001,34.799999,27.4,123.400002,14.58
"39",1.03,35.700001,33.400002,26.1,120.800003,14.67
"40",1.03,37.900002,33.599998,26.1,126.099998,15.2
"41",1.03,36.799999,35.400002,26,125.099998,14.94
"42",1.03,39.299999,34.799999,27.4,127.800003,15.43
"43",1.031,35.599998,34,26.799999,125.5,14.4
"44",1.03,37.799999,34.099998,27.200001,126.900002,15.97
"45",1.031,35.599998,33.299999,26.4,122.599998,14.77
"46",1.031,35.700001,34.099998,26.799999,121.699997,14.59
"47",1.031,33.299999,33.200001,26.6,126.699997,14.17
"48",1.03,34.400002,33.299999,26.5,123,14.79
"49",1.03,33.299999,32.200001,25.6,121.5,14.7
"50",1.031,38.400002,32.5,25.799999,126.199997,15.2
"51",1.031,34,31.9,25.5,122.599998,14.11
"52",1.03,33.099998,31.1,24.799999,119,14.06
"53",1.031,34.799999,32.299999,25.700001,122.599998,14.09
"54",1.031,35.5,32.700001,26,122.699997,14.41
"55",1.031,35.599998,33.299999,26.5,123.300003,14.16
"56",1.03,36.099998,32.5,25.700001,123.099998,14.34
"57",1.03,36.200001,32.599998,25.5,121.400002,14.04
"58",1.03,36,33.5,26.700001,121.900002,14.02
"59",1.029,35.200001,31.799999,25.1,122.199997,14
"60",1.03,35.400002,32.099998,25.5,122.099998,13.78
"61",1.03,36.599998,32.099998,25.299999,123.400002,14.14
"62",1.03,37.5,32.599998,25.6,125.400002,14.86
"63",1.03,36.900002,33.799999,27,124.900002,14.29
"64",1.03,37.299999,31.5,24.9,123.400002,14.46
"65",1.03,35.200001,31.700001,25,121.5,13.82
"66",1.03,36.400002,32.299999,25.799999,123.5,14.54
"67",1.03,34.5,31.4,24.799999,123.900002,14.24
"68",1.03,35.799999,32.099998,25.9,122.599998,14.14
"69",1.03,36,31.200001,24.6,122.900002,14.05
"70",1.03,35.799999,31.299999,24.9,121.699997,14.04
"71",1.031,36.5,33.099998,26.6,125.099998,14.2
"72",1.031,35.5,31.200001,24.700001,122.800003,14.15
"73",1.03,34.5,30.200001,23.799999,122.300003,14
"74",1.031,35.900002,32,25.299999,124.199997,14.35
"75",1.031,34.299999,32.200001,25.4,122.400002,13.98
"76",1.03,34.599998,30.799999,23.9,115.699997,13.93
"77",1.031,36.299999,32.599998,25.799999,124.699997,14.26
"78",1.031,35.200001,32.599998,25.5,123.300003,14.07
"79",1.03,34.900002,32.700001,25.799999,119,14.42
"80",1.03,35.900002,33.700001,26.6,123.400002,14.2
"81",1.031,37.599998,33.200001,26.299999,125.599998,14.94
"82",1.03,36.099998,33.599998,26.200001,125.300003,14.43
"83",1.03,34.099998,33.200001,26,124.199997,14.37
"84",1.031,39,32.299999,25.4,123.5,14.4
"85",1.03,34.400002,33.099998,26.5,123.5,14.18
