"","Block.size.median","Altitude","p20","Drift","Wetness.index","Latitude","Valley.depth","Diffuse.insolation","Wind.effect","Convergence.index","Terrain.Ruggedness.Index"
"1",41.9,306,33.52,"Diamict",-13.22408,65.404273,1.885211,0.428633,0.888351,15.964215,2.306868
"2",15.5,136,24.92,"Diamict",-6.755552,65.702245,1.524466,0.412118,0.876484,1.588887,5.479239
"3",11.9,112,10.87,"Beach",-6.555552,66.042245,27.155031,0.415118,0.874484,1.588887,5.479239
"4",3.9,20,23.17,"Diamict",-10.526077,65.969292,31.360246,0.409419,0.937238,15.964632,3.031243
"5",4.01,23,10.93,"Landslide",-10.926656,65.982726,23.484095,0.408736,0.789431,-1.757139,2.965562
"6",7.26,189,30.72,"Landslide",-6.653453,65.981464,51.233541,0.419693,0.919446,11.488382,18.428016
"7",6.33,74,22.19,"Beach",-4.297251,65.996516,183.190869,0.412398,0.777838,-7.242013,4.422929
"8",11.2,30,30.78,"Beach",-6.765444,66.072341,72.49591,0.409845,0.796758,4.655831,0.427367
"9",8.6,87,35.84,"Diamict",-11.665841,65.899766,389.76027,0.699594,0.656132,-54.10647,0.463492
"10",10.3,81,20.71,"Diamict",-13.046732,65.869669,67.758742,0.412885,0.778956,-1.442516,2.34101
"11",5.45,136,31.56,"Diamict",-8.405702,66.04218,12.043475,0.415659,0.954702,15.361694,4.367609
"12",7.55,284,18.59,"Diamict",-10.132431,65.721616,232.830324,0.427388,0.88153,25.550352,6.095512
"13",7.25,337,14.38,"Diamict",-5.407739,65.717094,91.953008,0.426543,0.830513,-22.666017,3.823552
"14",10.8,332,24.6,"Diamict",-4.234722,65.717006,228.985015,0.426453,0.811992,-23.217073,4.534796
"15",17.1,26,19.49,"Diamict",-7.07092,65.748298,31.57206,0.40833,0.806419,-7.763289,5.517494
"16",3.2,60,27.63,"Diamict",-6.479848,65.893991,37.954971,0.413097,0.887297,6.835703,3.806696
"17",4.45,77,17.76,"Terraces",-6.118047,65.824372,145.117048,0.412726,0.679026,-7.850431,3.819685
"18",7.7,56,27.91,"Diamict",-5.694485,65.883718,137.218919,0.412675,0.794448,-16.546054,0.181897
"19",5.8,71,35.38,"Diamict",-10.200824,65.871589,157.281902,0.412933,0.667325,-22.36427,0.51947
"20",7.4,382,17.49,"Landslide",-10.517877,65.664299,284.972854,0.431931,0.875042,4.208276,14.369396
"21",7.6,60,11.95,"Landslide",-6.479848,65.893991,37.654971,0.413097,0.887297,6.835703,3.806696
"22",9.9,69,11.16,"Landslide",-8.464793,65.877041,301.213123,0.411579,0.908268,11.865013,9.85077
"23",6.05,247,9.05,"Kame",-7.387522,65.528738,317.984331,0.423804,0.68466,2.922784,3.744378
"24",10.4,243,12.51,"Kame",-3.970797,65.528249,319.186293,0.42351,0.660743,-1.167756,3.904386
"25",8.1,189,19.78,"Kame",-14.471846,65.543557,309.719556,0.840174,0.652443,-25.85495,0
"26",13.4,202,15.15,"Kame",-4.902063,65.538971,317.205633,0.421788,0.679705,8.447153,1.090984
"27",7.55,174,13.38,"Diamict",-10.621545,65.448045,67.944462,0.418956,0.720291,-11.233182,2.42658
"28",9.95,196,12.83,"Diamict",-5.737539,65.444465,43.433993,0.420507,0.744273,0.776485,5.593786
"29",13,244,7.37,"Kame",-13.428492,65.437139,31.905609,0.425032,0.760343,2.539087,0.5096
"30",34.55,247,20.25,"Diamict",-14.099862,65.436855,53.272979,0.425289,0.771718,12.78886,0.421385
"31",17.3,267,44.39,"Diamict",-8.929314,65.432168,72.875133,0.424685,0.752187,16.549185,1.466025
"32",6.8,175,12.1,"Diamict",-6.282963,65.480347,236.890577,0.74944,0.732014,-42.905054,0.016402
"33",6,184,31.25,"Diamict",-4.327104,65.486655,15.304041,0.419897,0.790456,-5.309912,2.593038
"34",7.65,190,15.11,"Diamict",-11.341326,65.507807,12.978426,0.42142,0.869189,1.497918,0.320374
"35",10.9,51,14.35,"Diamict",-8.527992,65.877543,300.585687,0.410314,0.870842,10.466508,3.428427
"36",8.1,869,26.26,"Diamict",-8.32532,65.786614,52.482344,0.466456,0.918254,3.142389,13.741854
"37",9.4,925,32.38,"Diamict",-8.710645,65.789556,33.140521,0.47412,0.911862,1.592561,4.063597
"38",68.9,925,30.97,"Diamict",-8.710645,65.789556,33.140521,0.47412,0.911862,1.592561,4.063597
"39",9.6,952,31.26,"Diamict",-13.61313,65.795142,1.153081,0.479734,0.940574,21.179096,1.256102
"40",49,955,40.31,"Diamict",-13.62313,65.795142,1.193081,0.479734,0.940574,21.179096,1.256102
"41",8.1,954,31.1,"Diamict",-13.932238,65.796089,0.945405,0.479768,0.944441,23.95629,0.750923
"42",67.4,954,29.08,"Diamict",-13.932238,65.796089,0.945405,0.479768,0.944441,23.95629,0.750923
"43",5.3,828,23.93,"Diamict",-9.39277,65.780441,67.982383,0.465864,0.894393,-0.035636,15.308818
"44",37.6,828,40.96,"Diamict",-9.39277,65.780441,67.985462,0.465864,0.894393,-0.035636,15.308818
"45",1.3,618,9.67,"Diamict",-9.48424,65.778121,145.453268,0.447719,0.856953,1.459214,11.683395
"46",5.5,528,32.99,"Organic soil",-10.450085,65.776341,131.383986,0.442705,0.842843,1.08753,9.752275
"47",4.7,485,35.16,"Diamict",-6.851036,65.775807,63.43329,0.440851,0.799963,-2.579194,3.386033
"48",7.8,435,16.13,"Diamict",-9.521505,65.986206,13.985737,0.438598,0.915784,9.125971,9.359232
"49",9.3,420,13.14,"Diamict",-7.9679,65.983357,9.105579,0.438875,0.955502,11.020323,4.227306
"50",25.8,425,12.35,"Diamict",-9.652837,65.982399,12.598952,0.439226,0.943048,5.220647,5.756617
"51",7,550,24.72,"Diamict",-5.491889,65.977788,16.023234,0.444699,0.894508,-0.837971,7.506939
"52",35.4,546,27.71,"Diamict",-5.491889,65.977788,16.623234,0.444699,0.894508,-0.837971,7.506939
"53",5.8,544,21.88,"Diamict",-8.568747,65.979328,5.219911,0.445904,0.924794,6.705326,3.74105
"54",6.6,530,27.23,"Diamict",-5.8794,65.983822,14.256043,0.444915,0.857629,3.674131,11.12732
"55",6.55,484,25.86,"Diamict",-8.588786,65.984369,16.494832,0.443704,0.87538,6.145197,14.929323
"56",5.7,15,5.25,"Beach",-8.714746,66.112759,7.409784,0.408554,0.807752,-1.042617,2.961105
"57",34.4,20,12.02,"Beach",-12.313151,66.106889,2.018617,0.409649,0.869797,6.84367,0.438174
"58",19.7,18,11.53,"Beach",-16.160412,66.088583,16.335012,0.674137,0.800685,66.059318,0.103824
"59",5.2,77,21.67,"Beach",-5.086696,66.032996,16.870111,0.412162,0.736036,-2.867476,0.931917
"60",5.25,94,9.82,"Beach",-10.434373,65.995441,44.497267,0.413508,0.869437,-1.856356,4.198452
"61",6.25,63,31.47,"Beach",-6.800155,65.978118,15.128638,0.411653,0.7498,0.238472,1.966251
"62",5.9,55,31.64,"Beach",-6.837067,65.934243,25.908866,0.411524,0.714972,26.594001,0.426907
"63",9.7,54,15.4,"Beach",-7.700991,65.703305,239.033575,0.411987,0.902376,32.7854,1.350898
"64",5.45,28,24.09,"Diamict",-14.985361,65.656953,20.085967,0.545309,0.823915,41.077218,0.167303
"65",3.85,59,18.19,"Diamict",-6.428591,65.690426,7.750626,0.412195,0.848832,4.683914,0.27053
"66",6.6,45,16.71,"Diamict",-8.694416,65.735988,27.97109,0.410296,0.873323,2.007954,2.790112
"67",6.05,115,9.03,"Terraces",-6.595799,65.413215,34.45301,0.414412,0.679988,-2.334773,1.002923
"68",3.85,112,21.16,"Terraces",-10.760927,65.425374,8.242542,0.414722,0.691206,10.239027,2.377117
"69",7.35,93,21.74,"Terraces",-7.461199,65.42669,12.681042,0.413586,0.687816,8.728433,2.264827
"70",7.1,143,25.6,"Diamict",-4.302615,65.492076,580.901074,0.415327,0.884083,0.889503,2.486989
"71",6.4,170,8.25,"Diamict",-9.573067,65.49225,642.651297,0.417002,0.905183,-0.560403,5.519904
"72",7.05,157,11.27,"Diamict",-7.639473,65.545111,14.871992,0.417554,0.790574,3.294196,1.134293
"73",7.05,68,13.94,"Diamict",-6.831789,65.617487,11.882134,0.411887,0.891792,17.520518,4.622821
"74",7.4,79,7.19,"Terraces",-11.031096,65.720394,7.01418,0.412308,0.768286,-2.80459,2.114582
"75",3.75,80,13.08,"Terraces",-9.801197,65.78761,103.360545,0.412294,0.739533,-6.490288,1.385713
