"","detergent","block","plates"
"1","A","B_1",27
"2","A","B_2",28
"3","A","B_3",30
"4","A","B_4",31
"5","A","B_5",29
"6","A","B_6",30
"7","A","B_7",NA
"8","A","B_8",NA
"9","A","B_9",NA
"10","A","B_10",NA
"11","B","B_1",26
"12","B","B_2",26
"13","B","B_3",29
"14","B","B_4",NA
"15","B","B_5",NA
"16","B","B_6",NA
"17","B","B_7",30
"18","B","B_8",21
"19","B","B_9",26
"20","B","B_10",NA
"21","C","B_1",30
"22","C","B_2",NA
"23","C","B_3",NA
"24","C","B_4",34
"25","C","B_5",32
"26","C","B_6",NA
"27","C","B_7",34
"28","C","B_8",31
"29","C","B_9",NA
"30","C","B_10",33
"31","D","B_1",NA
"32","D","B_2",29
"33","D","B_3",NA
"34","D","B_4",33
"35","D","B_5",NA
"36","D","B_6",34
"37","D","B_7",31
"38","D","B_8",NA
"39","D","B_9",33
"40","D","B_10",31
"41","E","B_1",NA
"42","E","B_2",NA
"43","E","B_3",26
"44","E","B_4",NA
"45","E","B_5",24
"46","E","B_6",25
"47","E","B_7",NA
"48","E","B_8",23
"49","E","B_9",24
"50","E","B_10",26
