"","PE","FA"
"1","PE9",0.95
"2","PE9",0.95
"3","PE9",1.04
"4","PE9",1.01
"5","PE9",0.86
"6","PE9",0.93
"7","PE9",0.96
"8","PE9",0.82
"9","PE9",0.97
"10","PE9",0.84
"11","PE9",0.99
"12","PE9",0.89
"13","PE9",0.86
"14","PE9",1.02
"15","PE9",0.93
"16","PE9",0.96
"17","PE7",0.73
"18","PE7",NA
"19","PE7",0.67
"20","PE7",0.82
"21","PE7",0.84
"22","PE7",0.8
"23","PE7",0.8
"24","PE7",0.88
"25","PE7",0.98
"26","PE7",0.86
"27","PE7",0.89
"28","PE7",0.88
"29","PE7",0.9
"30","PE7",0.88
"31","PE7",0.96
"32","PE7",0.87
"33","PE6",0.85
"34","PE6",0.94
"35","PE6",0.9
"36","PE6",0.9
"37","PE6",0.81
"38","PE6",0.89
"39","PE6",0.87
"40","PE5",0.77
"41","PE5",0.82
"42","PE5",0.83
"43","PE5",0.71
"44","PE5",0.67
"45","PE5",0.77
"46","PE5",0.74
"47","PE5",0.75
"48","PE5",0.76
"49","PE5",0.8
"50","PE5",0.7
"51","PE5",0.71
"52","PE5",0.83
"53","PE5",0.86
"54","PE5",0.82
"55","PE5",0.82
"56","PE5",0.77
"57","PE5",0.79
"58","PE5",0.83
"59","PE4",NA
"60","PE4",0.8
"61","PE4",0.78
"62","PE4",0.71
"63","PE4",0.85
"64","PE4",0.76
"65","PE4",0.86
"66","PE4",0.88
"67","PE4",0.93
"68","PE4",0.86
"69","PE4",0.85
"70","PE4",0.81
"71","PE4",1.01
"72","PE4",0.81
"73","PE4",0.86
"74","PE4",0.88
"75","PE4",NA
"76","PE4",0.83
"77","PE4",0.88
"78","PE4",0.85
"79","PE4",0.9
"80","PE3",0.65
"81","PE3",0.92
"82","PE3",0.73
"83","PE3",1.03
"84","PE3",0.81
"85","PE3",0.75
"86","PE3",0.82
"87","PE3",1
"88","PE3",0.82
"89","PE3",0.95
"90","PE3",0.83
"91","PE3",0.83
"92","PE3",1.02
"93","PE3",0.89
