"","y","food","size","gender","lake"
"1",7,"1","1","1","1"
"2",1,"2","1","1","1"
"3",0,"3","1","1","1"
"4",0,"4","1","1","1"
"5",5,"5","1","1","1"
"6",4,"1","2","1","1"
"7",0,"2","2","1","1"
"8",0,"3","2","1","1"
"9",1,"4","2","1","1"
"10",2,"5","2","1","1"
"11",16,"1","1","2","1"
"12",3,"2","1","2","1"
"13",2,"3","1","2","1"
"14",2,"4","1","2","1"
"15",3,"5","1","2","1"
"16",3,"1","2","2","1"
"17",0,"2","2","2","1"
"18",1,"3","2","2","1"
"19",2,"4","2","2","1"
"20",3,"5","2","2","1"
"21",2,"1","1","1","2"
"22",2,"2","1","1","2"
"23",0,"3","1","1","2"
"24",0,"4","1","1","2"
"25",1,"5","1","1","2"
"26",13,"1","2","1","2"
"27",7,"2","2","1","2"
"28",6,"3","2","1","2"
"29",0,"4","2","1","2"
"30",0,"5","2","1","2"
"31",3,"1","1","2","2"
"32",9,"2","1","2","2"
"33",1,"3","1","2","2"
"34",0,"4","1","2","2"
"35",2,"5","1","2","2"
"36",0,"1","2","2","2"
"37",1,"2","2","2","2"
"38",0,"3","2","2","2"
"39",1,"4","2","2","2"
"40",0,"5","2","2","2"
"41",3,"1","1","1","3"
"42",7,"2","1","1","3"
"43",1,"3","1","1","3"
"44",0,"4","1","1","3"
"45",1,"5","1","1","3"
"46",8,"1","2","1","3"
"47",6,"2","2","1","3"
"48",6,"3","2","1","3"
"49",3,"4","2","1","3"
"50",5,"5","2","1","3"
"51",2,"1","1","2","3"
"52",4,"2","1","2","3"
"53",1,"3","1","2","3"
"54",1,"4","1","2","3"
"55",4,"5","1","2","3"
"56",0,"1","2","2","3"
"57",1,"2","2","2","3"
"58",0,"3","2","2","3"
"59",0,"4","2","2","3"
"60",0,"5","2","2","3"
"61",13,"1","1","1","4"
"62",10,"2","1","1","4"
"63",0,"3","1","1","4"
"64",2,"4","1","1","4"
"65",2,"5","1","1","4"
"66",9,"1","2","1","4"
"67",0,"2","2","1","4"
"68",0,"3","2","1","4"
"69",1,"4","2","1","4"
"70",2,"5","2","1","4"
"71",3,"1","1","2","4"
"72",9,"2","1","2","4"
"73",1,"3","1","2","4"
"74",0,"4","1","2","4"
"75",1,"5","1","2","4"
"76",8,"1","2","2","4"
"77",1,"2","2","2","4"
"78",0,"3","2","2","4"
"79",0,"4","2","2","4"
"80",1,"5","2","2","4"
