"","y","A","B","C","D","E","F"
"1",44,"no","no","no","small","small","neg"
"2",40,"yes","no","no","small","small","neg"
"3",112,"no","yes","no","small","small","neg"
"4",67,"yes","yes","no","small","small","neg"
"5",129,"no","no","yes","small","small","neg"
"6",145,"yes","no","yes","small","small","neg"
"7",12,"no","yes","yes","small","small","neg"
"8",23,"yes","yes","yes","small","small","neg"
"9",35,"no","no","no","large","small","neg"
"10",12,"yes","no","no","large","small","neg"
"11",80,"no","yes","no","large","small","neg"
"12",33,"yes","yes","no","large","small","neg"
"13",109,"no","no","yes","large","small","neg"
"14",67,"yes","no","yes","large","small","neg"
"15",7,"no","yes","yes","large","small","neg"
"16",9,"yes","yes","yes","large","small","neg"
"17",23,"no","no","no","small","large","neg"
"18",32,"yes","no","no","small","large","neg"
"19",70,"no","yes","no","small","large","neg"
"20",66,"yes","yes","no","small","large","neg"
"21",50,"no","no","yes","small","large","neg"
"22",80,"yes","no","yes","small","large","neg"
"23",7,"no","yes","yes","small","large","neg"
"24",13,"yes","yes","yes","small","large","neg"
"25",24,"no","no","no","large","large","neg"
"26",25,"yes","no","no","large","large","neg"
"27",73,"no","yes","no","large","large","neg"
"28",57,"yes","yes","no","large","large","neg"
"29",51,"no","no","yes","large","large","neg"
"30",63,"yes","no","yes","large","large","neg"
"31",7,"no","yes","yes","large","large","neg"
"32",16,"yes","yes","yes","large","large","neg"
"33",5,"no","no","no","small","small","pos"
"34",7,"yes","no","no","small","small","pos"
"35",21,"no","yes","no","small","small","pos"
"36",9,"yes","yes","no","small","small","pos"
"37",9,"no","no","yes","small","small","pos"
"38",17,"yes","no","yes","small","small","pos"
"39",1,"no","yes","yes","small","small","pos"
"40",4,"yes","yes","yes","small","small","pos"
"41",4,"no","no","no","large","small","pos"
"42",3,"yes","no","no","large","small","pos"
"43",11,"no","yes","no","large","small","pos"
"44",8,"yes","yes","no","large","small","pos"
"45",14,"no","no","yes","large","small","pos"
"46",17,"yes","no","yes","large","small","pos"
"47",5,"no","yes","yes","large","small","pos"
"48",2,"yes","yes","yes","large","small","pos"
"49",7,"no","no","no","small","large","pos"
"50",3,"yes","no","no","small","large","pos"
"51",14,"no","yes","no","small","large","pos"
"52",14,"yes","yes","no","small","large","pos"
"53",9,"no","no","yes","small","large","pos"
"54",16,"yes","no","yes","small","large","pos"
"55",2,"no","yes","yes","small","large","pos"
"56",3,"yes","yes","yes","small","large","pos"
"57",4,"no","no","no","large","large","pos"
"58",0,"yes","no","no","large","large","pos"
"59",13,"no","yes","no","large","large","pos"
"60",11,"yes","yes","no","large","large","pos"
"61",5,"no","no","yes","large","large","pos"
"62",14,"yes","no","yes","large","large","pos"
"63",4,"no","yes","yes","large","large","pos"
"64",4,"yes","yes","yes","large","large","pos"
