"","y","class","age","sex","surv"
"1",0,0,0,0,0
"2",0,1,0,0,0
"3",0,2,0,0,0
"4",17,3,0,0,0
"5",3,0,1,0,0
"6",4,1,1,0,0
"7",13,2,1,0,0
"8",89,3,1,0,0
"9",0,0,0,1,0
"10",0,1,0,1,0
"11",0,2,0,1,0
"12",35,3,0,1,0
"13",670,0,1,1,0
"14",118,1,1,1,0
"15",154,2,1,1,0
"16",387,3,1,1,0
"17",0,0,0,0,1
"18",1,1,0,0,1
"19",13,2,0,0,1
"20",14,3,0,0,1
"21",20,0,1,0,1
"22",140,1,1,0,1
"23",80,2,1,0,1
"24",76,3,1,0,1
"25",0,0,0,1,1
"26",5,1,0,1,1
"27",11,2,0,1,1
"28",13,3,0,1,1
"29",192,0,1,1,1
"30",57,1,1,1,1
"31",14,2,1,1,1
"32",75,3,1,1,1
