"","0.0","0.2","0.4","0.6","0.8"
"0.99(0.25)",0.051,0.052,0.06,0.073,0.088
"0.99(0.10)",0.068,0.072,0.086,0.108,0.132
"0.99(0.05)",0.081,0.086,0.106,0.136,0.168
"0.99(0.025)",0.095,0.102,0.128,0.165,0.204
"0.99(0.01)",0.112,0.122,0.157,0.205,0.254
"0.95(0.25)",0.041,0.043,0.05,0.062,0.078
"0.95(0.10)",0.055,0.059,0.07,0.089,0.115
"0.95(0.05)",0.065,0.07,0.086,0.111,0.144
"0.95(0.025)",0.075,0.082,0.103,0.133,0.174
"0.95(0.01)",0.088,0.099,0.126,0.164,0.215
"0.90(0.25)",0.038,0.039,0.046,0.056,0.073
"0.90(0.10)",0.049,0.052,0.064,0.079,0.106
"0.90(0.05)",0.058,0.062,0.077,0.098,0.131
"0.90(0.025)",0.066,0.072,0.092,0.116,0.157
"0.90(0.01)",0.078,0.086,0.111,0.142,0.193
"0.80(0.25)",0.036,0.037,0.044,0.054,0.074
"0.80(0.10)",0.046,0.049,0.059,0.076,0.106
"0.80(0.05)",0.054,0.058,0.071,0.092,0.131
"0.80(0.025)",0.063,0.068,0.083,0.108,0.157
"0.80(0.01)",0.073,0.08,0.099,0.131,0.191
"0.70(0.25)",0.036,0.038,0.044,0.055,0.055
"0.70(0.10)",0.047,0.05,0.059,0.076,0.076
"0.70(0.05)",0.057,0.061,0.073,0.093,0.093
"0.70(0.025)",0.065,0.07,0.084,0.11,0.11
"0.70(0.01)",0.076,0.082,0.1,0.132,0.132
"0.60(0.25)",0.04,0.042,0.048,0.066,0.066
"0.60(0.10)",0.052,0.055,0.065,0.091,0.091
"0.60(0.05)",0.062,0.066,0.077,0.111,0.111
"0.60(0.025)",0.071,0.076,0.09,0.131,0.131
"0.60(0.01)",0.084,0.089,0.107,0.158,0.158
"0.50(0.25)",0.043,0.045,0.052,0.052,0.052
"0.50(0.10)",0.057,0.06,0.071,0.071,0.071
"0.50(0.05)",0.068,0.071,0.084,0.084,0.084
"0.50(0.025)",0.078,0.083,0.098,0.098,0.098
"0.50(0.01)",0.092,0.098,0.117,0.117,0.117
"0.40(0.25)",0.046,0.048,0.062,0.062,0.062
"0.40(0.10)",0.062,0.065,0.085,0.085,0.085
"0.40(0.05)",0.073,0.077,0.103,0.103,0.103
"0.40(0.025)",0.085,0.09,0.12,0.12,0.12
"0.40(0.01)",0.1,0.106,0.144,0.144,0.144
"0.30(0.25)",0.049,0.051,0.051,0.051,0.051
"0.30(0.10)",0.066,0.069,0.069,0.069,0.069
"0.30(0.05)",0.078,0.083,0.083,0.083,0.083
"0.30(0.025)",0.091,0.096,0.096,0.096,0.096
"0.30(0.01)",0.108,0.114,0.114,0.114,0.114
"0.20(0.25)",0.05,0.053,0.053,0.053,0.053
"0.20(0.10)",0.068,0.071,0.071,0.071,0.071
"0.20(0.05)",0.085,0.094,0.094,0.094,0.094
"0.20(0.025)",0.099,0.111,0.111,0.111,0.111
"0.20(0.01)",0.117,0.134,0.134,0.134,0.134
"0.10(0.25)",0.053,0.053,0.053,0.053,0.053
"0.10(0.10)",0.071,0.071,0.071,0.071,0.071
"0.10(0.05)",0.086,0.086,0.086,0.086,0.086
"0.10(0.025)",0.1,0.1,0.1,0.1,0.1
"0.10(0.01)",0.118,0.118,0.118,0.118,0.118
