"","x"
"1",10.5
"2",1.5
"3",2.5
"4",5.5
"5",29.5
"6",3
"7",9
"8",27.5
"9",18.5
"10",4.5
"11",7
"12",9.5
"13",1
"14",7
"15",4.5
"16",2.5
"17",7.5
"18",11.5
"19",7.5
"20",4
"21",12
"22",8
"23",3
"24",5.5
"25",7.5
"26",4.5
"27",1.5
"28",10.5
"29",1
"30",7
"31",12
"32",14.5
"33",8
"34",3.5
"35",3.5
"36",2
"37",1
"38",7.5
"39",6
"40",13
"41",7.5
"42",16.5
"43",3
"44",25.5
"45",5.5
"46",14
"47",18
"48",7
"49",27.5
"50",14
"51",2
"52",0.5
"53",47
"54",36.5
"55",2.5
"56",3.5
"57",5.5
"58",19
"59",10.5
"60",24.5
"61",19
"62",19
"63",0.5
"64",3
"65",6.5
"66",3
"67",0.5
"68",8
"69",2.5
"70",5
"71",8
"72",3
"73",3
"74",3
"75",3
"76",5.5
"77",22
"78",2.5
"79",4.5
"80",2
"81",13.5
"82",25
"83",12.5
"84",12.5
"85",4
"86",0.5
"87",35
"88",2
"89",4
"90",8
"91",19
"92",4
"93",16
"94",19.5
"95",29
"96",28
"97",37
"98",7.5
"99",3.5
"100",13
"101",12.5
"102",0.5
"103",8.5
"104",32
"105",30.5
"106",7.5
"107",13
"108",1.5
"109",2.5
"110",17
"111",3.5
"112",5
"113",4.5
"114",1
"115",15
"116",3.5
"117",6
"118",0.5
"119",8
"120",7
"121",24.5
"122",3.5
"123",5.5
"124",17.5
"125",60.5
"126",8.5
"127",0.5
"128",17.5
"129",22.5
"130",3.5
"131",46.5
"132",2
"133",48
"134",7
"135",69
"136",7.5
"137",0.5
"138",2.5
"139",11.5
"140",15.5
"141",2.5
"142",2.5
"143",14.5
"144",0.5
"145",37
"146",15
"147",4.5
"148",1
"149",9.5
"150",23.5
"151",0.5
"152",25.5
"153",6
"154",6
"155",21.5
"156",16
"157",4.5
"158",10
"159",1.5
"160",2.5
"161",6.5
"162",7.5
"163",2.5
"164",4
"165",2
"166",4.5
"167",5
"168",5
"169",13
"170",3.5
"171",34
"172",7.5
"173",0.5
"174",13.5
"175",2.5
"176",1.5
"177",20
"178",2
"179",10.5
"180",14.5
"181",12
"182",4
"183",11.5
"184",5
"185",9.5
"186",10
"187",13
"188",3
"189",20
"190",25.5
"191",7.5
"192",55
"193",8
"194",39
"195",2
"196",13.5
"197",17.5
"198",35.5
"199",7.5
"200",14.5
"201",2
"202",0.5
"203",14
"204",10.5
"205",4.5
"206",8.5
"207",4.5
"208",8.5
"209",7.5
"210",31
"211",25
"212",3.5
"213",19.5
"214",14
"215",10
"216",17
"217",8
"218",32.5
"219",2
"220",33.5
"221",5
"222",25.5
"223",13
"224",3.5
"225",35.5
"226",5.5
"227",23.5
"228",1
"229",19
"230",2
"231",21.5
"232",5.5
"233",11.5
"234",7
"235",4
"236",56
"237",25
"238",12.5
"239",9
"240",6
"241",1
"242",7.5
"243",6
"244",4
"245",19
"246",11
"247",8
"248",20
"249",29
"250",2.5
"251",3.5
"252",14
"253",13.5
"254",12
"255",3.5
"256",1
"257",13.5
"258",13.5
"259",8
"260",2.5
"261",17
"262",5
"263",1
"264",2
"265",5
"266",11
"267",12
"268",2
"269",14
"270",5
"271",11.5
"272",1.5
"273",17
"274",10.5
"275",20.5
"276",7.5
"277",2.5
"278",8.5
"279",26.5
"280",15
"281",7.5
"282",9.5
"283",3.5
"284",41.5
"285",2
"286",2
"287",7
"288",17
"289",5
"290",7.5
"291",2.5
"292",2
"293",2.5
"294",32.5
"295",8
"296",16
"297",43.5
"298",3.5
"299",8.5
"300",5
"301",1.5
"302",8.5
"303",19
"304",14
"305",7
"306",3.5
"307",7
"308",1.5
"309",10.5
"310",20
"311",2
"312",5.5
"313",22
"314",45
"315",5
"316",24.5
"317",4.5
"318",0.5
"319",4
"320",3
"321",4
"322",0.5
"323",7.5
"324",25
"325",18
"326",4
"327",17
"328",1
"329",10.5
"330",16
"331",11
"332",25.5
"333",6
"334",8
"335",26
"336",10.5
"337",2.5
"338",23
"339",22
"340",2
"341",2.5
"342",2
"343",7
"344",4
"345",10.5
"346",1
"347",31.5
"348",17.5
"349",0.5
"350",19
"351",21.5
"352",1.5
"353",19.5
"354",2
"355",8.5
"356",11.5
"357",39
"358",7
"359",4
"360",5.5
"361",3.5
"362",22.5
"363",23
"364",10
"365",9.5
"366",25
"367",4.5
"368",11
"369",14.5
"370",0.5
"371",9.5
"372",3
"373",19.5
"374",4
"375",1.5
"376",14
"377",4.5
"378",8.5
"379",22.5
"380",20
"381",3.5
"382",15
"383",8
"384",12
"385",40.5
"386",67.5
"387",0.5
"388",1
"389",1.5
"390",3
"391",6
"392",15.5
"393",32
"394",4
"395",7.5
"396",3
"397",3
"398",7.5
"399",34
"400",15
"401",1
"402",2
"403",1
"404",40.5
"405",4.5
"406",9.5
"407",7
"408",6
"409",18
"410",1
"411",5.5
"412",2
"413",4
"414",8.5
"415",2
"416",2.5
"417",7
"418",3.5
"419",19.5
"420",6.5
"421",28
"422",6
"423",15.5
"424",2.5
"425",5
"426",6.5
"427",2.5
"428",0.5
"429",4.5
"430",1.5
"431",13.5
"432",8.5
"433",1.5
"434",2.5
"435",13
"436",11.5
"437",10
"438",38
"439",2.5
"440",1
"441",0.5
"442",10
"443",10.5
"444",1
"445",2
"446",8
"447",16
"448",21.5
"449",10
"450",6.5
"451",5
"452",10
"453",4
"454",40.5
"455",5.5
"456",4.5
"457",13
"458",7.5
"459",18
"460",9
"461",5
"462",17
"463",28
"464",4.5
"465",7.5
"466",7
"467",7.5
"468",11
"469",16.5
"470",2
"471",3.5
"472",4.5
"473",9
"474",4
"475",3.5
"476",3.5
"477",34
"478",13.5
"479",10.5
"480",5.5
"481",3.5
"482",22
"483",6.5
"484",2
"485",19.5
"486",7
"487",5
"488",4
"489",1
"490",28.5
"491",17.5
"492",8.5
"493",10.5
"494",7
"495",38.5
"496",3
"497",17
"498",7.5
"499",14.5
"500",4
"501",36
"502",15.5
"503",10
"504",5
"505",0.5
"506",12
"507",3.5
"508",11
"509",24.5
"510",1.5
"511",9
"512",23.5
"513",18.5
"514",8.5
"515",21
"516",1
"517",11
"518",6
"519",0.5
"520",17
"521",20.5
"522",13.5
"523",3.5
"524",15
"525",4.5
"526",13.5
"527",14
"528",7.5
"529",13
"530",0.5
"531",3
"532",17.5
"533",1.5
"534",13
"535",2.5
"536",9
"537",23
"538",6
"539",11.5
"540",16
"541",4
"542",13
"543",41
"544",5
"545",34.5
"546",7.5
"547",0.5
"548",19.5
"549",2
"550",6.5
"551",17
"552",6.5
"553",6.5
"554",15
"555",14.5
"556",11.5
"557",0.5
"558",19
"559",2
"560",4
"561",7.5
"562",5
"563",31
"564",41.5
"565",5.5
"566",35.5
"567",4
"568",30.5
"569",9
"570",2.5
"571",10
"572",6
"573",5
"574",1.5
"575",5.5
"576",10
"577",8
"578",5
"579",1.5
"580",11.5
"581",6
"582",0.5
"583",6
"584",8.5
"585",7
"586",5
"587",1
"588",6.5
"589",3
"590",10.5
"591",25
"592",2
"593",21
"594",14.5
"595",4
"596",0.5
"597",15
"598",22.5
"599",3
"600",12.5
"601",1
"602",3
"603",1
"604",8.5
"605",5
"606",14
"607",10.5
"608",14
"609",15
"610",1
"611",1
"612",14
"613",4.5
"614",35.5
"615",3
"616",6
"617",14.5
"618",2.5
"619",13.5
"620",12.5
"621",5
"622",8
"623",4
"624",26
"625",22
"626",9.5
"627",36
"628",6
"629",15
"630",7
"631",22.5
"632",21
"633",4.5
"634",3.5
"635",31
"636",25.5
"637",25
"638",23.5
"639",14
"640",2
"641",33
"642",4
"643",5.5
"644",1.5
"645",16
"646",8
"647",5.5
"648",13
"649",2.5
"650",3.5
"651",2
"652",11
"653",4
"654",4
"655",0.5
"656",3
"657",2.5
"658",2.5
"659",8
