"","x"
"1",2.8
"2",3.4
"3",1.4
"4",14.5
"5",1.9
"6",2.8
"7",2.3
"8",15.3
"9",1.8
"10",9.5
"11",2.5
"12",9.4
"13",1.1
"14",88.6
"15",1.6
"16",1.9
"17",1.5
"18",33.7
"19",2.6
"20",12.9
"21",16.2
"22",1.9
"23",20.3
"24",36.8
"25",40.1
"26",70.5
"27",2
"28",8
"29",2.1
"30",3.2
"31",1.7
"32",56.5
"33",23.7
"34",2.4
"35",21.4
"36",5.1
"37",7.9
"38",20.1
"39",14.9
"40",5.6
"41",51.7
"42",87.1
"43",1.2
"44",2.7
"45",1
"46",1.5
"47",1.3
"48",24.7
"49",72.6
"50",119.8
"51",1.2
"52",6.9
"53",3.9
"54",1.6
"55",3
"56",1.8
"57",44.8
"58",5
"59",3.9
"60",125.3
"61",22.8
"62",1.9
"63",15.9
"64",6
"65",20.6
"66",12.9
"67",3.9
"68",13
"69",6.9
"70",2.5
"71",12.3
"72",5.7
"73",11.3
"74",2.5
"75",1.6
"76",7.6
"77",2.3
"78",6.1
"79",2.1
"80",34.7
"81",15.4
"82",4.6
"83",55.7
"84",2.2
"85",6
"86",1.8
"87",1.9
"88",1.8
"89",42
"90",9.3
"91",91.7
"92",2.4
"93",30.6
"94",1.2
"95",8.8
"96",6.6
"97",49.8
"98",58.1
"99",1.9
"100",2.9
"101",0.5
"102",1.2
"103",31
"104",11.9
"105",0.8
"106",1.2
"107",0.8
"108",4.7
"109",8.3
"110",7.3
"111",8.8
"112",1.8
"113",3.1
"114",0.8
"115",34.1
"116",3
"117",2.6
"118",3.7
"119",41.3
"120",29.7
"121",17.6
"122",1.9
"123",13.8
"124",40.2
"125",10.1
"126",11.9
"127",11
"128",0.2
