"","Callip","Chloro","Ephyd","Droso","Ges","Chiro","Treatment"
"1",0,6,0,0,30,19,"S2"
"2",0,4,0,4,22,0,"S2"
"3",0,63,1,18,102,3,"S2"
"4",1,2,2,3,31,2,"S2"
"5",4,4,6,11,50,14,"S2"
"6",0,6,0,15,35,4,"S2"
"7",0,27,0,6,63,13,"S2"
"8",0,7,0,5,36,0,"S2"
"9",0,1,0,15,47,1,"S1"
"10",0,1,0,3,39,2,"S1"
"11",4,10,4,27,94,13,"S1"
"12",2,0,3,27,61,15,"S1"
"13",2,1,0,20,34,5,"S1"
"14",0,15,2,32,79,2,"S1"
"15",0,0,0,51,83,0,"S1"
"16",51,9,0,13,117,3,"S1"
"17",3,0,2,3,61,2,"Novum"
"18",6,21,6,15,82,10,"Novum"
"19",4,52,13,24,142,19,"Novum"
"20",2,9,2,7,33,3,"Novum"
"21",7,8,10,28,185,37,"Novum"
"22",0,14,0,16,40,0,"Novum"
"23",1,4,0,5,42,24,"Novum"
"24",0,12,8,8,71,2,"Novum"
"25",0,0,0,1,21,2,"SNovum"
"26",8,7,0,4,70,2,"SNovum"
"27",2,24,0,19,76,67,"SNovum"
"28",0,9,0,7,44,1,"SNovum"
"29",0,3,0,3,25,1,"SNovum"
"30",0,2,0,10,28,1,"SNovum"
"31",0,2,1,3,47,1,"SNovum"
"32",1,1,0,1,24,0,"SNovum"
