"","Resp","Group","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1",14,"A1",2.0913,4.0043,21.068,0.8496,3.6294,1.7562,2.4327,1.1809,180.348,1.1755
"2",5,"A1",2.0659,3.7466,18.736,1.64871,6.4119,2.1516,2.2061,1.0683,177.737,1.1143
"3",5,"A1",2.1125,3.161,21.526,0.81977,14.9266,1.879,2.6362,0.9575,160.009,0.8568
"4",2,"A1",2.0823,3.3037,22.72,0.79068,12.651,1.7591,2.3547,0.9673,141.532,0.7796
"5",21,"A1",2.1115,2.869,20.934,1.06832,11.5746,1.5041,2.4633,1.1592,235.691,1.0445
"6",8,"A1",1.7778,2.0899,15.236,0.64963,6.446,1.8597,1.6549,1.0385,263.695,1.1725
"7",7,"A1",2.0388,3.8929,22.04,1.12796,17.9674,2.3165,1.8231,0.9891,192.105,0.8105
"8",8,"A1",1.934,2.9756,18.52,0.60206,6.8563,1.3801,1.9902,0.9176,174.242,0.9816
"9",4,"A2",1.8645,3.5148,19.112,1.04184,6.9666,2.8822,1.2721,1.0103,272.509,0.7217
"10",1,"A2",1.9359,1.8988,21.35,0.83738,12.0068,1.9882,1.6141,1.0125,191.443,0.8772
"11",11,"A2",2.0364,2.5289,21.37,0.90626,10.3875,2.1,2.1072,1.0747,201.668,0.8768
"12",20,"A2",2.2518,3.5336,23.508,1.47032,8.7323,2.6736,2.6511,0.9715,224.416,1.1151
"13",3,"A2",2.1133,3.4653,22.29,0.86626,6.5792,2.018,2.4342,1.0589,141.551,1.0172
"14",57,"A2",2.0372,3.7013,20.206,1.09736,6.1189,2.4123,2.092,0.9252,166.709,0.9403
"15",16,"A2",1.802,2.3064,19.256,0.62955,8.2159,1.1487,1.0835,1.0414,168.053,0.8802
"16",10,"A2",2.1083,3.3378,22.698,0.60434,5.4976,2.2405,2.3747,1.0297,165.879,1.1704
"17",31,"A3",2.0156,3.3034,20.962,1.3766,10.0476,3.2418,1.9792,0.9415,228.613,1.0116
"18",31,"A3",2.0174,2.3878,20.432,1.3951,11.6205,2.2007,1.9341,0.9047,94.279,0.835
"19",33,"A3",2.1121,2.7347,19.71,0.97795,5.3581,2.1076,2.5746,0.9989,213.915,1.2356
"20",11,"A3",2.0575,4.0796,26.08,0.84903,12.549,1.0921,1.5848,0.9248,257.408,1.1346
"21",13,"A3",2.0537,3.08,22.23,0.98588,12.688,1.5441,1.9138,0.9847,200.465,0.9389
"22",27,"A3",2.3103,3.2744,24.244,1.19139,10.4161,1.9755,3.1202,1.0954,185.853,1.2955
"23",6,"A3",1.9759,2.6844,20.172,1.65274,5.142,1.7973,1.6472,1.2326,152.021,0.8016
"24",18,"A3",1.9328,3.1008,18.638,0.97623,11.6452,2.5652,2.0433,0.9996,223.584,1.019
"25",1,"A4",2.0226,3.3409,20.338,1.46026,10.5858,2.4077,2.2059,1.0445,125.44,1.1347
"26",12,"A4",2.0369,3.4748,23.442,1.40002,7.5805,2.0382,1.2757,1.1038,209.694,1.3429
"27",7,"A4",1.8252,4.0222,20.034,1.09579,9.6741,2.7269,0.9108,0.9396,157.973,1.3174
"28",1,"A4",2.0025,1.8049,16.998,1.46053,9.2472,2.1871,2.0849,1.1227,279.607,1.0809
"29",9,"A4",2.1542,3.1626,23.642,0.87476,15.098,1.9145,2.4661,1.0474,231.971,0.9515
"30",19,"A4",1.7663,2.3148,18.3,0.65216,8.9671,1.7489,0.8589,0.8455,216.504,0.746
"31",11,"A4",1.9715,3.2474,19.386,0.44802,10.2033,2.2718,1.9896,1.0127,206.816,1.4206
"32",2,"A4",2.1685,3.8553,23.998,1.35149,8.0483,1.7474,2.0232,1.0366,165.771,0.8165
