"","Field","Row","Year","Treatment","Au_Bonitur","Zs_sweep_netting","Zs_yellow_traps","Zs_stick_traps"
"1","1","R1",2,"GM",14,35,21,45
"2","1","R2",2,"GM",5,34,26,55
"3","1","R3",2,"GM",18,21,17,89
"4","1","R4",2,"GM",20,29,13,47
"5","1","R5",2,"GM",21,37,3,34
"6","2","R6",2,"GM",2,32,40,103
"7","2","R7",2,"GM",8,20,12,84
"8","2","R8",2,"GM",13,5,31,102
"9","1","R1",2,"Insecticide",0,10,0,0
"10","1","R2",2,"Insecticide",0,1,2,2
"11","1","R3",2,"Insecticide",0,1,0,4
"12","1","R4",2,"Insecticide",0,2,1,5
"13","1","R5",2,"Insecticide",0,3,1,1
"14","2","R6",2,"Insecticide",0,2,0,2
"15","2","R7",2,"Insecticide",0,2,0,2
"16","2","R8",2,"Insecticide",0,5,1,3
"17","1","R1",2,"Iso",3,16,10,67
"18","1","R2",2,"Iso",7,8,11,18
"19","1","R3",2,"Iso",20,53,43,51
"20","1","R4",2,"Iso",4,25,11,50
"21","1","R5",2,"Iso",18,63,18,156
"22","2","R6",2,"Iso",5,9,52,74
"23","2","R7",2,"Iso",14,27,39,41
"24","2","R8",2,"Iso",1,2,48,43
