"","plotid","cult","time","Y"
"1","P1","C1","T1",3
"2","P2","C1","T1",3
"3","P3","C1","T1",2
"4","P4","C1","T1",4
"5","P5","C1","T1",4
"6","P6","C1","T1",8
"7","P7","C1","T1",3
"8","P8","C1","T1",14
"9","P9","C2","T1",5
"10","P10","C2","T1",19
"11","P11","C2","T1",3
"12","P12","C2","T1",0
"13","P13","C2","T1",3
"14","P14","C2","T1",2
"15","P15","C2","T1",8
"16","P16","C2","T1",2
"17","P17","C3","T1",0
"18","P18","C3","T1",1
"19","P19","C3","T1",56
"20","P20","C3","T1",7
"21","P21","C3","T1",4
"22","P22","C3","T1",16
"23","P23","C3","T1",0
"24","P24","C3","T1",5
"25","P25","C4","T1",6
"26","P26","C4","T1",1
"27","P27","C4","T1",6
"28","P28","C4","T1",35
"29","P29","C4","T1",10
"30","P30","C4","T1",4
"31","P31","C4","T1",24
"32","P32","C4","T1",3
"33","P1","C1","T2",2
"34","P2","C1","T2",2
"35","P3","C1","T2",0
"36","P4","C1","T2",1
"37","P5","C1","T2",2
"38","P6","C1","T2",4
"39","P7","C1","T2",0
"40","P8","C1","T2",9
"41","P9","C2","T2",5
"42","P10","C2","T2",9
"43","P11","C2","T2",1
"44","P12","C2","T2",0
"45","P13","C2","T2",3
"46","P14","C2","T2",1
"47","P15","C2","T2",8
"48","P16","C2","T2",0
"49","P17","C3","T2",1
"50","P18","C3","T2",3
"51","P19","C3","T2",70
"52","P20","C3","T2",13
"53","P21","C3","T2",5
"54","P22","C3","T2",21
"55","P23","C3","T2",3
"56","P24","C3","T2",9
"57","P25","C4","T2",7
"58","P26","C4","T2",1
"59","P27","C4","T2",6
"60","P28","C4","T2",54
"61","P29","C4","T2",9
"62","P30","C4","T2",7
"63","P31","C4","T2",28
"64","P32","C4","T2",12
"65","P1","C1","T3",2
"66","P2","C1","T3",0
"67","P3","C1","T3",0
"68","P4","C1","T3",2
"69","P5","C1","T3",3
"70","P6","C1","T3",3
"71","P7","C1","T3",2
"72","P8","C1","T3",9
"73","P9","C2","T3",2
"74","P10","C2","T3",8
"75","P11","C2","T3",1
"76","P12","C2","T3",0
"77","P13","C2","T3",1
"78","P14","C2","T3",2
"79","P15","C2","T3",1
"80","P16","C2","T3",1
"81","P17","C3","T3",1
"82","P18","C3","T3",0
"83","P19","C3","T3",35
"84","P20","C3","T3",5
"85","P21","C3","T3",2
"86","P22","C3","T3",6
"87","P23","C3","T3",1
"88","P24","C3","T3",2
"89","P25","C4","T3",4
"90","P26","C4","T3",0
"91","P27","C4","T3",1
"92","P28","C4","T3",20
"93","P29","C4","T3",4
"94","P30","C4","T3",3
"95","P31","C4","T3",11
"96","P32","C4","T3",4
"97","P1","C1","T4",2
"98","P2","C1","T4",0
"99","P3","C1","T4",2
"100","P4","C1","T4",7
"101","P5","C1","T4",1
"102","P6","C1","T4",5
"103","P7","C1","T4",0
"104","P8","C1","T4",8
"105","P9","C2","T4",2
"106","P10","C2","T4",7
"107","P11","C2","T4",0
"108","P12","C2","T4",0
"109","P13","C2","T4",0
"110","P14","C2","T4",2
"111","P15","C2","T4",5
"112","P16","C2","T4",0
"113","P17","C3","T4",0
"114","P18","C3","T4",2
"115","P19","C3","T4",37
"116","P20","C3","T4",4
"117","P21","C3","T4",1
"118","P22","C3","T4",11
"119","P23","C3","T4",3
"120","P24","C3","T4",1
"121","P25","C4","T4",4
"122","P26","C4","T4",0
"123","P27","C4","T4",3
"124","P28","C4","T4",20
"125","P29","C4","T4",3
"126","P30","C4","T4",3
"127","P31","C4","T4",6
"128","P32","C4","T4",4
"129","P1","C1","T5",6
"130","P2","C1","T5",4
"131","P3","C1","T5",4
"132","P4","C1","T5",9
"133","P5","C1","T5",5
"134","P6","C1","T5",9
"135","P7","C1","T5",0
"136","P8","C1","T5",19
"137","P9","C2","T5",1
"138","P10","C2","T5",21
"139","P11","C2","T5",2
"140","P12","C2","T5",1
"141","P13","C2","T5",2
"142","P14","C2","T5",3
"143","P15","C2","T5",8
"144","P16","C2","T5",2
"145","P17","C3","T5",2
"146","P18","C3","T5",4
"147","P19","C3","T5",87
"148","P20","C3","T5",16
"149","P21","C3","T5",8
"150","P22","C3","T5",28
"151","P23","C3","T5",3
"152","P24","C3","T5",3
"153","P25","C4","T5",9
"154","P26","C4","T5",1
"155","P27","C4","T5",1
"156","P28","C4","T5",69
"157","P29","C4","T5",10
"158","P30","C4","T5",10
"159","P31","C4","T5",23
"160","P32","C4","T5",11
"161","P1","C1","T6",31
"162","P2","C1","T6",9
"163","P3","C1","T6",21
"164","P4","C1","T6",36
"165","P5","C1","T6",29
"166","P6","C1","T6",24
"167","P7","C1","T6",3
"168","P8","C1","T6",92
"169","P9","C2","T6",15
"170","P10","C2","T6",106
"171","P11","C2","T6",26
"172","P12","C2","T6",4
"173","P13","C2","T6",21
"174","P14","C2","T6",15
"175","P15","C2","T6",58
"176","P16","C2","T6",14
"177","P17","C3","T6",2
"178","P18","C3","T6",15
"179","P19","C3","T6",348
"180","P20","C3","T6",54
"181","P21","C3","T6",30
"182","P22","C3","T6",101
"183","P23","C3","T6",17
"184","P24","C3","T6",50
"185","P25","C4","T6",28
"186","P26","C4","T6",6
"187","P27","C4","T6",18
"188","P28","C4","T6",227
"189","P29","C4","T6",37
"190","P30","C4","T6",44
"191","P31","C4","T6",109
"192","P32","C4","T6",59
