"","Y","F","R"
"1",2,"F1","R1"
"2",3,"F1","R1"
"3",3,"F1","R1"
"4",1,"F1","R1"
"5",4,"F1","R1"
"6",3,"F1","R1"
"7",4,"F1","R1"
"8",2,"F1","R1"
"9",7,"F2","R1"
"10",5,"F2","R1"
"11",5,"F2","R1"
"12",6,"F2","R1"
"13",5,"F2","R1"
"14",6,"F2","R1"
"15",7,"F2","R1"
"16",5,"F2","R1"
"17",1,"F3","R1"
"18",13,"F3","R1"
"19",4,"F3","R1"
"20",8,"F3","R1"
"21",10,"F3","R1"
"22",13,"F3","R1"
"23",6,"F3","R1"
"24",3,"F3","R1"
"25",14,"F4","R1"
"26",11,"F4","R1"
"27",13,"F4","R1"
"28",11,"F4","R1"
"29",12,"F4","R1"
"30",15,"F4","R1"
"31",8,"F4","R1"
"32",13,"F4","R1"
"33",0,"F1","R2"
"34",1,"F1","R2"
"35",0,"F1","R2"
"36",0,"F1","R2"
"37",0,"F1","R2"
"38",1,"F1","R2"
"39",0,"F1","R2"
"40",1,"F1","R2"
"41",2,"F2","R2"
"42",0,"F2","R2"
"43",1,"F2","R2"
"44",1,"F2","R2"
"45",3,"F2","R2"
"46",1,"F2","R2"
"47",3,"F2","R2"
"48",2,"F2","R2"
"49",0,"F3","R2"
"50",1,"F3","R2"
"51",1,"F3","R2"
"52",0,"F3","R2"
"53",2,"F3","R2"
"54",2,"F3","R2"
"55",4,"F3","R2"
"56",1,"F3","R2"
"57",5,"F4","R2"
"58",0,"F4","R2"
"59",1,"F4","R2"
"60",3,"F4","R2"
"61",4,"F4","R2"
"62",4,"F4","R2"
"63",1,"F4","R2"
"64",5,"F4","R2"
"65",0,"F1","R3"
"66",2,"F1","R3"
"67",0,"F1","R3"
"68",0,"F1","R3"
"69",1,"F1","R3"
"70",0,"F1","R3"
"71",0,"F1","R3"
"72",1,"F1","R3"
"73",2,"F2","R3"
"74",2,"F2","R3"
"75",2,"F2","R3"
"76",3,"F2","R3"
"77",4,"F2","R3"
"78",2,"F2","R3"
"79",2,"F2","R3"
"80",2,"F2","R3"
"81",4,"F3","R3"
"82",0,"F3","R3"
"83",4,"F3","R3"
"84",2,"F3","R3"
"85",4,"F3","R3"
"86",4,"F3","R3"
"87",1,"F3","R3"
"88",3,"F3","R3"
"89",5,"F4","R3"
"90",4,"F4","R3"
"91",2,"F4","R3"
"92",3,"F4","R3"
"93",4,"F4","R3"
"94",2,"F4","R3"
"95",4,"F4","R3"
"96",5,"F4","R3"
"97",1,"F1","R4"
"98",3,"F1","R4"
"99",3,"F1","R4"
"100",6,"F1","R4"
"101",4,"F1","R4"
"102",5,"F1","R4"
"103",2,"F1","R4"
"104",6,"F1","R4"
"105",7,"F2","R4"
"106",9,"F2","R4"
"107",6,"F2","R4"
"108",8,"F2","R4"
"109",12,"F2","R4"
"110",15,"F2","R4"
"111",8,"F2","R4"
"112",9,"F2","R4"
"113",13,"F3","R4"
"114",7,"F3","R4"
"115",8,"F3","R4"
"116",10,"F3","R4"
"117",3,"F3","R4"
"118",9,"F3","R4"
"119",15,"F3","R4"
"120",10,"F3","R4"
"121",23,"F4","R4"
"122",19,"F4","R4"
"123",13,"F4","R4"
"124",22,"F4","R4"
"125",33,"F4","R4"
"126",19,"F4","R4"
"127",15,"F4","R4"
"128",17,"F4","R4"
"129",1,"F1","R5"
"130",3,"F1","R5"
"131",4,"F1","R5"
"132",1,"F1","R5"
"133",1,"F1","R5"
"134",3,"F1","R5"
"135",3,"F1","R5"
"136",3,"F1","R5"
"137",10,"F2","R5"
"138",4,"F2","R5"
"139",9,"F2","R5"
"140",5,"F2","R5"
"141",7,"F2","R5"
"142",9,"F2","R5"
"143",4,"F2","R5"
"144",6,"F2","R5"
"145",9,"F3","R5"
"146",3,"F3","R5"
"147",3,"F3","R5"
"148",3,"F3","R5"
"149",6,"F3","R5"
"150",5,"F3","R5"
"151",5,"F3","R5"
"152",10,"F3","R5"
"153",11,"F4","R5"
"154",8,"F4","R5"
"155",11,"F4","R5"
"156",13,"F4","R5"
"157",10,"F4","R5"
"158",13,"F4","R5"
"159",13,"F4","R5"
"160",16,"F4","R5"
