"","Date","Treatment","Block","Plot","Bibio","Cecido","Cerato","Chiro","Myceto","Psycho","Scato","Sciari","Tipuli","Total"
"1",2005-07-11 17:00:00,"A",1,"A1",0,0,0,0,0,0,0,2,0,2
"2",2005-07-11 17:00:00,"A",2,"A2",0,5,0,0,0,0,0,9,0,14
"3",2005-07-11 17:00:00,"A",3,"A3",0,13,0,0,0,0,0,11,0,24
"4",2005-07-11 17:00:00,"A",4,"A4",0,4,0,1,0,0,0,12,0,17
"5",2005-07-11 17:00:00,"A",5,"A5",0,6,0,0,0,0,0,4,0,10
"6",2005-07-11 17:00:00,"A",6,"A6",0,4,0,0,0,0,0,10,0,14
"7",2005-07-11 17:00:00,"A",7,"A7",0,1,0,0,0,0,0,3,0,4
"8",2005-07-11 17:00:00,"A",8,"A8",0,1,0,0,0,0,0,5,0,6
"9",2005-07-11 17:00:00,"B",1,"B1",0,0,0,1,0,0,0,4,0,5
"10",2005-07-11 17:00:00,"B",2,"B2",0,1,0,0,0,0,0,4,0,5
"11",2005-07-11 17:00:00,"B",3,"B3",0,2,1,0,0,0,0,7,0,10
"12",2005-07-11 17:00:00,"B",4,"B4",0,7,0,0,0,0,0,4,0,11
"13",2005-07-11 17:00:00,"B",5,"B5",0,40,0,0,0,0,0,8,0,48
"14",2005-07-11 17:00:00,"B",6,"B6",0,1,0,0,0,0,0,3,0,4
"15",2005-07-11 17:00:00,"B",7,"B7",0,2,0,0,0,0,0,5,0,7
"16",2005-07-11 17:00:00,"B",8,"B8",0,2,0,0,0,0,0,4,0,6
"17",2005-07-11 17:00:00,"Standard",1,"Standard1",0,0,0,0,0,0,0,1,0,1
"18",2005-07-11 17:00:00,"Standard",2,"Standard2",0,1,0,0,0,0,0,8,0,9
"19",2005-07-11 17:00:00,"Standard",3,"Standard3",0,19,0,1,0,0,0,9,0,29
"20",2005-07-11 17:00:00,"Standard",4,"Standard4",0,10,0,0,0,0,0,3,0,13
"21",2005-07-11 17:00:00,"Standard",5,"Standard5",0,0,0,0,0,0,0,4,0,4
"22",2005-07-11 17:00:00,"Standard",6,"Standard6",0,3,0,0,0,0,0,6,0,9
"23",2005-07-11 17:00:00,"Standard",7,"Standard7",0,1,0,0,0,0,0,10,0,11
"24",2005-07-11 17:00:00,"Standard",8,"Standard8",0,5,0,0,0,0,0,4,0,9
"25",2005-07-11 17:00:00,"Novum",1,"Novum1",0,1,0,1,0,0,0,5,0,7
"26",2005-07-11 17:00:00,"Novum",2,"Novum2",0,2,0,0,0,0,0,11,0,13
"27",2005-07-11 17:00:00,"Novum",3,"Novum3",0,6,0,0,0,0,0,4,0,10
"28",2005-07-11 17:00:00,"Novum",4,"Novum4",0,4,0,1,0,0,0,4,0,9
"29",2005-07-11 17:00:00,"Novum",5,"Novum5",0,37,0,0,0,0,0,15,0,52
"30",2005-07-11 17:00:00,"Novum",6,"Novum6",0,1,0,0,0,0,0,2,0,3
"31",2005-07-11 17:00:00,"Novum",7,"Novum7",0,1,0,1,0,0,0,8,0,10
"32",2005-07-11 17:00:00,"Novum",8,"Novum8",0,1,0,0,0,0,0,0,0,1
"33",2005-07-25 17:00:00,"A",1,"A1",0,0,0,0,0,0,0,6,0,6
"34",2005-07-25 17:00:00,"A",2,"A2",0,5,0,0,0,0,0,18,0,23
"35",2005-07-25 17:00:00,"A",3,"A3",0,19,0,1,0,0,0,26,0,46
"36",2005-07-25 17:00:00,"A",4,"A4",0,2,0,1,0,0,0,18,0,21
"37",2005-07-25 17:00:00,"A",5,"A5",0,0,0,0,0,0,0,5,0,5
"38",2005-07-25 17:00:00,"A",6,"A6",0,1,0,0,0,0,0,3,0,4
"39",2005-07-25 17:00:00,"A",7,"A7",0,1,0,0,0,0,0,19,0,20
"40",2005-07-25 17:00:00,"A",8,"A8",0,0,0,0,0,0,0,20,0,20
"41",2005-07-25 17:00:00,"B",1,"B1",0,0,0,0,0,0,0,9,0,9
"42",2005-07-25 17:00:00,"B",2,"B2",0,4,0,0,0,0,0,5,0,9
"43",2005-07-25 17:00:00,"B",3,"B3",0,0,0,0,0,0,0,2,0,2
"44",2005-07-25 17:00:00,"B",4,"B4",0,1,0,0,0,0,0,13,0,14
"45",2005-07-25 17:00:00,"B",5,"B5",0,11,0,0,0,0,0,12,0,23
"46",2005-07-25 17:00:00,"B",6,"B6",0,0,0,0,0,0,0,3,0,3
"47",2005-07-25 17:00:00,"B",7,"B7",0,4,0,0,0,1,0,29,0,34
"48",2005-07-25 17:00:00,"B",8,"B8",0,5,0,0,0,0,0,16,0,21
"49",2005-07-25 17:00:00,"Standard",1,"Standard1",0,1,0,0,0,0,0,4,0,5
"50",2005-07-25 17:00:00,"Standard",2,"Standard2",0,1,0,0,0,0,0,5,0,6
"51",2005-07-25 17:00:00,"Standard",3,"Standard3",0,2,0,0,0,0,0,21,0,23
"52",2005-07-25 17:00:00,"Standard",4,"Standard4",0,3,0,1,0,0,0,11,0,15
"53",2005-07-25 17:00:00,"Standard",5,"Standard5",0,2,0,0,0,0,0,10,0,12
"54",2005-07-25 17:00:00,"Standard",6,"Standard6",0,0,0,0,0,0,0,7,0,7
"55",2005-07-25 17:00:00,"Standard",7,"Standard7",0,1,0,0,0,0,0,32,0,33
"56",2005-07-25 17:00:00,"Standard",8,"Standard8",0,2,0,0,0,0,0,13,0,15
"57",2005-07-25 17:00:00,"Novum",1,"Novum1",0,1,0,0,0,0,0,8,0,9
"58",2005-07-25 17:00:00,"Novum",2,"Novum2",0,2,0,1,0,0,0,16,0,19
"59",2005-07-25 17:00:00,"Novum",3,"Novum3",0,2,0,1,0,0,0,18,1,22
"60",2005-07-25 17:00:00,"Novum",4,"Novum4",0,6,0,0,0,0,0,12,0,18
"61",2005-07-25 17:00:00,"Novum",5,"Novum5",0,9,0,0,0,0,0,13,0,22
"62",2005-07-25 17:00:00,"Novum",6,"Novum6",0,0,0,0,0,0,0,3,0,3
"63",2005-07-25 17:00:00,"Novum",7,"Novum7",0,1,0,0,0,0,0,8,0,9
"64",2005-07-25 17:00:00,"Novum",8,"Novum8",0,1,0,0,0,0,0,3,0,4
"65",2005-08-08 17:00:00,"A",1,"A1",0,5,0,0,0,0,0,0,0,5
"66",2005-08-08 17:00:00,"A",2,"A2",0,5,0,0,0,0,0,0,0,5
"67",2005-08-08 17:00:00,"A",3,"A3",0,7,0,2,0,0,0,3,0,12
"68",2005-08-08 17:00:00,"A",4,"A4",0,3,6,1,0,0,0,3,0,13
"69",2005-08-08 17:00:00,"A",5,"A5",0,3,0,2,0,0,0,1,0,6
"70",2005-08-08 17:00:00,"A",6,"A6",0,2,0,0,0,0,0,2,0,4
"71",2005-08-08 17:00:00,"A",7,"A7",0,2,0,0,0,0,0,0,0,2
"72",2005-08-08 17:00:00,"A",8,"A8",0,3,0,2,0,0,0,1,0,6
"73",2005-08-08 17:00:00,"B",1,"B1",0,14,0,0,0,0,0,0,0,14
"74",2005-08-08 17:00:00,"B",2,"B2",0,11,0,0,0,0,0,2,0,13
"75",2005-08-08 17:00:00,"B",3,"B3",0,13,0,0,0,0,0,0,0,13
"76",2005-08-08 17:00:00,"B",4,"B4",0,1,0,0,0,0,0,5,0,6
"77",2005-08-08 17:00:00,"B",5,"B5",0,22,2,3,0,0,0,3,0,30
