"","Field","Row","Year","Treatment","Au_Bonitur","Zs_sweep_netting"
"1","1","R1",1,"GM",4,8
"2","1","R2",1,"GM",8,14
"3","1","R3",1,"GM",20,15
"4","1","R4",1,"GM",1,16
"5","1","R5",1,"GM",34,41
"6","2","R6",1,"GM",53,20
"7","2","R7",1,"GM",26,23
"8","2","R8",1,"GM",4,27
"9","1","R1",1,"Insecticide",1,4
"10","1","R2",1,"Insecticide",0,5
"11","1","R3",1,"Insecticide",0,2
"12","1","R4",1,"Insecticide",1,1
"13","1","R5",1,"Insecticide",0,3
"14","2","R6",1,"Insecticide",2,2
"15","2","R7",1,"Insecticide",2,8
"16","2","R8",1,"Insecticide",1,3
"17","1","R1",1,"Iso",21,2
"18","1","R2",1,"Iso",21,25
"19","1","R3",1,"Iso",2,16
"20","1","R4",1,"Iso",13,30
"21","1","R5",1,"Iso",3,21
"22","2","R6",1,"Iso",16,95
"23","2","R7",1,"Iso",16,87
"24","2","R8",1,"Iso",3,92
