"","Year","Date","Block","Treatment","Plot","Sp1","Sp2","Sp3","Sp4","Sp5","Sp6","Sp7","Sp8","Sp9","Sp10","Sp11","Sp12"
"1","1",1,1,"GM","GM1",0,29,3,0,0,0,0,2,0,0,1,0
"2","1",1,2,"GM","GM2",0,49,0,0,1,0,0,2,2,0,0,0
"3","1",1,3,"GM","GM3",0,48,4,0,0,0,0,2,1,0,2,0
"4","1",1,4,"GM","GM4",0,49,1,0,0,0,0,1,3,0,0,0
"5","1",1,5,"GM","GM5",0,5,1,0,0,0,0,0,0,0,0,0
"6","1",1,6,"GM","GM6",0,4,2,0,0,0,0,0,1,0,0,0
"7","1",1,7,"GM","GM7",0,21,4,0,0,0,0,2,0,0,0,0
"8","1",1,8,"GM","GM8",0,30,0,0,3,0,0,1,0,0,0,0
"9","1",1,1,"Ins","Ins1",0,60,7,0,0,0,0,1,0,0,1,0
"10","1",1,2,"Ins","Ins2",0,2,1,0,0,0,0,0,0,0,0,0
"11","1",1,3,"Ins","Ins3",0,8,0,0,0,0,0,0,0,0,0,0
"12","1",1,4,"Ins","Ins4",0,7,0,0,0,0,0,0,0,0,0,0
"13","1",1,5,"Ins","Ins5",0,14,0,0,0,0,0,0,0,0,0,0
"14","1",1,6,"Ins","Ins6",0,7,0,0,0,0,0,0,0,0,0,0
"15","1",1,7,"Ins","Ins7",0,8,0,0,0,0,0,0,0,0,0,0
"16","1",1,8,"Ins","Ins8",0,11,0,0,0,0,0,0,0,0,0,0
"17","1",1,1,"Iso","Iso1",0,7,0,0,0,0,0,0,0,0,0,0
"18","1",1,2,"Iso","Iso2",0,56,2,0,0,0,0,1,2,0,0,0
"19","1",1,3,"Iso","Iso3",0,20,1,0,0,0,0,1,0,0,0,0
"20","1",1,4,"Iso","Iso4",0,44,1,0,0,0,0,1,0,0,6,0
"21","1",1,5,"Iso","Iso5",0,84,1,0,0,0,0,3,3,0,5,0
"22","1",1,6,"Iso","Iso6",0,25,4,0,0,1,0,1,0,0,0,0
"23","1",1,7,"Iso","Iso7",0,55,3,0,1,0,0,2,1,0,0,0
"24","1",1,8,"Iso","Iso8",0,32,0,0,0,2,0,4,0,0,0,0
"25","1",2,1,"GM","GM1",0,4,2,0,0,0,0,0,2,0,0,0
"26","1",2,2,"GM","GM2",0,1,1,0,0,0,0,2,4,0,0,0
"27","1",2,3,"GM","GM3",0,3,3,0,0,0,0,0,9,0,1,0
"28","1",2,4,"GM","GM4",0,0,1,0,0,0,0,0,4,0,0,0
"29","1",2,5,"GM","GM5",0,1,4,0,0,0,0,1,4,0,0,0
"30","1",2,6,"GM","GM6",0,2,0,0,0,0,0,0,0,0,0,0
"31","1",2,7,"GM","GM7",0,0,2,0,0,0,0,1,2,0,0,0
"32","1",2,8,"GM","GM8",0,2,0,0,0,0,0,0,0,0,0,0
"33","1",2,1,"Ins","Ins1",0,0,0,0,0,0,2,0,0,0,0,0
"34","1",2,2,"Ins","Ins2",0,20,3,0,0,0,0,0,1,0,0,0
"35","1",2,3,"Ins","Ins3",0,1,0,0,0,0,0,0,0,0,0,0
"36","1",2,4,"Ins","Ins4",0,7,4,0,0,0,0,0,2,0,0,0
"37","1",2,5,"Ins","Ins5",0,1,1,0,0,0,0,0,0,0,0,0
"38","1",2,6,"Ins","Ins6",0,0,0,0,0,0,0,0,0,0,0,0
"39","1",2,7,"Ins","Ins7",0,1,0,0,0,0,0,0,0,0,0,0
"40","1",2,8,"Ins","Ins8",0,1,0,0,0,0,0,0,0,0,0,0
