"","Block","PID","Variety","Time","Perc"
"1",1,1,"N","t1",48.26
"2",1,1,"N","t1",51.61
"3",1,1,"N","t1",47.88
"4",1,1,"N","t1",53.43
"5",1,1,"N","t1",51.29
"6",1,1,"N","t1",49.33
"7",1,1,"N","t2",55.64
"8",1,1,"N","t2",51.75
"9",1,1,"N","t2",49.29
"10",1,1,"N","t2",59.06
"11",1,1,"N","t2",53.47
"12",1,1,"N","t2",54.72
"13",1,1,"N","t3",56.11
"14",1,1,"N","t3",55.37
"15",1,1,"N","t3",57.98
"16",1,1,"N","t3",59.68
"17",1,1,"N","t3",56.64
"18",1,1,"N","t3",53.21
"19",1,1,"N","t4",61.22
"20",1,1,"N","t4",60.39
"21",1,1,"N","t4",59.66
"22",1,1,"N","t4",57.17
"23",1,1,"N","t4",59.13
"24",1,1,"N","t4",62.57
"25",1,1,"N","t5",63.3
"26",1,1,"N","t5",58.76
"27",1,1,"N","t5",60.99
"28",1,1,"N","t5",60.93
"29",1,1,"N","t5",61.4
"30",1,1,"N","t5",55.84
"31",1,1,"N","t6",64.86
"32",1,1,"N","t6",63.04
"33",1,1,"N","t6",58.91
"34",1,1,"N","t6",63.95
"35",1,1,"N","t6",61.84
"36",1,1,"N","t6",60.31
"37",1,2,"S1","t1",52
"38",1,2,"S1","t1",49.7
"39",1,2,"S1","t1",47.48
"40",1,2,"S1","t1",51.46
"41",1,2,"S1","t1",51.33
"42",1,2,"S1","t1",52.04
"43",1,2,"S1","t2",57.11
"44",1,2,"S1","t2",51.51
"45",1,2,"S1","t2",51.76
"46",1,2,"S1","t2",49.5
"47",1,2,"S1","t2",54
"48",1,2,"S1","t2",53.39
"49",1,2,"S1","t3",49.41
"50",1,2,"S1","t3",52.33
"51",1,2,"S1","t3",52.81
"52",1,2,"S1","t3",57.45
"53",1,2,"S1","t3",52.02
"54",1,2,"S1","t3",53.01
"55",1,2,"S1","t4",57.81
"56",1,2,"S1","t4",56.18
"57",1,2,"S1","t4",55.06
"58",1,2,"S1","t4",57.45
"59",1,2,"S1","t4",57.23
"60",1,2,"S1","t4",56.68
"61",1,2,"S1","t5",58.67
"62",1,2,"S1","t5",60.04
"63",1,2,"S1","t5",58.57
"64",1,2,"S1","t5",61.16
"65",1,2,"S1","t5",60.26
"66",1,2,"S1","t5",58.51
"67",1,2,"S1","t6",59.03
"68",1,2,"S1","t6",60.35
"69",1,2,"S1","t6",59.16
"70",1,2,"S1","t6",61.12
"71",1,2,"S1","t6",57.62
"72",1,2,"S1","t6",59.69
"73",1,3,"S2","t1",52.35
"74",1,3,"S2","t1",53
"75",1,3,"S2","t1",50.37
"76",1,3,"S2","t1",50.28
"77",1,3,"S2","t1",51.17
"78",1,3,"S2","t1",53.46
"79",1,3,"S2","t2",52.15
"80",1,3,"S2","t2",53.41
"81",1,3,"S2","t2",54.58
"82",1,3,"S2","t2",54.92
"83",1,3,"S2","t2",54.64
"84",1,3,"S2","t2",52.73
"85",1,3,"S2","t3",57.87
"86",1,3,"S2","t3",55.64
"87",1,3,"S2","t3",53.92
"88",1,3,"S2","t3",55.8
"89",1,3,"S2","t3",53.92
"90",1,3,"S2","t3",52.33
"91",1,3,"S2","t4",59.62
"92",1,3,"S2","t4",59
"93",1,3,"S2","t4",58.2
"94",1,3,"S2","t4",58.6
"95",1,3,"S2","t4",60.89
"96",1,3,"S2","t4",59
"97",1,3,"S2","t5",61.88
"98",1,3,"S2","t5",60.83
"99",1,3,"S2","t5",63.29
"100",1,3,"S2","t5",60.46
"101",1,3,"S2","t5",58.51
"102",1,3,"S2","t5",62.27
"103",1,3,"S2","t6",59.57
"104",1,3,"S2","t6",62.91
"105",1,3,"S2","t6",64.17
"106",1,3,"S2","t6",60.14
"107",1,3,"S2","t6",61.51
"108",1,3,"S2","t6",61.49
"109",1,4,"S3","t1",50.15
"110",1,4,"S3","t1",49.42
"111",1,4,"S3","t1",51.43
"112",1,4,"S3","t1",48.37
"113",1,4,"S3","t1",50.91
"114",1,4,"S3","t1",50.9
"115",1,4,"S3","t2",48.75
"116",1,4,"S3","t2",48.75
"117",1,4,"S3","t2",47.79
"118",1,4,"S3","t2",48.92
"119",1,4,"S3","t2",53.38
"120",1,4,"S3","t2",53.29
"121",1,4,"S3","t3",51.64
"122",1,4,"S3","t3",51.28
"123",1,4,"S3","t3",50.39
"124",1,4,"S3","t3",51.85
"125",1,4,"S3","t3",53.71
"126",1,4,"S3","t3",51.2
"127",1,4,"S3","t4",55.17
"128",1,4,"S3","t4",58.03
"129",1,4,"S3","t4",54.64
"130",1,4,"S3","t4",53.95
"131",1,4,"S3","t4",55.72
