"","Y","F","R"
"1",6.17129701980274,"F1","R1"
"2",6.77040757428868,"F1","R1"
"3",6.63868247840892,"F1","R1"
"4",6.53190868216112,"F1","R1"
"5",6.01229481603175,"F1","R1"
"6",6.66331104199417,"F1","R1"
"7",6.14482850332106,"F1","R1"
"8",4.97369983333595,"F1","R1"
"9",7.26212387945476,"F2","R1"
"10",4.95420582339085,"F2","R1"
"11",5.20099219481143,"F2","R1"
"12",5.54316956276081,"F2","R1"
"13",2.60821233424371,"F2","R1"
"14",4.96798980674599,"F2","R1"
"15",5.71024789511975,"F2","R1"
"16",8.10532739185881,"F2","R1"
"17",4.2021849491978,"F3","R1"
"18",6.53865652714847,"F3","R1"
"19",5.42858215604013,"F3","R1"
"20",6.0558407928986,"F3","R1"
"21",6.65851625966907,"F3","R1"
"22",6.70364809759212,"F3","R1"
"23",5.11863107174892,"F3","R1"
"24",7.57229266463421,"F3","R1"
"25",4.60249146210935,"F4","R1"
"26",6.31021070054469,"F4","R1"
"27",5.70753821159287,"F4","R1"
"28",5.30156622736396,"F4","R1"
"29",5.41113951214378,"F4","R1"
"30",4.42183999346339,"F4","R1"
"31",4.65049185365001,"F4","R1"
"32",6.74189441190793,"F4","R1"
"33",4.2913334896014,"F1","R2"
"34",5.09223838644045,"F1","R2"
"35",3.49272813453999,"F1","R2"
"36",6.31881443896089,"F1","R2"
"37",4.98220811338855,"F1","R2"
"38",6.77563576336946,"F1","R2"
"39",7.01840374056563,"F1","R2"
"40",5.06216650236801,"F1","R2"
"41",3.63272412517263,"F2","R2"
"42",5.65674218576621,"F2","R2"
"43",5.8238173242392,"F2","R2"
"44",4.3147596303042,"F2","R2"
"45",5.15441698274281,"F2","R2"
"46",4.30846112461963,"F2","R2"
"47",5.09578567624619,"F2","R2"
"48",5.76648248889734,"F2","R2"
"49",4.60877323918576,"F3","R2"
"50",4.12244491127219,"F3","R2"
"51",3.44088376741922,"F3","R2"
"52",4.30685146266384,"F3","R2"
"53",6.07629065252312,"F3","R2"
"54",3.55437531011666,"F3","R2"
"55",6.50997968630571,"F3","R2"
"56",3.76683771497944,"F3","R2"
"57",5.00625650406441,"F4","R2"
"58",5.83205402033238,"F4","R2"
"59",4.0262675017927,"F4","R2"
"60",6.2944128451826,"F4","R2"
"61",4.47855903874383,"F4","R2"
"62",4.33883977795234,"F4","R2"
"63",4.76485348312741,"F4","R2"
"64",5.95950673420936,"F4","R2"
"65",3.62383766121449,"F1","R3"
"66",3.63511864166665,"F1","R3"
"67",5.79426060961689,"F1","R3"
"68",4.42192448243504,"F1","R3"
"69",2.93784392794239,"F1","R3"
"70",4.60395032543311,"F1","R3"
"71",4.51446306817886,"F1","R3"
"72",4.68401251737076,"F1","R3"
"73",4.32559741885124,"F2","R3"
"74",3.07912676971065,"F2","R3"
"75",5.12883419007378,"F2","R3"
"76",5.29760471974632,"F2","R3"
"77",4.79357332391278,"F2","R3"
"78",2.61734510414293,"F2","R3"
"79",4.81494960047461,"F2","R3"
"80",5.43110905381215,"F2","R3"
"81",4.3224983170291,"F3","R3"
"82",4.65806988309882,"F3","R3"
"83",4.44471702212623,"F3","R3"
"84",3.7970407687733,"F3","R3"
"85",3.01675108912877,"F3","R3"
"86",3.32832373622269,"F3","R3"
"87",3.3243248199749,"F3","R3"
"88",6.54472665724093,"F3","R3"
"89",4.82444983270348,"F4","R3"
"90",3.59556587795127,"F4","R3"
"91",4.61503113182351,"F4","R3"
"92",4.61020991735466,"F4","R3"
"93",2.91471656524031,"F4","R3"
"94",4.45009435761687,"F4","R3"
"95",5.39592599918798,"F4","R3"
"96",3.61535574013705,"F4","R3"
"97",5.25240826852996,"F1","R4"
"98",4.24682205302892,"F1","R4"
"99",5.20398429072989,"F1","R4"
"100",5.45061665124154,"F1","R4"
"101",5.03070308301177,"F1","R4"
"102",5.94865304640053,"F1","R4"
"103",4.87288452501065,"F1","R4"
"104",3.27203885384134,"F1","R4"
"105",3.73603312683218,"F2","R4"
"106",3.55195980445416,"F2","R4"
