"","Rep","Variety","Total","Pupating","Hatching"
"1","A1","S1",8,2,2
"2","A2","S1",8,6,6
"3","A3","S1",8,5,5
"4","A4","S1",8,5,5
"5","A5","S1",8,3,2
"6","A6","S1",8,4,3
"7","A7","S1",8,4,4
"8","A8","S1",8,5,5
"9","B1","S2",8,6,6
"10","B2","S2",8,6,6
"11","B3","S2",8,4,4
"12","B4","S2",8,2,2
"13","B5","S2",8,1,1
"14","B6","S2",8,4,3
"15","B7","S2",8,4,2
"16","B8","S2",8,4,4
"17","C1","NStandard",8,5,4
"18","C2","NStandard",8,5,5
"19","C3","NStandard",8,5,5
"20","C4","NStandard",8,6,5
"21","C5","NStandard",8,0,0
"22","C6","NStandard",8,1,0
"23","C7","NStandard",8,8,7
"24","C8","NStandard",8,5,5
"25","D1","Novum",8,6,4
"26","D2","Novum",8,5,2
"27","D3","Novum",8,3,3
"28","D4","Novum",8,6,4
"29","D5","Novum",8,3,3
"30","D6","Novum",8,5,5
"31","D7","Novum",8,6,6
"32","D8","Novum",8,7,6
