"","resp","A","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"1",11,"A1",1.9978,3.3916,0.9277,16.551,7.1144,2.5264,2.0084,0.9822,25.3794,1.0372
"2",13,"A1",1.9763,3.4472,1.0581,14.5934,9.7861,1.4754,1.5375,1.0207,23.1675,1.0805
"3",14,"A1",2.0105,3.4537,1.1306,9.3239,14.3337,1.3699,1.4634,0.9484,19.5083,1.1947
"4",13,"A1",2.1426,3.3444,1.0276,6.9213,11.3545,3.6205,2.9925,0.9178,12.4038,1.0641
"5",11,"A1",2.0769,3.3161,1.1028,7.8709,10.1237,1.7916,2.3024,1.0939,17.5002,1.1846
"6",16,"A1",2.0733,3.0834,1.2331,10.8044,8.7325,2.1491,1.4982,0.8829,17.4867,0.8398
"7",12,"A1",1.9535,2.8348,0.9641,9.2694,3.8403,2.3183,1.734,1.2223,20.4281,1.4032
"8",5,"A1",1.7546,2.6948,0.7521,8.9335,13.394,1.7581,1.3312,1.0175,26.5036,1.1111
"9",17,"A2",2.129,2.6835,1.023,7.1306,5.6181,2.2584,3.034,1.0952,31.6121,1.5235
"10",6,"A2",2.0443,2.8584,0.911,9.8558,12.2198,2.1845,2.6196,0.9368,27.6184,0.8591
"11",14,"A2",1.9873,2.3605,0.9317,7.6698,15.7273,1.8923,1.9631,0.9422,19.3248,0.9844
"12",14,"A2",2.095,4.1285,1.1876,5.0027,5.6683,2.0326,2.2893,0.8586,11.2893,1.0732
"13",19,"A2",1.9928,3.5963,1.0422,8.8674,12.1054,1.983,1.8246,0.9633,17.9976,0.8356
"14",15,"A2",1.9301,2.3915,0.8557,12.7597,9.2134,3.0642,1.7784,1.0302,20.3961,0.8752
"15",9,"A2",1.901,2.7991,0.9829,8.2634,5.2836,1.6293,1.5691,1.0327,24.1584,0.8978
"16",7,"A2",2.0517,2.7903,1.0316,11.8593,5.456,1.452,1.8377,0.9261,24.7157,0.8682
"17",20,"A3",2.1282,3.395,1.0435,5.1555,5.1954,2.0189,2.8529,0.9299,23.3721,0.9597
"18",24,"A3",1.9018,2.9439,0.9625,9.7946,8.4073,2.1552,1.8276,0.9297,13.0403,0.9452
"19",14,"A3",2.0478,3.1214,1.0026,11.572,5.6147,2.2183,2.1115,1.1289,24.1214,0.7193
"20",17,"A3",2.0199,3.0052,1.0359,10.8939,12.0638,1.7708,2.083,0.8847,17.7618,0.9863
"21",15,"A3",2.0273,2.9514,0.9383,10.2956,16.3003,1.4683,2.5322,1.0059,20.9658,1.238
"22",25,"A3",1.9706,3.6926,1.0804,8.0737,6.1389,2.6316,1.7263,1.2183,20.5667,1.4109
"23",15,"A3",1.8894,2.9186,1.0524,7.431,12.3632,1.8252,1.4299,1.0194,22.2389,1.2706
"24",28,"A3",2.1023,3.7605,1.0688,6.9124,12.3071,1.5672,2.7724,0.881,20.1554,1.1192
"25",4,"A4",1.9013,2.2057,0.8882,10.341,10.9966,1.8819,1.7388,0.8756,11.5176,0.5433
"26",7,"A4",1.8864,3.3137,1.0673,7.1245,6.9749,1.9014,1.5137,1.0516,23.645,0.954
"27",3,"A4",1.98,3.1178,1.1224,8.5451,9.6416,2.555,1.4459,0.9655,21.8955,0.959
"28",5,"A4",1.9309,3.1343,1.0659,9.2351,9.1588,2.0424,1.3734,0.9518,18.7153,1.0998
"29",4,"A4",1.9475,3.1816,0.9995,15.5092,11.689,2.377,1.6306,0.9673,20.5758,0.9842
"30",3,"A4",2.0702,2.7426,0.9661,8.0688,8.8827,1.7504,2.401,0.9911,20.5748,0.7804
"31",8,"A4",2.1496,2.8968,1.1101,10.7138,12.9309,2.1072,2.5747,1.186,21.2658,1.3524
"32",8,"A4",2.0014,2.4622,0.8937,10.228,8.8763,1.8377,2.3318,1.0379,28.2718,1.2927
