"","If","Ir","power","lambda"
"1",12,70,-38.3,1579.1
"2",13,70,-38.1,1579.1
"3",15,70,-36.5,1579.1
"4",19,70,-35.1,1579
"5",20,70,-35.1,1577.8
"6",20,70,-35.1,1578.1
"7",26,70,-34.2,1578
"8",30,70,-32.6,1578
"9",13,60,-40.9,1578.8
"10",14,60,-39.8,1578.9
"11",19,60,-37,1578.8
"12",21,60,-36.1,1577.8
"13",24,60,-35.4,1577.9
"14",40,60,-35.4,1577.9
"15",15,50,-45.7,1578.6
"16",20,50,-40.4,1578.6
"17",21,50,-37.4,1577.7
"18",25,50,-36,1577.8
"19",30,50,-34.1,1577.8
"20",40,50,-31.2,1577.8
"21",50,50,-29.5,1577.7
"22",22,40,-40.3,1577.5
"23",24,40,-39.5,1577.6
"24",31,40,-36.1,1577.6
"25",48,40,-30.9,1577.6
"26",55,40,-29.7,1577.6
"27",56,40,-29.5,1577.6
"28",57,40,-29.9,1575.7
"29",57,40,-29.9,1577.2
"30",60,40,-29.5,1575.7
"31",60,40,-29.5,1577.2
"32",27,30,-46.2,1577.4
"33",32,30,-41,1577.4
"34",37,30,-38.2,1577.3
"35",41,30,-36.2,1577.3
"36",46,30,-33.9,1577.3
"37",47,30,-34.1,1575.4
"38",49,30,-34.3,1575.5
"39",52,30,-35.1,1575.6
"40",54,30,-35.5,1575.6
"41",56,30,-36,1575.5
"42",59,30,-36.2,1575.5
"43",60,30,-35.6,1575.5
"44",60,30,-35.6,1577.1
"45",61,30,-34.5,1575.5
"46",61,30,-34.5,1577.1
"47",64,30,-33.5,1575.6
"48",64,30,-33.5,1577.2
"49",68,30,-31.7,1575.7
"50",68,30,-31.7,1577.4
"51",70,30,-31.1,1575.7
"52",70,30,-31.1,1577.4
"53",52,20,-44.5,1575.2
"54",53,20,-42.6,1575.2
"55",54,20,-38.5,1576.9
"56",55,20,-36.6,1577
"57",56,20,-35.2,1577.1
"58",58,20,-33.9,1577.2
"59",64,20,-31.8,1577.3
"60",67,20,-31,1577.4
"61",70,20,-30,1577.5
"62",74,20,-29.8,1577.6
"63",78,20,-29.4,1577.7
"64",85,20,-28.7,1577.8
