"","number","frequency","percentage","description"
"1",7,2912,0.0969858451290591,"NA"
"2",3,2248,0.0748709408825978,"NA"
"3",8,2025,0.06744379683597,"NA"
"4",4,1694,0.0564196502914238,"NA"
"5",5,1544,0.0514238134887594,"NA"
"6",13,1500,0.0499583680266445,"NA"
"7",9,1438,0.0478934221482098,"NA"
"8",6,1015,0.0338051623646961,"NA"
"9",2,1011,0.0336719400499584,NA
"10",11,871,0.0290091590341382,NA
"11",42,844,0.0281099084096586,NA
"12",17,811,0.0270108243130724,NA
"13",23,681,0.0226810990840966,NA
"14",12,651,0.0216819317235637,NA
"15",27,579,0.0192839300582848,NA
"16",22,442,0.0147210657785179,NA
"17",21,420,0.0139883430474605,NA
"18",3.14,412,0.013721898417985,"pi"
"19",14,383,0.0127560366361366,NA
"20",24,361,0.0120233139050791,NA
"21",1,358,0.0119233971690258,NA
"22",16,355,0.0118234804329725,NA
"23",10,354,0.0117901748542881,NA
"24",37,294,0.00979184013322231,NA
"25",0,287,0.00955870108243131,NA
"26",19,279,0.00929225645295587,NA
"27",18,241,0.00802664446294754,NA
"28",2.78,206,0.00686094920899251,"the exponential constant"
"29",28,198,0.00659450457951707,NA
"30",69,191,0.00636136552872606,NA
"31",25,186,0.00619483763530391,NA
"32",15,172,0.0057285595337219,NA
"33",NA,168,0.00559533721898418,"the imaginary unit"
"34",47,167,0.00556203164029975,NA
"35",26,153,0.00509575353871773,NA
"36",33,148,0.00492922564529559,NA
"37",32,138,0.00459616985845129,NA
"38",36,114,0.00379683597002498,NA
"39",29,109,0.00363030807660283,NA
"40",1.618,103,0.00343047460449625,"the golden ratio"
"41",44,100,0.00333055786844296,NA
"42",73,96,0.00319733555370525,NA
"43",64,93,0.00309741881765196,NA
"44",72,77,0.00256452955870108,NA
"45",31,76,0.00253122398001665,NA
"46",43,71,0.0023646960865945,NA
"47",88,69,0.00229808492922564,NA
"48",49,62,0.00206494587843464,NA
"49",56,58,0.00193172356369692,NA
"50",20,57,0.00189841798501249,NA
"51",34,57,0.00189841798501249,NA
"52",57,51,0.00169858451290591,NA
"53",137,47,0.00156536219816819,NA
"54",39,44,0.0014654454621149,NA
"55",1729,41,0.00136552872606162,NA
"56",48,40,0.00133222314737719,NA
"57",51,40,0.00133222314737719,NA
"58",41,39,0.00129891756869276,NA
"59",666,37,0.0012323064113239,NA
"60",52,35,0.00116569525395504,NA
"61",77,34,0.00113238967527061,NA
"62",35,33,0.00109908409658618,NA
"63",38,33,0.00109908409658618,NA
"64",53,31,0.00103247293921732,NA
"65",256,31,0.00103247293921732,NA
"66",99,30,0.000999167360532889,NA
"67",1337,30,0.000999167360532889,NA
"68",142857,29,0.00096586178184846,NA
"69",30,28,0.00093255620316403,NA
"70",46,28,0.00093255620316403,NA
"71",333,28,0.00093255620316403,NA
"72",55,26,0.000865945045795171,NA
"73",63,26,0.000865945045795171,NA
"74",-1,25,0.000832639467110741,NA
"75",87,25,0.000832639467110741,NA
"76",111,25,0.000832639467110741,NA
"77",45,24,0.000799333888426311,NA
"78",54,24,0.000799333888426311,NA
"79",74,23,0.000766028309741882,NA
"80",81,22,0.000732722731057452,NA
"81",1.41,21,0.000699417152373022,NA
"82",83,21,0.000699417152373022,NA
"83",1024,21,0.000699417152373022,NA
"84",Inf,21,0.000699417152373022,"infinity"
"85",108,20,0.000666111573688593,NA
"86",153,20,0.000666111573688593,NA
"87",1111,20,0.000666111573688593,NA
"88",60,19,0.000632805995004163,NA
"89",66,19,0.000632805995004163,NA
"90",144,19,0.000632805995004163,NA
"91",67,18,0.000599500416319734,NA
"92",76,18,0.000599500416319734,NA
"93",222,18,0.000599500416319734,NA
"94",777,18,0.000599500416319734,NA
"95",58,17,0.000566194837635304,NA
"96",97,17,0.000566194837635304,NA
"97",84,16,0.000532889258950874,NA
"98",89,16,0.000532889258950874,NA
"99",147,16,0.000532889258950874,NA
"100",163,16,0.000532889258950874,NA
"101",75,15,0.000499583680266445,NA
"102",444,15,0.000499583680266445,NA
"103",6.28,14,0.000466278101582015,NA
"104",101,14,0.000466278101582015,NA
"105",82,13,0.000432972522897585,NA
"106",123,13,0.000432972522897585,NA
"107",127,13,0.000432972522897585,NA
"108",5318008,13,0.000432972522897585,NA
"109",59,11,0.000366361365528726,NA
"110",68,11,0.000366361365528726,NA
"111",71,11,0.000366361365528726,NA
"112",93,11,0.000366361365528726,NA
"113",120,11,0.000366361365528726,NA
"114",343,11,0.000366361365528726,NA
"115",420,11,0.000366361365528726,NA
"116",1001,11,0.000366361365528726,NA
"117",1234,11,0.000366361365528726,NA
"118",40,10,0.000333055786844296,NA
"119",62,10,0.000333055786844296,NA
"120",86,10,0.000333055786844296,NA
"121",117,10,0.000333055786844296,NA
"122",314,10,0.000333055786844296,NA
"123",711,10,0.000333055786844296,NA
"124",79,9,0.000299750208159867,NA
"125",98,9,0.000299750208159867,NA
"126",100,9,0.000299750208159867,NA
"127",143,9,0.000299750208159867,NA
"128",65,8,0.000266444629475437,NA
"129",78,8,0.000266444629475437,NA
"130",91,8,0.000266444629475437,NA
"131",92,8,0.000266444629475437,NA
"132",168,8,0.000266444629475437,NA
"133",169,8,0.000266444629475437,NA
"134",360,8,0.000266444629475437,NA
"135",96,7,0.000233139050791007,NA
"136",107,7,0.000233139050791007,NA
"137",238,7,0.000233139050791007,NA
"138",257,7,0.000233139050791007,NA
"139",300,7,0.000233139050791007,NA
"140",313,7,0.000233139050791007,NA
"141",6174,7,0.000233139050791007,NA
"142",33333,7,0.000233139050791007,NA
"143",50,6,0.000199833472106578,NA
"144",61,6,0.000199833472106578,NA
"145",94,6,0.000199833472106578,NA
