"","pop1900","pop1960","pop1972"
"1",9466,25190,116807
"2",10814,26204,117477
"3",10830,26380,117550
"4",10830,26925,117564
"5",10992,27511,117597
"6",11251,29832,117639
"7",11627,30478,117669
"8",11677,31468,117759
"9",12629,31680,117942
"10",12662,31937,118186
"11",13320,37641,118259
"12",14114,38958,118351
"13",14130,39954,118369
"14",14130,42703,118377
"15",14269,42740,118383
"16",14293,44151,118401
"17",14318,45172,118434
"18",14566,47329,119142
"19",14986,47414,119262
"20",15178,53835,119310
"21",16645,56834,119381
"22",16656,63436,119410
"23",16656,72612,119436
"24",16892,81167,119560
"25",16938,99355,119654
"26",16938,102726,119816
"27",16938,102726,119889
"28",17007,105965,119928
"29",18604,105965,120211
"30",18846,109430,120460
"31",19604,109430,120519
"32",19654,109430,120879
"33",19992,131971,121191
