"","obs","type"
"1",170,"ApDg"
"2",160,"ApDg"
"3",160,"ApDg"
"4",170,"ApDg"
"5",170,"ApDg"
"6",170,"ApDg"
"7",160,"ApDg"
"8",180,"ApDg"
"9",170,"ApDg"
"10",170,"ApDg"
"11",170,"ApDg"
"12",170,"ApDg"
"13",170,"ApDg"
"14",160,"ApDg"
"15",160,"ApDg"
"16",200,"ApDg"
"17",160,"ApDg"
"18",180,"ApDg"
"19",190,"ApDg"
"20",170,"ApDg"
"21",180,"ApDg"
"22",190,"ApDg"
"23",170,"ApDg"
"24",170,"ApDg"
"25",170,"ApDg"
"26",180,"ApDg"
"27",170,"ApDg"
"28",170,"ApDg"
"29",200,"ApDg"
"30",170,"ApDg"
"31",160,"ApDg"
"32",160,"ApDg"
"33",170,"ApDg"
"34",150,"ApDg"
"35",170,"ApDg"
"36",170,"ApDg"
"37",190,"ApDg"
"38",185,"ApDg"
"39",185,"ApDg"
"40",170,"ApDg"
"41",180,"ApDg"
"42",155,"ApDg"
"43",170,"ApDg"
"44",180,"ApDg"
"45",170,"ApDg"
"46",160,"ApDg"
"47",185,"ApDg"
"48",170,"ApDg"
"49",165,"ApDg"
"50",165,"ApDg"
"51",155,"ApDg"
"52",160,"ApDg"
"53",170,"ApDg"
"54",120,"ApDg"
"55",180,"ApDg"
"56",165,"ApDl"
"57",155,"ApDl"
"58",155,"ApDl"
"59",155,"ApDl"
"60",165,"ApDl"
"61",165,"ApDl"
"62",165,"ApDl"
"63",165,"ApDl"
"64",155,"ApDl"
"65",175,"ApDl"
"66",170,"ApDl"
"67",175,"ApDl"
"68",165,"ApDl"
"69",150,"ApDl"
"70",150,"ApDl"
"71",160,"ApDl"
"72",155,"ApDl"
"73",180,"ApDl"
"74",185,"ApDl"
"75",155,"ApDl"
"76",155,"ApDl"
"77",155,"ApDl"
"78",155,"ApDl"
"79",175,"ApDl"
"80",175,"ApDl"
"81",170,"ApDl"
"82",170,"ApDl"
"83",170,"ApDl"
"84",165,"ApDl"
"85",165,"ApDl"
"86",160,"ApDl"
"87",160,"ApDl"
"88",180,"ApDl"
"89",185,"ApDl"
"90",170,"ApDl"
"91",170,"ApDl"
"92",175,"ApDl"
"93",170,"ApDl"
"94",170,"ApDl"
"95",170,"ApDl"
"96",170,"ApDl"
"97",170,"ApDl"
"98",170,"ApDl"
"99",140,"ApDl"
"100",150,"ApDl"
"101",145,"ApDl"
"102",165,"ApDl"
"103",160,"ApDl"
"104",155,"ApDl"
"105",165,"ApDl"
"106",145,"ApDl"
"107",150,"ApDl"
"108",155,"ApDl"
"109",155,"ApDl"
"110",155,"ApDl"
"111",160,"ApDl"
"112",155,"ApDl"
"113",165,"ApDl"
"114",165,"ApDl"
"115",165,"ApDl"
"116",165,"ApDl"
"117",165,"ApDl"
"118",165,"ApDl"
"119",165,"ApDl"
"120",165,"ApDl"
"121",165,"ApDl"
"122",165,"ApDl"
"123",165,"ApDl"
"124",165,"ApDl"
"125",165,"ApDl"
"126",165,"ApDl"
"127",165,"ApDl"
"128",170,"ApDl"
"129",170,"ApDl"
"130",170,"ApDl"
"131",165,"ApDl"
"132",165,"ApDl"
"133",185,"ApDl"
"134",165,"ApDl"
"135",170,"ApDl"
"136",170,"ApDl"
"137",165,"ApDl"
"138",165,"ApDl"
"139",165,"ApDl"
"140",160,"ApDl"
"141",165,"ApDl"
"142",165,"ApDl"
"143",145,"ApDl"
"144",160,"ApDl"
"145",165,"ApDl"
"146",180,"ApDl"
"147",165,"ApDl"
"148",150,"ApDl"
"149",160,"ApDl"
"150",160,"ApDl"
"151",170,"ApDl"
"152",155,"ApDl"
"153",165,"ApDl"
"154",165,"ApDl"
"155",165,"ApDl"
"156",165,"ApDl"
"157",165,"ApDl"
"158",165,"ApDl"
"159",165,"ApDl"
"160",165,"ApDl"
"161",160,"ApDl"
"162",170,"ApDl"
"163",165,"ApDl"
"164",170,"ApDl"
"165",135,"ApDl"
"166",165,"ApDl"
"167",165,"ApDl"
"168",165,"ApDl"
"169",165,"ApDl"
"170",165,"ApDl"
"171",165,"ApDl"
"172",165,"ApDl"
"173",150,"ApDl"
"174",150,"ApDl"
"175",155,"ApDl"
"176",155,"ApDl"
"177",155,"ApDl"
"178",150,"ApDl"
"179",170,"ApDl"
"180",170,"ApDl"
"181",150,"ApDl"
"182",155,"ApDl"
"183",150,"ApDl"
"184",150,"ApDl"
"185",160,"ApDl"
"186",160,"ApDl"
"187",160,"ApDl"
"188",160,"ApDl"
"189",165,"ApDl"
"190",165,"ApDl"
"191",165,"ApDl"
"192",165,"ApDl"
"193",165,"ApDl"
"194",165,"ApDl"
"195",165,"ApDl"
"196",140,"ApDl"
"197",175,"ApDl"
"198",160,"ApDl"
"199",170,"ApDl"
"200",165,"ApDl"
"201",160,"ApDl"
"202",160,"ApDl"
"203",170,"ApDl"
"204",165,"ApDl"
"205",160,"ApDl"
"206",165,"ApDl"
"207",165,"ApDl"
"208",155,"ApDl"
"209",165,"ApDl"
"210",165,"ApDl"
"211",160,"ApDl"
"212",165,"ApDl"
"213",165,"ApDl"
"214",165,"ApDl"
"215",165,"ApDl"
"216",170,"ApDl"
"217",170,"ApDl"
"218",165,"ApDl"
"219",165,"ApDl"
"220",165,"ApDl"
"221",170,"ApDl"
"222",160,"ApDl"
"223",160,"ApDl"
"224",150,"ApDl"
"225",155,"ApDl"
"226",155,"ApDl"
"227",125,"ApP"
"228",130,"ApP"
"229",125,"ApP"
"230",125,"ApP"
"231",130,"ApP"
"232",130,"ApP"
"233",130,"ApP"
"234",115,"ApP"
"235",135,"ApP"
"236",125,"ApP"
"237",135,"ApP"
"238",120,"ApP"
"239",130,"ApP"
"240",130,"ApP"
"241",125,"ApP"
"242",130,"ApP"
"243",130,"ApP"
"244",140,"ApP"
"245",135,"ApP"
"246",130,"ApP"
"247",130,"ApP"
"248",130,"ApP"
"249",130,"ApP"
"250",115,"ApP"
"251",125,"ApP"
"252",120,"ApP"
"253",130,"ApP"
"254",125,"ApP"
"255",135,"ApP"
"256",130,"ApP"
"257",125,"ApP"
"258",140,"ApP"
"259",135,"ApP"
"260",140,"ApP"
"261",140,"ApP"
"262",130,"ApP"
"263",130,"ApP"
"264",130,"ApP"
"265",130,"ApP"
"266",125,"ApP"
"267",135,"ApP"
"268",135,"ApP"
"269",135,"ApP"
"270",130,"ApP"
"271",135,"ApP"
"272",135,"ApP"
