"","stretchratio","tuned"
"1",1.35,1.461
"2",1.4,1.407
"3",1.45,1.452
"4",1.5,1.3
"5",1.55,1.351
"6",1.9,1.9
"7",1.91,1.913
"8",1.93,1.927
"9",1.95,1.947
"10",1.97,1.969
"11",1.99,1.99
"12",2,1.999
"13",2.01,2.009
"14",2.03,2.038
"15",2.03,2.046
"16",2.07,2.067
"17",2.1,2.108
"18",2.2,2.199
"19",2.3,2.301
"20",2.35,2.358
"21",2.4,2.4
"22",2.45,2.453
"23",2.5,2.502
"24",2.6,2.399
"25",2.7,2.696
"26",2.75,2.751
"27",2.8,2.8
"28",2.85,2.851
"29",2.9,2.9
"30",3,3
"31",1.35,2.021
"32",1.4,2.013
"33",1.45,2.028
"34",1.5,2.008
"35",1.55,2.027
"36",1.9,1.928
"37",1.91,1.939
"38",1.93,1.977
"39",1.95,1.9
"40",1.97,1.976
"41",1.99,2.008
"42",2,1.906
"43",2.01,2.005
"44",2.03,2.018
"45",2.05,2.041
"46",2.07,2.057
"47",2.1,2.095
"48",2.2,2.066
"49",2.3,2.014
"50",2.35,2.019
"51",2.4,2
"52",2.45,2.033
"53",2.5,2.506
"54",2.6,2.042
"55",2.7,2.701
"56",2.75,2.414
"57",2.8,2.704
"58",2.85,2.035
"59",2.9,2.07
"60",3,3.494
"61",1.35,1.846
"62",1.4,1.97
"63",1.45,1.971
"64",1.5,1.97
"65",1.55,2.046
"66",1.9,1.904
"67",1.91,1.915
"68",1.93,1.925
"69",1.95,1.749
"70",1.97,1.972
"71",1.99,1.996
"72",2,2.003
"73",2.01,2.007
"74",2.03,2.027
"75",2.05,2.053
"76",2.07,2.047
"77",2.1,2.094
"78",2.2,2.171
"79",2.3,2.29
"80",2.35,1.906
"81",2.4,2.001
"82",2.45,2.008
"83",2.5,1.993
"84",2.6,2.009
"85",2.7,2.363
"86",2.75,2.105
"87",2.8,1.979
"88",2.85,1.937
"89",2.9,2.068
"90",3,2.03
"91",1.35,2.018
"92",1.4,2.036
"93",1.45,2.025
"94",1.5,1.994
"95",1.55,2.01
"96",1.9,1.901
"97",1.91,1.911
"98",1.93,1.923
"99",1.95,1.95
"100",1.97,1.978
"101",1.99,1.97
"102",2,2.001
"103",2.01,2.01
"104",2.03,2.031
"105",2.05,2.035
"106",2.07,2.071
"107",2.1,2.108
"108",2.2,2.011
"109",2.3,2.026
"110",2.35,2.023
"111",2.4,1.974
"112",2.45,2
"113",2.5,2.01
"114",2.6,2.015
"115",2.7,2.054
"116",2.75,2.061
"117",2.8,2.015
"118",2.85,2.036
"119",2.9,2.028
"120",3,2.014
"121",1.35,1.997
"122",1.4,1.905
"123",1.45,1.997
"124",1.5,1.964
"125",1.55,2.008
"126",1.9,1.941
"127",1.91,1.96
"128",1.93,1.968
"129",1.95,1.976
"130",1.97,1.903
"131",1.99,1.997
"132",2,2.007
"133",2.01,2.006
"134",2.03,2.037
"135",2.05,2.091
"136",2.07,2.073
"137",2.1,2.096
"138",2.2,1.904
"139",2.3,2.007
"140",2.35,2.025
"141",2.4,2.037
"142",2.45,2.038
"143",2.5,2.047
"144",2.6,2.023
"145",2.7,2.076
"146",2.75,2.066
"147",2.8,2.426
"148",2.85,2.117
"149",2.9,2.097
"150",3,2.91
