"","ti","ob"
"1",48.23656,1
"2",0.2392473,1
"3",0.05136329,1
"4",2.824802,1
"5",0.9277778,1
"6",9.919176,1
"7",2.730824,1
"8",4.208333,1
"9",6.665681,1
"10",0.8898746,1
"11",28.78754,1
"12",2.723118,1
"13",4.217742,1
"14",19.59946,1
"15",4.459677,1
"16",15.51344,1
"17",9.118459,1
"18",43.96756,1
"19",3.408602,1
"20",10.48118,1
"21",0.4193548,1
"22",0.9811828,1
"23",1.83871,1
"24",2.379992,1
"25",4.70119,1
"26",0.7709677,1
"27",12.42742,1
"28",4.532258,1
"29",2.571141,1
"30",1.496064,1
"31",2.325269,1
"32",2.521326,1
"33",0.4786738,1
"34",4.05914,1
"35",0.6955197,1
"36",0.5805556,1
"37",0.5666667,1
"38",6.116935,1
"39",2.73862,1
"40",24.46568,1
"41",8.284319,1
"42",3.35009,1
"43",2.755376,1
"44",15.13065,1
"45",0.4470238,1
"46",4.185772,1
"47",18.65054,0
