"","aadt","ctypop","lanes","width","control","class","truck","locale"
"1",1616,13404,2,52,2,2,5,1
"2",1329,52314,2,60,2,2,5,1
"3",3933,30982,2,57,2,4,5,2
"4",3786,25207,2,64,2,4,5,2
"5",465,20594,2,40,2,2,5,1
"6",794,11507,2,44,2,2,5,1
"7",618,9379,2,43,2,2,5,1
"8",1150,24991,2,42,2,2,5,1
"9",1538,30982,2,59,2,2,5,1
"10",1769,24991,2,41,2,2,5,1
"11",1304,9379,2,30,2,2,5,1
"12",4331,25187,4,52,2,4,5,2
"13",13100,108161,2,48,2,4,5,2
"14",2538,25717,2,24,2,2,5,1
"15",420,14098,2,24,2,2,5,1
"16",429,19871,2,22,2,2,5,1
"17",399,34844,2,22,2,2,5,1
"18",201,14773,2,22,2,2,5,1
"19",587,41722,2,22,2,2,5,1
"20",384,14854,2,24,2,2,5,1
"21",20816,36329,4,24,1,1,1,1
"22",28998,222229,4,24,1,3,1,3
"23",34317,222229,4,26,1,3,1,3
"24",23887,222229,4,24,1,3,1,3
"25",18180,222229,4,24,2,4,2,3
"26",6410,222229,4,24,2,2,2,1
"27",3769,43069,2,24,2,2,2,1
"28",10193,49327,4,24,2,2,1,1
"29",12808,108161,4,24,1,1,1,1
"30",1276,25207,2,20,2,2,4,1
"31",11755,25187,4,24,2,2,2,1
"32",16567,92006,4,24,2,2,2,1
"33",19642,25717,4,24,1,1,1,1
"34",11824,46256,4,24,1,1,1,1
"35",2934,12361,4,24,2,2,2,1
"36",1853,20401,2,24,2,2,1,1
"37",1227,11690,2,24,2,2,2,1
"38",21582,58681,4,24,1,1,1,1
"39",5818,18430,2,20,2,2,5,1
"40",1179,34844,2,24,2,2,2,1
"41",15734,30328,4,24,1,1,1,1
"42",680,34844,2,22,2,2,5,1
"43",877,30982,2,24,2,2,5,1
"44",2795,222229,2,24,2,2,4,1
"45",10647,92006,4,24,2,2,1,1
"46",4933,13043,4,24,2,2,1,1
"47",1193,21050,2,24,2,2,5,1
"48",712,7716,2,24,2,2,2,1
"49",647,12920,2,24,2,2,5,1
"50",2421,43069,2,24,2,2,2,1
"51",1669,14098,2,24,2,2,5,1
"52",1811,14098,2,24,2,2,2,1
"53",1505,13404,2,24,2,2,4,1
"54",2417,21050,2,24,2,2,2,1
"55",1794,20594,2,22,2,2,2,1
"56",429,52314,2,24,2,2,5,1
"57",5697,36329,4,24,1,1,1,1
"58",123665,459784,8,48,1,3,1,3
"59",105844,941411,6,36,1,3,1,3
"60",90807,459784,6,36,1,3,1,3
"61",39799,194279,4,24,1,3,1,2
"62",123445,941411,6,36,1,3,1,3
"63",78343,941411,5,36,1,4,5,3
"64",155547,941411,6,36,1,3,1,3
"65",139309,941411,6,36,1,3,1,2
"66",90594,941411,4,24,1,3,1,2
"67",87003,941411,4,50,1,3,1,3
"68",61617,459784,4,38,1,3,1,3
"69",85393,941411,4,24,1,3,1,3
"70",22165,195998,4,24,1,3,1,2
"71",36977,194279,6,39,1,3,1,2
"72",54941,941411,4,24,1,3,1,2
"73",33272,113571,4,24,1,3,1,2
"74",4348,194279,2,24,2,2,4,1
"75",9025,941411,2,24,2,2,2,1
"76",18574,195998,4,24,2,4,2,2
"77",12665,43784,4,24,2,2,2,1
"78",40642,113571,6,36,1,1,1,1
"79",19341,194279,4,64,2,4,3,2
"80",40602,941411,4,26,2,4,1,2
"81",16550,459784,4,24,2,4,5,2
"82",20240,941411,4,48,2,4,2,2
"83",28793,195998,4,38,2,4,4,2
"84",25114,195998,4,24,2,4,2,2
"85",19007,941411,4,24,2,4,5,2
"86",23557,194279,4,24,2,4,4,2
"87",4860,37046,2,24,2,2,2,1
"88",13823,194279,4,24,2,2,2,1
"89",8972,113571,2,24,2,2,5,1
"90",4307,113571,2,24,2,2,5,1
"91",38857,113571,4,24,2,4,1,1
"92",12230,25717,2,24,2,2,4,1
"93",756,941411,2,24,2,2,5,1
"94",2769,459784,2,44,2,4,5,2
"95",21961,941411,4,28,2,4,5,2
"96",9843,941411,4,44,2,4,5,3
"97",15334,941411,2,24,2,4,5,2
"98",14975,459784,2,24,2,4,5,2
"99",1462,194279,2,24,2,2,5,1
"100",1951,43784,2,22,2,2,5,1
"101",25426,459784,4,19,2,4,5,2
"102",44585,941411,4,28,2,4,5,2
"103",24413,194279,4,26,2,4,5,2
"104",7494,195998,2,25,2,4,5,2
"105",17388,194279,4,48,2,4,5,2
"106",812,194279,2,22,2,2,5,1
"107",3797,43784,2,49,2,4,5,2
"108",4312,113571,2,24,2,2,5,1
"109",1440,113571,2,24,2,2,5,2
"110",12865,459784,2,50,2,4,5,2
"111",5626,459784,2,36,2,4,5,3
"112",3644,459784,2,30,2,4,5,3
"113",8666,195998,4,44,2,4,5,2
"114",3317,37046,2,24,2,4,5,2
"115",4796,194279,2,34,2,4,5,2
"116",5576,194279,2,40,2,4,5,2
"117",13723,941411,2,44,2,4,5,2
"118",21535,941411,4,60,2,4,5,3
"119",14905,459784,4,68,2,4,5,2
"120",15408,459784,2,40,2,4,5,3
"121",1266,43784,2,44,2,4,5,2
