"","ph","act"
"1",5.029762,0.001875
"2",5.327381,0.00375
"3",5.863095,0.0046875
"4",6.190476,0.0075
"5",6.755952,0.015
"6",7.172619,0.0178125
"7",5.863095,0.0065625
"8",6.130952,0.0065625
"9",6.696429,0.0103125
"10",7.053571,0.0140625
"11",7.559524,0.028125
"12",7.797619,0.039375
"13",8.095238,0.0628125
"14",8.363095,0.0928125
"15",8.571429,0.1059375
"16",8.720238,0.1078125
"17",8.779762,0.103125
"18",8.928571,0.0703125
"19",9.047619,0.0590625
"20",9.047619,0.0534375
"21",9.077381,0.0534375
"22",8.422619,0.0928125
"23",8.571429,0.103125
"24",8.779762,0.1021875
"25",8.779762,0.0909375
"26",9.285714,0.039375
"27",9.583333,0.0159375
"28",10,0.013125
"29",10.20833,0.0140625
