"","interval"
"1",0.0885
"2",0.08985
"3",0.0933
"4",0.1065
"5",0.13005
"6",0.13245
"7",0.13665
"8",0.1437
"9",0.14385
"10",0.1461
"11",0.147
"12",0.1497
"13",0.1527
"14",0.1533
"15",0.1611
"16",0.16395
"17",0.1683
"18",0.16965
"19",0.17175
"20",0.1722
"21",0.1752
"22",0.1767
"23",0.18165
"24",0.18225
"25",0.18225
"26",0.1842
"27",0.18705
"28",0.18915
"29",0.19305
"30",0.19335
"31",0.1944
"32",0.19755
"33",0.20625
"34",0.2073
"35",0.2115
"36",0.21525
"37",0.2154
"38",0.2157
"39",0.2163
"40",0.21825
"41",0.2196
"42",0.22725
"43",0.22725
"44",0.2289
"45",0.2298
"46",0.2316
"47",0.2373
"48",0.2382
"49",0.2409
"50",0.2412
"51",0.24675
"52",0.24795
"53",0.2496
"54",0.2541
"55",0.25965
"56",0.26415
"57",0.2649
"58",0.26565
"59",0.2679
"60",0.27255
"61",0.27465
"62",0.2754
"63",0.27675
"64",0.2793
"65",0.2868
"66",0.2877
"67",0.28935
"68",0.29295
"69",0.2946
"70",0.29565
"71",0.29565
"72",0.29715
"73",0.30195
"74",0.30375
"75",0.3042
"76",0.3069
"77",0.31155
"78",0.31335
"79",0.31425
"80",0.31455
"81",0.3159
"82",0.31605
"83",0.3171
"84",0.3216
"85",0.3231
"86",0.32415
"87",0.32565
"88",0.32595
"89",0.32775
"90",0.32865
"91",0.33495
"92",0.34155
"93",0.3462
"94",0.35715
"95",0.35775
"96",0.3579
"97",0.35835
"98",0.366
"99",0.37395
"100",0.3768
"101",0.37905
"102",0.3801
"103",0.3807
"104",0.38175
"105",0.38265
"106",0.3879
"107",0.3921
"108",0.3978
"109",0.4044
"110",0.4044
"111",0.40875
"112",0.41145
"113",0.41715
"114",0.4215
"115",0.4263
"116",0.42765
"117",0.42945
"118",0.4416
"119",0.4461
"120",0.4479
"121",0.4494
"122",0.4506
"123",0.45075
"124",0.4557
"125",0.45615
"126",0.45885
"127",0.46575
"128",0.46785
"129",0.46845
"130",0.47415
"131",0.4773
"132",0.47865
"133",0.48285
"134",0.48705
"135",0.4884
"136",0.4956
"137",0.49845
"138",0.49965
"139",0.5031
"140",0.50625
"141",0.50865
"142",0.5145
"143",0.51735
"144",0.5193
"145",0.5208
"146",0.52395
"147",0.525
"148",0.52575
"149",0.52635
"150",0.5376
"151",0.5388
"152",0.54105
"153",0.5631
"154",0.57405
"155",0.5754
"156",0.58035
"157",0.58875
"158",0.6039
"159",0.6186
"160",0.62025
"161",0.62235
"162",0.6267
"163",0.62985
"164",0.63675
"165",0.63675
"166",0.64095
"167",0.6474
"168",0.65085
"169",0.65325
"170",0.65685
"171",0.6669
"172",0.67515
"173",0.6765
"174",0.68175
"175",0.7029
"176",0.7053
"177",0.70785
"178",0.72075
"179",0.72255
"180",0.7269
"181",0.7308
"182",0.7392
"183",0.7467
"184",0.74805
"185",0.7533
"186",0.7548
"187",0.76395
"188",0.7647
"189",0.777
"190",0.7818
"191",0.78345
"192",0.7887
"193",0.79125
"194",0.79725
"195",0.80115
"196",0.8043
"197",0.8058
"198",0.8553
"199",0.85875
"200",0.8853
"201",0.8859
"202",0.8994
"203",0.9312
"204",0.94425
"205",0.94995
"206",0.95385
"207",0.95445
"208",0.99225
"209",1.0029
"210",1.00515
"211",1.0149
"212",1.0554
"213",1.05555
"214",1.06905
"215",1.0797
"216",1.08015
"217",1.08525
"218",1.10445
"219",1.10805
"220",1.1124
"221",1.11345
"222",1.1136
"223",1.1154
"224",1.11555
"225",1.1409
"226",1.1493
"227",1.14975
"228",1.1661
"229",1.17435
"230",1.17645
"231",1.1886
"232",1.1898
"233",1.1973
"234",1.2174
"235",1.22235
"236",1.23645
"237",1.2387
"238",1.24545
"239",1.24845
"240",1.28415
"241",1.30635
"242",1.314
"243",1.31655
"244",1.33965
"245",1.3554
"246",1.37025
"247",1.38105
"248",1.40355
"249",1.41975
"250",1.42455
"251",1.43175
"252",1.4541
"253",1.45605
"254",1.4781
"255",1.5063
"256",1.51395
"257",1.52415
"258",1.53105
"259",1.53465
"260",1.54185
"261",1.54815
"262",1.57065
"263",1.5834
"264",1.593
"265",1.59585
"266",1.61895
"267",1.6236
"268",1.6287
"269",1.63245
"270",1.6758
"271",1.69245
"272",1.70535
"273",1.72065
"274",1.75005
"275",1.7622
"276",1.7775
"277",1.8162
"278",1.8504
"279",1.85805
"280",1.8669
"281",1.8738
"282",1.9701
"283",1.99635
"284",2.0202
"285",2.0469
"286",2.06295
"287",2.0919
"288",2.1315
"289",2.16015
"290",2.23965
"291",2.26635
"292",2.2734
"293",2.29815
"294",2.3373
"295",2.3613
"296",2.3877
"297",2.3952
"298",2.42355
"299",2.5173
"300",2.6124
"301",2.63295
"302",2.667
"303",2.6778
"304",2.6841
"305",2.7285
"306",2.9301
"307",3.01125
"308",3.26625
"309",3.3411
"310",3.63315
"311",4.25145
"312",5.0904
