"","type","org"
"1","Ivermect",3.03
"2","Ivermect",2.81
"3","Ivermect",3.06
"4","Ivermect",3.11
"5","Ivermect",2.94
"6","Ivermect",3.06
"7","Alfacyp",3
"8","Alfacyp",3.02
"9","Alfacyp",2.87
"10","Alfacyp",2.96
"11","Alfacyp",2.77
"12","Alfacyp",2.75
"13","Enroflox",2.74
"14","Enroflox",2.88
"15","Enroflox",2.42
"16","Enroflox",2.73
"17","Enroflox",2.83
"18","Enroflox",2.66
"19","Spiramyc",2.8
"20","Spiramyc",2.85
"21","Spiramyc",2.84
"22","Spiramyc",2.93
"23","Fenbenda",2.74
"24","Fenbenda",2.88
"25","Fenbenda",2.85
"26","Fenbenda",3.02
"27","Fenbenda",2.85
"28","Fenbenda",2.66
"29","Control",2.43
"30","Control",2.63
"31","Control",2.56
"32","Control",2.76
"33","Control",2.7
"34","Control",2.54
