"","konz","root"
"1",0,1.62
"2",0,1.82
"3",0,1.33
"4",0,1.58
"5",0,1.21
"6",0,1.05
"7",0,1.37
"8",0,1.55
"9",0.1,0.97
"10",0.1,0.91
"11",0.1,1.12
"12",0.1,0.82
"13",0.1,1.24
"14",0.1,0.94
"15",0.2,0.94
"16",0.2,1.48
"17",0.2,1.1
"18",0.2,1.59
"19",0.2,1.48
"20",0.2,1.43
"21",0.4,1.92
"22",0.4,1.91
"23",0.4,1.98
"24",0.4,1.91
"25",0.4,2
"26",0.4,1.92
"27",0.6,2.45
"28",0.6,1.45
"29",0.6,1.35
"30",0.6,2.32
"31",0.6,1.91
"32",0.6,1.64
"33",0.8,1.81
"34",0.8,1.55
"35",0.8,1.33
"36",0.8,1.59
"37",0.8,1.52
"38",0.8,2.03
"39",1,1.7
"40",1,1.01
"41",1,1.32
"42",1,1.31
"43",1,1.85
"44",1,1
"45",1.5,0.21
"46",1.5,0.35
"47",1.5,0.15
"48",1.5,0.15
"49",1.5,0.1
"50",1.5,0.13
"51",2,0.04
"52",2,0.15
"53",2,0.14
"54",2,0.01
"55",2,0
"56",2,0
"57",3,0.06
"58",3,0
"59",3,0
"60",3,0
"61",3,0
"62",3,0
"63",4,0
"64",4,0
"65",4,0
"66",4,0
"67",4,0
"68",4,0
