"","Iconc","Sconc","RR"
"1",0,10,0.542
"2",0,10,0.763
"3",0,25,1.178
"4",0,25,1.085
"5",0,75,2.265
"6",0,75,1.989
"7",0,150,2.414
"8",0,150,2.423
"9",0,300,2.698
"10",0,300,2.6
"11",0,600,2.649
"12",0,600,2.909
"13",50,10,0.334
"14",50,10,0.296
"15",50,25,0.685
"16",50,25,0.637
"17",50,75,1.367
"18",50,75,1.364
"19",50,150,2.118
"20",50,150,1.989
"21",50,300,2.335
"22",50,300,2.216
"23",50,600,2.48
"24",50,600,2.632
"25",100,10,0.222
"26",100,10,0.221
"27",100,25,0.486
"28",100,25,0.462
"29",100,75,1.085
"30",100,75,1.119
"31",100,150,1.594
"32",100,150,1.562
"33",100,300,1.966
"34",100,300,1.944
"35",100,600,2.295
"36",100,600,2.413
