"","pig","sarc.length","tenderness"
"1","1",1.621,8.44
"2","2",1.529,7.11
"3","3",1.5,6
"4","4",1.549,7.56
"5","5",1.458,7.22
"6","6",1.454,5.11
"7","7",1.405,3.11
"8","8",1.506,8.67
"9","9",1.58,7.44
"10","10",1.635,4.33
"11","11",1.648,6.78
"12","12",1.574,5.56
"13","13",1.619,7.33
"14","14",1.57,4.22
"15","15",1.58,5.78
"16","16",1.599,6.11
"17","17",1.568,7.44
"18","18",1.555,3.89
"19","19",1.66,7.67
"20","20",1.673,8
"21","21",1.69,8.78
"22","22",1.545,5.78
"23","23",1.676,6.44
"24","24",1.511,8
