"","day","men","women","hours","minutes","seconds"
"1","Monday",5,0,2,12,10
"2","Monday",4,1,2,13,39
"3","Monday",3,2,2,17,33
"4","Monday",2,3,2,21,57
"5","Monday",1,4,2,26,33
"6","Monday",0,5,2,30,35
"7","Tuesday",5,0,2,10,38
"8","Tuesday",4,1,2,13,41
"9","Tuesday",3,2,2,18,33
"10","Tuesday",2,3,2,22,32
"11","Tuesday",1,4,2,27,37
"12","Tuesday",0,5,2,31,1
"13","Wednesday",5,0,2,7,10
"14","Wednesday",4,1,2,10,58
"15","Wednesday",3,2,2,14,53
"16","Wednesday",2,3,2,16,0
"17","Wednesday",1,4,2,26,30
"18","Wednesday",0,5,2,26,25
"19","Thursday",5,0,2,6,20
"20","Thursday",4,1,2,9,26
"21","Thursday",3,2,2,14,29
"22","Thursday",2,3,2,19,9
"23","Thursday",1,4,2,23,40
"24","Thursday",0,5,2,24,32
