"","Gain","Protein","Amount"
"1",90,"Beef","Low"
"2",76,"Beef","Low"
"3",90,"Beef","Low"
"4",64,"Beef","Low"
"5",86,"Beef","Low"
"6",51,"Beef","Low"
"7",72,"Beef","Low"
"8",90,"Beef","Low"
"9",95,"Beef","Low"
"10",78,"Beef","Low"
"11",73,"Beef","High"
"12",102,"Beef","High"
"13",118,"Beef","High"
"14",104,"Beef","High"
"15",81,"Beef","High"
"16",107,"Beef","High"
"17",100,"Beef","High"
"18",87,"Beef","High"
"19",117,"Beef","High"
"20",111,"Beef","High"
"21",107,"Cereal","Low"
"22",95,"Cereal","Low"
"23",97,"Cereal","Low"
"24",80,"Cereal","Low"
"25",98,"Cereal","Low"
"26",74,"Cereal","Low"
"27",74,"Cereal","Low"
"28",67,"Cereal","Low"
"29",89,"Cereal","Low"
"30",58,"Cereal","Low"
"31",98,"Cereal","High"
"32",74,"Cereal","High"
"33",56,"Cereal","High"
"34",111,"Cereal","High"
"35",95,"Cereal","High"
"36",88,"Cereal","High"
"37",82,"Cereal","High"
"38",77,"Cereal","High"
"39",86,"Cereal","High"
"40",92,"Cereal","High"
