"","time","group"
"1",23,"Light"
"2",12,"Light"
"3",29,"Light"
"4",12,"Light"
"5",5,"Light"
"6",47,"Light"
"7",18,"Light"
"8",30,"Light"
"9",8,"Light"
"10",45,"Light"
"11",36,"Light"
"12",27,"Light"
"13",29,"Light"
"14",33,"Light"
"15",24,"Light"
"16",17,"Light"
"17",11,"Light"
"18",25,"Light"
"19",6,"Light"
"20",34,"Light"
"21",170,"Moisture"
"22",182,"Moisture"
"23",286,"Moisture"
"24",103,"Moisture"
"25",330,"Moisture"
"26",55,"Moisture"
"27",49,"Moisture"
"28",31,"Moisture"
"29",132,"Moisture"
"30",150,"Moisture"
"31",165,"Moisture"
"32",206,"Moisture"
"33",200,"Moisture"
"34",270,"Moisture"
"35",298,"Moisture"
"36",100,"Moisture"
"37",162,"Moisture"
"38",126,"Moisture"
"39",229,"Moisture"
"40",140,"Moisture"
"41",229,"Control"
"42",126,"Control"
"43",140,"Control"
"44",260,"Control"
"45",330,"Control"
"46",310,"Control"
"47",45,"Control"
"48",248,"Control"
"49",280,"Control"
"50",140,"Control"
"51",160,"Control"
"52",192,"Control"
"53",159,"Control"
"54",62,"Control"
"55",180,"Control"
"56",32,"Control"
"57",54,"Control"
"58",149,"Control"
"59",201,"Control"
"60",173,"Control"
