"","type","sorption"
"1","estere",0.29
"2","estere",0.06
"3","estere",0.44
"4","estere",0.61
"5","estere",0.55
"6","estere",0.43
"7","estere",0.51
"8","estere",0.1
"9","estere",0.34
"10","estere",0.53
"11","estere",0.06
"12","estere",0.09
"13","estere",0.17
"14","estere",0.6
"15","estere",0.17
"16","aromatic",1.06
"17","aromatic",0.79
"18","aromatic",0.82
"19","aromatic",0.89
"20","aromatic",1.05
"21","aromatic",0.95
"22","aromatic",0.65
"23","aromatic",1.15
"24","aromatic",1.12
"25","chlor",1.28
"26","chlor",1.35
"27","chlor",0.57
"28","chlor",1.16
"29","chlor",1.12
"30","chlor",0.91
"31","chlor",0.83
"32","chlor",0.43
