"","site","year","TEQ"
"1","a",1990,179.05
"2","a",1991,82.39
"3","a",1992,130.18
"4","a",1993,97.06
"5","a",1994,49.34
"6","a",1995,57.05
"7","a",1996,57.41
"8","a",1997,29.94
"9","a",1998,48.48
"10","a",1999,49.67
"11","a",2000,34.25
"12","a",2001,59.28
"13","a",2002,34.92
"14","a",2003,28.16
"15","b",1990,93.07
"16","b",1991,105.23
"17","b",1992,188.13
"18","b",1993,133.81
"19","b",1994,69.17
"20","b",1995,150.52
"21","b",1996,95.47
"22","b",1997,146.8
"23","b",1998,85.83
"24","b",1999,67.72
"25","b",2000,42.44
"26","b",2001,53.88
"27","b",2002,81.11
"28","b",2003,70.88
