"","Location","Width","Length"
"1","Dangar",6,9
"2","Dangar",6.5,8
"3","Dangar",6.5,9
"4","Dangar",7,9
"5","Dangar",7,10
"6","Dangar",7,11
"7","Dangar",8,9.5
"8","Dangar",8,10
"9","Dangar",8,10
"10","Dangar",8,11
"11","Dangar",9,11
"12","Dangar",10,13
"13","Dangar",11,13
"14","Dangar",11,14
"15","Dangar",11,14
"16","Dangar",12,13
"17","Dangar",13,14
"18","Dangar",14,16
"19","Dangar",15,16
"20","Dangar",15,16
"21","Dangar",15,19
"22","Dangar",16,16
"23","Salamander",12,14
"24","Salamander",13,17
"25","Salamander",14,16.5
"26","Salamander",14,19
"27","Salamander",15,16
"28","Salamander",15,17
"29","Salamander",15,18
"30","Salamander",15,18
"31","Salamander",15,19
"32","Salamander",15,21
"33","Salamander",16,18
"34","Salamander",16,19
"35","Salamander",16,20
"36","Salamander",16,20
"37","Salamander",16,21
"38","Salamander",16.5,19
"39","Salamander",17,20
"40","Salamander",18,19
"41","Salamander",18,19
"42","Salamander",18,20
"43","Salamander",19,20
"44","Salamander",19,22
"45","Salamander",20,22
"46","Salamander",21,21
