"","replicate","dose","status"
"1","1",0,0
"2","1",0,0
"3","1",0,0
"4","1",0,0
"5","1",0,0
"6","1",0,0
"7","1",0,0
"8","1",0,0
"9","1",0,0
"10","1",0,0
"11","1",0,0
"12","1",0,0
"13","1",0,0
"14","1",0,0
"15","1",0,0
"16","1",0,0
"17","1",0,0
"18","1",0,0
"19","1",1.1,0
"20","1",1.1,0
"21","1",1.1,0
"22","1",1.1,0
"23","1",1.1,0
"24","1",1.1,0
"25","1",1.1,0
"26","1",1.1,0
"27","1",1.1,0
"28","1",1.1,0
"29","1",1.1,0
"30","1",1.1,0
"31","1",1.1,0
"32","1",1.1,1
"33","1",1.1,1
"34","1",1.1,1
"35","1",1.1,1
"36","1",1.1,1
"37","1",1.1,1
"38","1",1.1,1
"39","1",1.1,1
"40","1",1.1,1
"41","1",1.1,1
"42","1",1.1,1
"43","1",2.2,0
"44","1",2.2,1
"45","1",2.2,1
"46","1",2.2,1
"47","1",2.2,1
"48","1",2.2,1
"49","1",2.2,1
"50","1",2.2,1
"51","1",2.2,1
"52","1",2.2,1
"53","1",2.2,1
"54","1",2.2,1
"55","1",2.2,1
"56","1",2.2,1
"57","1",2.2,1
"58","1",2.2,1
"59","1",2.2,1
"60","1",2.2,1
"61","1",2.2,1
"62","1",2.2,1
"63","1",2.2,1
"64","1",2.2,1
"65","1",2.2,1
"66","1",2.2,1
"67","1",2.2,1
"68","1",2.2,1
"69","1",2.2,1
"70","1",2.2,1
"71","1",2.2,1
"72","1",4.5,1
"73","1",4.5,1
"74","1",4.5,1
"75","1",4.5,1
"76","1",4.5,1
"77","1",4.5,1
"78","1",4.5,1
"79","1",4.5,1
"80","1",4.5,1
"81","1",4.5,1
"82","1",4.5,1
"83","1",4.5,1
"84","1",4.5,1
"85","1",4.5,1
"86","1",4.5,1
"87","1",4.5,1
"88","1",4.5,1
"89","1",4.5,1
"90","1",4.5,1
"91","1",4.5,1
"92","1",4.5,1
"93","1",4.5,1
"94","1",4.5,1
"95","1",4.5,1
"96","2",0,0
"97","2",0,0
"98","2",0,0
"99","2",0,0
"100","2",0,0
"101","2",0,0
"102","2",0,0
"103","2",0,0
"104","2",0,0
"105","2",0,0
"106","2",0,0
"107","2",0,0
"108","2",0,0
"109","2",0,0
"110","2",0,0
"111","2",0,0
"112","2",0,0
"113","2",0,0
"114","2",0,0
"115","2",0,0
"116","2",0,0
"117","2",0,0
"118","2",0,0
"119","2",0,0
"120","2",0,0
"121","2",0,0
"122","2",0,0
"123","2",0,0
"124","2",0,0
"125","2",1.1,0
"126","2",1.1,0
"127","2",1.1,0
"128","2",1.1,0
"129","2",1.1,0
"130","2",1.1,0
"131","2",1.1,0
"132","2",1.1,0
"133","2",1.1,0
"134","2",1.1,0
"135","2",1.1,1
"136","2",1.1,1
"137","2",1.1,1
"138","2",1.1,1
"139","2",1.1,1
"140","2",1.1,1
"141","2",1.1,1
"142","2",1.1,1
"143","2",1.1,1
"144","2",1.1,1
"145","2",1.1,1
"146","2",2.2,0
"147","2",2.2,0
"148","2",2.2,0
"149","2",2.2,0
"150","2",2.2,0
"151","2",2.2,0
"152","2",2.2,1
"153","2",2.2,1
"154","2",2.2,1
"155","2",2.2,1
"156","2",2.2,1
"157","2",2.2,1
"158","2",2.2,1
"159","2",2.2,1
"160","2",2.2,1
"161","2",2.2,1
"162","2",2.2,1
"163","2",2.2,1
"164","2",2.2,1
"165","2",2.2,1
"166","2",2.2,1
"167","2",2.2,1
"168","2",2.2,1
"169","2",2.2,1
"170","2",4.5,1
"171","2",4.5,1
"172","2",4.5,1
"173","2",4.5,1
"174","2",4.5,1
"175","2",4.5,1
"176","2",4.5,1
"177","2",4.5,1
"178","2",4.5,1
"179","2",4.5,1
"180","2",4.5,1
"181","2",4.5,1
"182","2",4.5,1
"183","2",4.5,1
"184","2",4.5,1
"185","2",4.5,1
"186","2",4.5,1
"187","2",4.5,1
"188","2",4.5,1
"189","2",4.5,1
"190","2",4.5,1
"191","2",4.5,1
"192","2",4.5,1
"193","2",4.5,1
"194","2",4.5,1
"195","2",4.5,1
"196","2",4.5,1
"197","2",4.5,1
"198","2",4.5,1
"199","2",4.5,1
"200","2",4.5,1
"201","3",0,0
"202","3",0,0
"203","3",0,0
"204","3",0,0
"205","3",0,0
"206","3",0,0
"207","3",0,0
"208","3",0,0
"209","3",0,0
"210","3",0,0
"211","3",0,0
"212","3",0,0
"213","3",0,0
"214","3",0,0
"215","3",0,0
"216","3",0,0
"217","3",0,0
"218","3",0,0
"219","3",0,0
"220","3",0,0
"221","3",0,0
"222","3",0,0
"223","3",0,0
"224","3",0,0
"225","3",0,0
"226","3",0,0
"227","3",0,0
"228","3",0,0
"229","3",1.1,0
"230","3",1.1,0
"231","3",1.1,0
"232","3",1.1,0
"233","3",1.1,0
"234","3",1.1,0
"235","3",1.1,0
"236","3",1.1,0
"237","3",1.1,0
"238","3",1.1,0
"239","3",1.1,0
"240","3",1.1,0
"241","3",1.1,0
"242","3",1.1,0
"243","3",1.1,0
"244","3",1.1,0
"245","3",1.1,0
"246","3",1.1,0
"247","3",1.1,0
"248","3",1.1,0
"249","3",1.1,0
"250","3",1.1,0
"251","3",1.1,0
"252","3",1.1,1
"253","3",1.1,1
"254","3",1.1,1
"255","3",1.1,1
"256","3",1.1,1
"257","3",1.1,1
"258","3",1.1,1
"259","3",1.1,1
"260","3",1.1,1
"261","3",2.2,0
"262","3",2.2,0
"263","3",2.2,1
"264","3",2.2,1
"265","3",2.2,1
"266","3",2.2,1
"267","3",2.2,1
"268","3",2.2,1
"269","3",2.2,1
"270","3",2.2,1
"271","3",2.2,1
"272","3",2.2,1
"273","3",2.2,1
"274","3",2.2,1
"275","3",2.2,1
"276","3",2.2,1
"277","3",2.2,1
"278","3",2.2,1
"279","3",2.2,1
"280","3",2.2,1
"281","3",2.2,1
"282","3",2.2,1
"283","3",2.2,1
"284","3",2.2,1
"285","3",2.2,1
"286","3",2.2,1
"287","3",4.5,1
"288","3",4.5,1
"289","3",4.5,1
"290","3",4.5,1
"291","3",4.5,1
"292","3",4.5,1
"293","3",4.5,1
"294","3",4.5,1
"295","3",4.5,1
"296","3",4.5,1
"297","3",4.5,1
"298","3",4.5,1
"299","3",4.5,1
"300","3",4.5,1
"301","3",4.5,1
"302","3",4.5,1
"303","3",4.5,1
"304","3",4.5,1
"305","3",4.5,1
"306","3",4.5,1
"307","3",4.5,1
"308","3",4.5,1
"309","3",4.5,1
"310","3",4.5,1
"311","3",4.5,1
"312","3",4.5,1
"313","3",4.5,1
