"","Start","End","Midpoint","Name"
"1",93.33,92.98,93.155,"flexousum"
"2",92.98,92.43,92.705,"birchbyi"
"3",92.43,91.88,92.155,"nodosoides"
"4",91.88,91.33,91.605,"woollgardi"
"5",91.33,90.78,91.055,"percarinatus"
"6",90.78,90.36,90.57,"hyatti"
"7",90.36,90.1,90.23,"macombi"
"8",90.1,89.87,89.985,"warreni"
"9",89.87,89.64,89.755,"ferronensis"
"10",89.64,89.41,89.525,"whitfieldi"
"11",89.41,89.19,89.3,"nigricollensis"
"12",89.19,88.96,89.075,"germanri"
"13",88.96,88.55,88.755,"peruana"
"14",88.55,87.99,88.27,"allaudi/preventricosus"
"15",87.99,87.28,87.635,"ventricosus"
"16",87.28,85.79,86.535,"depressus"
"17",85.79,84.88,85.335,"saxitonianus"
"18",84.88,84.6,84.74,"vermiformis"
"19",84.6,84.33,84.465,"choteauensis"
"20",84.33,84.05,84.19,"erdmanni"
"21",84.05,83.46,83.755,"bassleri"
"22",83.46,82.76,83.11,"leei_iii"
"23",82.76,82.06,82.41,"hippocrepis_i"
"24",82.06,81.56,81.81,"hippocrepis_ii"
"25",81.56,81.27,81.415,"hippocrepis_iii"
"26",81.27,80.98,81.125,"baculites_sp.(smooth)"
"27",80.98,80.69,80.835,"baculites_sp.(weak_flanks_rib)"
"28",80.69,80.28,80.485,"obtusus"
"29",80.28,79.77,80.025,"maclearni"
"30",79.77,79.25,79.51,"asperiformes"
"31",79.25,78.73,78.99,"baculites_sp.(smooth)"
"32",78.73,78.22,78.475,"perplexus_early"
"33",78.22,77.7,77.96,"gilberti"
"34",77.7,77.18,77.44,"perplexus_late"
"35",77.18,76.67,76.925,"gregoryensis"
"36",76.67,76.15,76.41,"scotti"
"37",76.15,75.61,75.88,"nebrascense"
"38",75.61,75.04,75.325,"stevensoni"
"39",75.04,74.41,74.725,"jenneyi"
"40",74.41,73.7,74.055,"cheyennense"
"41",73.7,73.14,73.42,"compressus"
"42",73.14,72.71,72.925,"cuneatus"
"43",72.71,72.1,72.405,"reesidei"
"44",72.1,71.29,71.695,"jenseni"
"45",71.29,70.76,71.025,"eliasi"
"46",70.76,70.22,70.49,"baculus"
"47",70.22,69.69,69.955,"grandis"
"48",69.69,69.42,69.555,"clinolobatus"
"49",69.42,69.15,69.285,"birkelundi"
"50",69.15,68.89,69.02,"nicolleti"
