"","age","trait"
"1",66.4,0.07
"2",70.17,-0.39
"3",73.27,0.52
"4",75.26,0.87
"5",93.48,0.62
"6",106.53,0.76
"7",110.6,0.81
"8",114.73,0.89
"9",118.54,1.34
"10",121.12,1.13
"11",133.64,0.88
"12",174.4,0.49
"13",176.9,0.6
"14",177.31,0.83
"15",178.13,1.59
"16",180.03,1.3
"17",180.15,2.12
"18",183.26,1.6
"19",194.34,1.96
"20",210.62,1.68
"21",218.6,2.36
"22",234.3,2.11
"23",240.57,2.94
"24",250.22,2.9
"25",260.65,3.01
"26",271.19,3.23
"27",274.85,3.32
"28",280.97,3.05
"29",288.81,2.41
"30",299.72,3.18
