"","year","age","lung","nasal","other"
"1",1931,10,1,0,1269
"2",1931,15,2,0,2201
"3",1931,20,6,0,3116
"4",1931,25,14,0,3024
"5",1931,30,30,1,3188
"6",1931,35,68,1,4165
"7",1931,40,149,3,5651
"8",1931,45,274,5,8326
"9",1931,50,431,10,13073
"10",1931,55,586,15,19500
"11",1931,60,646,16,30033
"12",1931,65,636,19,45159
"13",1931,70,533,27,72884
"14",1931,75,464,48,120403
"15",1931,80,324,47,183341
"16",1936,10,1,0,1269
"17",1936,15,2,0,2201
"18",1936,20,6,0,3116
"19",1936,25,14,0,3024
"20",1936,30,30,1,3188
"21",1936,35,68,1,4165
"22",1936,40,149,3,5651
"23",1936,45,274,5,8326
"24",1936,50,431,10,13073
"25",1936,55,586,15,19500
"26",1936,60,646,16,30033
"27",1936,65,636,19,45159
"28",1936,70,533,27,72884
"29",1936,75,464,48,120403
"30",1936,80,324,47,183341
"31",1941,10,1,0,1194
"32",1941,15,2,0,2221
"33",1941,20,6,0,3697
"34",1941,25,16,0,3175
"35",1941,30,34,1,3088
"36",1941,35,81,1,3549
"37",1941,40,191,3,4841
"38",1941,45,384,5,7275
"39",1941,50,597,10,11253
"40",1941,55,883,15,17624
"41",1941,60,1021,16,27190
"42",1941,65,970,19,41844
"43",1941,70,748,27,63503
"44",1941,75,631,48,103716
"45",1941,80,385,47,161527
"46",1946,10,1,0,690
"47",1946,15,3,0,1194
"48",1946,20,8,0,1589
"49",1946,25,18,0,1787
"50",1946,30,36,1,1990
"51",1946,35,94,1,2493
"52",1946,40,236,3,3643
"53",1946,45,544,5,6154
"54",1946,50,954,10,9755
"55",1946,55,1350,15,16058
"56",1946,60,1717,16,26287
"57",1946,65,1763,19,39985
"58",1946,70,1400,27,63136
"59",1946,75,1085,48,100618
"60",1946,80,765,47,156959
"61",1951,10,0,0,480
"62",1951,15,2,0,858
"63",1951,20,7,0,1230
"64",1951,25,13,0,1253
"65",1951,30,35,1,1474
"66",1951,35,98,1,2008
"67",1951,40,248,3,2998
"68",1951,45,579,5,5126
"69",1951,50,1224,10,9222
"70",1951,55,2003,15,15410
"71",1951,60,2555,16,25864
"72",1951,65,2926,19,41555
"73",1951,70,2624,27,65408
"74",1951,75,2069,48,105973
"75",1951,80,1416,47,164695
"76",1956,10,0,0,403
"77",1956,15,2,0,875
"78",1956,20,4,0,1116
"79",1956,25,12,0,1050
"80",1956,30,35,1,1228
"81",1956,35,93,1,1801
"82",1956,40,251,3,2795
"83",1956,45,590,3,4667
"84",1956,50,1248,6,8296
"85",1956,55,2317,12,14941
"86",1956,60,3315,17,24552
"87",1956,65,3926,24,39537
"88",1956,70,3878,28,63512
"89",1956,75,3332,43,99886
"90",1956,80,2258,50,159181
"91",1961,10,0,0,407
"92",1961,15,2,0,949
"93",1961,20,5,0,1098
"94",1961,25,11,0,997
"95",1961,30,34,0,1184
"96",1961,35,90,1,1764
"97",1961,40,223,3,2822
"98",1961,45,563,4,4766
"99",1961,50,1221,8,8098
"100",1961,55,2284,9,14240
"101",1961,60,3663,14,24412
"102",1961,65,4844,18,39332
"103",1961,70,4977,26,62544
"104",1961,75,4513,41,97792
"105",1961,80,3417,42,154476
"106",1966,10,0,0,389
"107",1966,15,2,0,959
"108",1966,20,4,0,971
"109",1966,25,10,0,919
"110",1966,30,25,0,1096
"111",1966,35,76,1,1616
"112",1966,40,216,2,2812
"113",1966,45,531,5,4771
"114",1966,50,1160,7,8088
"115",1966,55,2201,11,13666
"116",1966,60,3695,16,23118
"117",1966,65,5273,23,38657
"118",1966,70,6210,29,61478
"119",1966,75,5914,36,94831
"120",1966,80,4563,31,138973
"121",1971,10,0,0,346
"122",1971,15,1,0,875
"123",1971,20,4,0,983
"124",1971,25,10,1,876
"125",1971,30,24,1,1048
"126",1971,35,58,1,1524
"127",1971,40,177,4,2670
"128",1971,45,503,4,4786
"129",1971,50,1070,8,8018
"130",1971,55,2077,11,13204
"131",1971,60,3546,16,21570
"132",1971,65,5174,26,36232
"133",1971,70,6820,29,59169
"134",1971,75,7273,33,92488
"135",1971,80,6089,38,141812
"136",1976,10,0,0,293
"137",1976,15,1,0,868
"138",1976,20,2,0,930
"139",1976,25,7,1,875
"140",1976,30,17,1,976
"141",1976,35,56,1,1454
"142",1976,40,139,2,2394
"143",1976,45,403,3,4311
"144",1976,50,1003,9,7687
"145",1976,55,1896,9,12544
"146",1976,60,3342,15,20787
"147",1976,65,4985,17,33729
"148",1976,70,6718,20,55480
"149",1976,75,8068,38,89199
"150",1976,80,7744,33,137360
