"","sex","A","P","C","Y","upper"
"1",1,0,1971,1971,19195,0
"2",1,0,1971,1970,17944.1666666667,1
"3",1,1,1971,1970,17968.8333333333,0
"4",1,1,1971,1969,18164.8333333333,1
"5",1,2,1971,1969,18178.6666666667,0
"6",1,2,1971,1968,18934.3333333333,1
"7",1,3,1971,1968,18941.1666666667,0
"8",1,3,1971,1967,20466.3333333333,1
"9",1,4,1971,1967,20472.6666666667,0
"10",1,4,1971,1966,22233,1
"11",1,5,1971,1966,22240,0
"12",1,5,1971,1965,21526.5,1
"13",1,6,1971,1965,21529,0
"14",1,6,1971,1964,20991.5,1
"15",1,7,1971,1964,20992.5,0
"16",1,7,1971,1963,20636.8333333333,1
"17",1,8,1971,1963,20641.1666666667,0
"18",1,8,1971,1962,19425.5,1
"19",1,9,1971,1962,19425.5,0
"20",1,9,1971,1961,19082.8333333333,1
"21",1,10,1971,1961,19086.6666666667,0
"22",1,10,1971,1960,19024.8333333333,1
"23",1,11,1971,1960,19026.6666666667,0
"24",1,11,1971,1959,18553.3333333333,1
"25",1,12,1971,1959,18555.1666666667,0
"26",1,12,1971,1958,18781.6666666667,1
"27",1,13,1971,1958,18790.3333333333,0
"28",1,13,1971,1957,18920.6666666667,1
"29",1,14,1971,1957,18932.8333333333,0
"30",1,14,1971,1956,19145.8333333333,1
"31",1,15,1971,1956,19157.1666666667,0
"32",1,15,1971,1955,19189.8333333333,1
"33",1,16,1971,1955,19196.6666666667,0
"34",1,16,1971,1954,18874.5,1
"35",1,17,1971,1954,18880,0
"36",1,17,1971,1953,19488,1
"37",1,18,1971,1953,19489,0
"38",1,18,1971,1952,19179,1
"39",1,19,1971,1952,19181,0
"40",1,19,1971,1951,19114.6666666667,1
"41",1,20,1971,1951,19106.3333333333,0
"42",1,20,1971,1950,19601,1
"43",1,21,1971,1950,19576.5,0
"44",1,21,1971,1949,19730.1666666667,1
"45",1,22,1971,1949,19689.3333333333,0
"46",1,22,1971,1948,20930.8333333333,1
"47",1,23,1971,1948,20892.6666666667,0
"48",1,23,1971,1947,22427.3333333333,1
"49",1,24,1971,1947,22385.1666666667,0
"50",1,24,1971,1946,23384,1
"51",1,25,1971,1946,23336.5,0
"52",1,25,1971,1945,22830,1
"53",1,26,1971,1945,22776,0
"54",1,26,1971,1944,21776,1
"55",1,27,1971,1944,21736.5,0
"56",1,27,1971,1943,19963.8333333333,1
"57",1,28,1971,1943,19921.1666666667,0
"58",1,28,1971,1942,18844.5,1
"59",1,29,1971,1942,18815.5,0
"60",1,29,1971,1941,16806.1666666667,1
"61",1,30,1971,1941,16774.8333333333,0
"62",1,30,1971,1940,16349.5,1
"63",1,31,1971,1940,16325,0
"64",1,31,1971,1939,15887.8333333333,1
"65",1,32,1971,1939,15866.6666666667,0
"66",1,32,1971,1938,15680.8333333333,1
"67",1,33,1971,1938,15667.6666666667,0
"68",1,33,1971,1937,15176.1666666667,1
"69",1,34,1971,1937,15167.8333333333,0
"70",1,34,1971,1936,14862.5,1
"71",1,35,1971,1936,14837.5,0
"72",1,35,1971,1935,14426.5,1
"73",1,36,1971,1935,14414,0
"74",1,36,1971,1934,14245.5,1
"75",1,37,1971,1934,14222.5,0
"76",1,37,1971,1933,13943.6666666667,1
"77",1,38,1971,1933,13917.8333333333,0
"78",1,38,1971,1932,13876.6666666667,1
"79",1,39,1971,1932,13852.8333333333,0
"80",1,39,1971,1931,13842.5,1
"81",1,40,1971,1931,13833,0
"82",1,40,1971,1930,14010,1
"83",1,41,1971,1930,13982,0
"84",1,41,1971,1929,13742.8333333333,1
"85",1,42,1971,1929,13721.1666666667,0
"86",1,42,1971,1928,14337.6666666667,1
"87",1,43,1971,1928,14310.8333333333,0
"88",1,43,1971,1927,14125,1
"89",1,44,1971,1927,14106.5,0
"90",1,44,1971,1926,14392.6666666667,1
"91",1,45,1971,1926,14372.3333333333,0
"92",1,45,1971,1925,14496.1666666667,1
"93",1,46,1971,1925,14468.8333333333,0
"94",1,46,1971,1924,14925.8333333333,1
"95",1,47,1971,1924,14902.6666666667,0
"96",1,47,1971,1923,14882,1
"97",1,48,1971,1923,14856,0
"98",1,48,1971,1922,14698,1
"99",1,49,1971,1922,14668.5,0
"100",1,49,1971,1921,15519.5,1
"101",1,50,1971,1921,15488,0
"102",1,50,1971,1920,16035.1666666667,1
"103",1,51,1971,1920,15990.8333333333,0
"104",1,51,1971,1919,13937.8333333333,1
"105",1,52,1971,1919,13897.6666666667,0
"106",1,52,1971,1918,14413.3333333333,1
"107",1,53,1971,1918,14371.6666666667,0
"108",1,53,1971,1917,13807.6666666667,1
"109",1,54,1971,1917,13773.8333333333,0
"110",1,54,1971,1916,13843,1
"111",1,55,1971,1916,13794,0
"112",1,55,1971,1915,13561.6666666667,1
"113",1,56,1971,1915,13516.3333333333,0
"114",1,56,1971,1914,14050.6666666667,1
"115",1,57,1971,1914,13993.3333333333,0
"116",1,57,1971,1913,13961.1666666667,1
"117",1,58,1971,1913,13895.8333333333,0
"118",1,58,1971,1912,14203.5,1
"119",1,59,1971,1912,14130.5,0
"120",1,59,1971,1911,13658.5,1
"121",1,60,1971,1911,13587,0
"122",1,60,1971,1910,13491.5,1
"123",1,61,1971,1910,13414,0
"124",1,61,1971,1909,13481.8333333333,1
"125",1,62,1971,1909,13390.1666666667,0
"126",1,62,1971,1908,12653.3333333333,1
"127",1,63,1971,1908,12549.1666666667,0
"128",1,63,1971,1907,12041.1666666667,1
"129",1,64,1971,1907,11943.8333333333,0
"130",1,64,1971,1906,11475,1
"131",1,65,1971,1906,11370.5,0
"132",1,65,1971,1905,11038.3333333333,1
"133",1,66,1971,1905,10925.6666666667,0
"134",1,66,1971,1904,10487,1
"135",1,67,1971,1904,10376,0
"136",1,67,1971,1903,9966.16666666667,1
"137",1,68,1971,1903,9850.33333333333,0
"138",1,68,1971,1902,9637.83333333333,1
"139",1,69,1971,1902,9511.66666666667,0
"140",1,69,1971,1901,8975.66666666667,1
"141",1,70,1971,1901,8859.33333333333,0
"142",1,70,1971,1900,8414.16666666667,1
"143",1,71,1971,1900,8281.83333333333,0
"144",1,71,1971,1899,7660.16666666667,1
"145",1,72,1971,1899,7532.33333333333,0
"146",1,72,1971,1898,7469.5,1
