"","A","sex","P","D","Y","rate"
"1",0,1,1974,459,35963.3333333333,12.762999351191
"2",0,2,1974,303,34382.8333333333,8.81253726423554
"3",0,1,1975,435,36099,12.0501952962686
"4",0,2,1975,311,34652.1666666667,8.97490777392467
"5",0,1,1976,405,34965,11.5830115830116
"6",0,2,1976,258,33278.3333333333,7.75279210697651
"7",0,1,1977,332,32562.8333333333,10.1956729809548
"8",0,2,1977,205,30816.3333333333,6.65231641229218
"9",0,1,1978,312,31675.5,9.84988397973197
"10",0,2,1978,233,30178.8333333333,7.72064305556323
"11",0,1,1979,319,31041.8333333333,10.2764548915174
"12",0,2,1979,203,29570.1666666667,6.86502725156549
"13",0,1,1980,274,29787.1666666667,9.19859223491101
"14",0,2,1980,210,28449,7.38163028577454
"15",0,1,1981,238,28098.6666666667,8.47015279491316
"16",0,2,1981,181,26996.6666666667,6.70453142363255
"17",0,1,1982,257,26983.5,9.52433894787555
"18",0,2,1982,177,25854.1666666667,6.8460918614021
"19",0,1,1983,230,26460.3333333333,8.69225633337952
"20",0,2,1983,163,25313.1666666667,6.43933657714365
"21",0,1,1984,243,26225.6666666667,9.26573204367223
"22",0,2,1984,156,25119.6666666667,6.21027349089027
"23",0,1,1985,245,26989.8333333333,9.07749214210289
"24",0,2,1985,182,25868.6666666667,7.03553848929207
"25",0,1,1986,249,27974.3333333333,8.90101640789772
"26",0,2,1986,204,26697.6666666667,7.64111720125354
"27",0,1,1987,290,28752.8333333333,10.0859625428219
"28",0,2,1987,177,27088.8333333333,6.53405769905188
"29",0,1,1988,248,29664.1666666667,8.36025507767509
"30",0,2,1988,201,27862.6666666667,7.21395415609896
"31",0,1,1989,288,30843,9.3376130726583
"32",0,2,1989,204,29199.6666666667,6.98638112307218
"33",0,1,1990,278,31981.6666666667,8.69248006670488
"34",0,2,1990,195,30380.3333333333,6.41862608485753
"35",0,1,1991,268,32777.5,8.17634047746167
"36",0,2,1991,203,31151.1666666667,6.51660986479907
"37",0,1,1992,261,33879.5,7.70377366844257
"38",0,2,1992,183,32166.5,5.68914864843859
"39",0,1,1993,210,34695.6666666667,6.05262905069797
"40",0,2,1993,157,32869.3333333333,4.7764887230245
"41",0,1,1994,219,35119.8333333333,6.2357926907398
"42",0,2,1994,161,33471.8333333333,4.81001439020868
"43",0,1,1995,200,35899.3333333333,5.57113409719772
"44",0,2,1995,153,34126.1666666667,4.48336320614191
"45",0,1,1996,219,35488.6666666667,6.17098416395845
"46",0,2,1996,157,33538.6666666667,4.6811640295778
"47",0,1,1997,188,34837.8333333333,5.39643203988002
"48",0,2,1997,163,32935.8333333333,4.94901702805961
"49",0,1,1998,161,34448.1666666667,4.67368848850205
"50",0,2,1998,148,32533.6666666667,4.54913371789223
"51",0,1,1999,170,34018.3333333333,4.99730537455294
"52",0,2,1999,112,32303.3333333333,3.46713445464864
"53",0,1,2000,209,34192.5,6.11245156101484
"54",0,2,2000,149,32575.1666666667,4.57403645926601
"55",0,1,2001,164,33975.5,4.82700769672264
"56",0,2,2001,156,32383.6666666667,4.8172432604914
"57",0,1,2002,159,33263.3333333333,4.78003807996793
"58",0,2,2002,125,31622.3333333333,3.95290248453098
"59",0,1,2003,165,33196.8333333333,4.97035359798374
"60",0,2,2003,121,31478.5,3.84389345108566
"61",0,1,2004,153,33242.3333333333,4.60256500245671
"62",0,2,2004,130,31658.8333333333,4.10627892162798
"63",0,1,2005,167,33047.1666666667,5.05338329559266
"64",0,2,2005,113,31629.1666666667,3.57265182452905
"65",0,1,2006,141,33241,4.24174964652086
"66",0,2,2006,109,31659.8333333333,3.44284819355756
"67",0,1,2007,150,33299.8333333333,4.50452704968493
"68",0,2,2007,106,31595.1666666667,3.35494353039231
"69",0,1,2008,147,33355.3333333333,4.40709131972898
"70",0,2,2008,115,31582.3333333333,3.64127624093639
"71",0,1,2009,103,33100.1666666667,3.11176680882775
"72",0,2,2009,90,31253,2.87972354653953
"73",0,1,2010,118,32578,3.62207624777457
"74",0,2,2010,98,30961.6666666667,3.16520428486839
"75",0,1,2011,107,31443.6666666667,3.40291102606778
"76",0,2,2011,101,30150.3333333333,3.34988004554952
"77",0,1,2012,102,30123.8333333333,3.38602324847989
"78",0,2,2012,95,28720.8333333333,3.30770346728565
"79",1,1,1974,28,37318.5,0.750298109516728
"80",1,2,1974,18,35763.8333333333,0.503301752701752
"81",1,1,1975,46,36176,1.27156125608138
"82",1,2,1975,24,34644.6666666667,0.692747320414879
"83",1,1,1976,32,36261.8333333333,0.882470549843499
"84",1,2,1976,20,34896,0.573131591013297
